context	target	n_genes_total	n_genes_after_filter	gene_filter_applied	max_rank	min_rank
K562_7d	CREB1	23111	23111	False	0.05773740867956245	-0.0759637142115186
K562_7d	E2F4	23111	23111	False	0.1011035922364365	-0.07920978603700624
K562_7d	EGR1	23111	23111	False	0.06683464522916582	-0.06572515496254194
K562_7d	ELF1	23111	23111	False	0.05822000234516844	-0.05352886571519044
K562_7d	ELK1	23111	23111	False	0.03318792441411378	-0.0652834837563141
K562_7d	ETS1	23111	23111	False	0.04852786889109306	-0.06635059943242094
K562_7d	GABPA	23111	23111	False	0.06939121601617815	-0.112767838983438
K562_7d	IRF1	23111	23111	False	0.061739561341571214	-0.06946338102424088
K562_7d	NR2C2	23111	23111	False	0.11621594510394662	-0.08498016373898931
K562_7d	YY1	23111	23111	False	0.15187066265050309	-0.2553392528444006
