context	target	n_perturbed	n_control	included	exclusion_reason
HCC38	ARID1A	365	1666	True	
HCC38	BMPR1A	212	1666	True	
HCC38	CDKN2A	399	1666	True	
HCC38	COMMD6	395	1666	True	
HCC38	ENY2	93	1666	True	
HCC38	ERC1	433	1666	True	
HCC38	ETV3	244	1666	True	
HCC38	GON4L	167	1666	True	
HCC38	HDGF	254	1666	True	
HCC38	HLX	289	1666	True	
HCC38	KLF3	236	1666	True	
HCC38	LAMTOR5	157	1666	True	
HCC38	MAML3	423	1666	True	
HCC38	MIER1	267	1666	True	
HCC38	MTDH	282	1666	True	
HCC38	MYBL1	220	1666	True	
HCC38	NCOA1	389	1666	True	
HCC38	NPM1	80	1666	True	
HCC38	PA2G4	194	1666	True	
HCC38	PARK7	254	1666	True	
HCC38	PCBD1	428	1666	True	
HCC38	PEX14	439	1666	True	
HCC38	PFDN5	67	1666	True	
HCC38	PMF1	94	1666	True	
HCC38	PRDX2	302	1666	True	
HCC38	PRPF6	25	1666	True	
HCC38	RORC	296	1666	True	
HCC38	RPS3	69	1666	True	
HCC38	RUVBL2	95	1666	True	
HCC38	SMAD1	321	1666	True	
HCC38	STAT3	394	1666	True	
HCC38	TAB3	246	1666	True	
HCC38	TADA3	177	1666	True	
HCC38	THAP8	276	1666	True	
HCC38	THRA	266	1666	True	
HCC38	TMF1	206	1666	True	
HCC38	TMSB4X	352	1666	True	
HCC38	UBP1	371	1666	True	
HCC38	VEZF1	226	1666	True	
HCC38	XBP1	394	1666	True	
HCC38	YBX1	177	1666	True	
HCC38	ZBTB17	139	1666	True	
HCC38	ZBTB20	471	1666	True	
HCC38	ZBTB5	363	1666	True	
HCC38	ZNF131	118	1666	True	
HCC38	ZNF24	472	1666	True	
HCC38	ZNF566	372	1666	True	
