target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	-0.0217829259179407	0.0217829259179407	0.0217829259179407	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0132807371107832	0.0132807371107832	0.0132807371107832	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.013300501757155	0.013300501757155	0.013300501757155	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0418198961670148	0.0418198961670148	0.0418198961670148	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0953529137928618	0.0953529137928618	0.0953529137928618	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.1057726682841324	0.1057726682841324	0.1057726682841324	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.0111792144703569	0.0154605468544358	0.02698159910800106	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	-0.0004583890549838	0.0004583890549838	0.0004583890549838	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	0.022208001517108097	0.0340501256060503	0.057490979904184586	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	0.0777213402219887	0.0777213402219887	0.0777213402219887	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.0304935600655176	0.0304935600655176	0.0304935600655176	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	-0.056852537739936	0.056852537739936	0.056852537739936	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	0.0628012150937453	0.0628012150937453	0.0628012150937453	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	0.063445362149525	0.063445362149525	0.063445362149525	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0702552709619737	0.0702552709619737	0.0702552709619737	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.00166969112579555	0.00247011381094995	0.00421647499568208	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.0697580952809342	0.0697580952809342	0.0697580952809342	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	0.0418140592195415	0.0418140592195415	0.0418140592195415	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	-0.0532189053529792	0.0532189053529792	0.0532189053529792	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.0313517120580377	0.0313517120580377	0.0313517120580377	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	-0.0179988065761889	0.0179988065761889	0.0179988065761889	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
