target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	-0.0101785457634767	0.0101785457634767	0.0101785457634767	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.014494889639932	0.014494889639932	0.014494889639932	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.012837483768735	0.012837483768735	0.012837483768735	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0286770917240331	0.0286770917240331	0.0286770917240331	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0182464405075575	0.0182464405075575	0.0182464405075575	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.0069412901668768	0.0069412901668768	0.0069412901668768	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.01433609828940805	0.014685774429465151	0.02902397921570028	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0	0.0	0.0	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	-0.00584727240657065	0.00584727240657065	0.008895353488225502	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	-0.0628432679727589	0.0628432679727589	0.0628432679727589	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	0.0023320401288974	0.0023320401288974	0.0023320401288974	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	-0.0223706154840141	0.0223706154840141	0.0223706154840141	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	0.0306105469949188	0.0306105469949188	0.0306105469949188	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	0.044295456279105	0.044295456279105	0.044295456279105	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0037362890195096	0.0037362890195096	0.0037362890195096	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	-0.0038227624407253	0.0038227624407253	0.0067735316915042195	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.004682916236709	0.004682916236709	0.004682916236709	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	-0.0153047222482213	0.0153047222482213	0.0153047222482213	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.0143876037158925	0.0143876037158925	0.0143876037158925	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.0100278476508074	0.0100278476508074	0.0100278476508074	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	-0.0818054979205442	0.0818054979205442	0.0818054979205442	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	-0.0022330410311319	0.0022330410311319	0.0022330410311319	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	-0.0125977656018537	0.0125977656018537	0.0125977656018537	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	0.0159667324338518	0.0159667324338518	0.0159667324338518	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	-0.0030365588712949476	0.03949478981181305	0.05601890952273405	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	0.003596302826428661	0.011531978853512183	0.06592436082360276	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	0.0031223292707443	0.0031223292707443	0.0031223292707443	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	-0.0222617051529116	0.0222617051529116	0.0222617051529116	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	0.0019340600685907	0.0019340600685907	0.0019340600685907	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	-0.0049283158441848	0.0049283158441848	0.0049283158441848	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.014459686446575	0.014459686446575	0.014459686446575	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	-0.0091902055441438	0.0091902055441438	0.0091902055441438	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	TGF-beta / BMP signaling	-0.0058248619474083	0.0080775454505397	0.014083732261861543	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	True
BMPR1A	cell cycle / replication	0.0	0.0	0.0	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	chromatin remodeling	-0.01798685687134785	0.02252969996752425	0.04077044029041176	2	2	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	cytoskeleton / cell motility	-0.0359994520437814	0.0359994520437814	0.0359994520437814	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth / proliferation	0.0002238960825302	0.0002238960825302	0.0002238960825302	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth factor / proliferation	-0.0003174634624776	0.0003174634624776	0.0003174634624776	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
