target_gene	expected_axis	architecture_role	cosine_similarity	l2_distance	top20_overlap_fraction
ARID1A	chromatin remodeling	canonical_backbone	-0.0822001193913154	0.3895024334859661	0.55
BMPR1A	TGF-beta / BMP signaling	context_deviation	0.24303951469535667	0.1813033556567246	0.55
CDKN2A	cell cycle / replication	context_deviation	-0.02864411225692726	0.1635396777171186	0.45
COMMD6	NF-κB / copper signaling	context_deviation	0.0900019008682902	0.27186613780002417	0.5
ENY2	transcription / chromatin	canonical_backbone	0.29451129212458727	0.5164753007513381	0.45
ERC1	synaptic / signaling	context_deviation	-0.09327662107023837	0.2617704812513867	0.65
ETV3	transcription regulation	context_deviation	0.046139348481116164	0.2097135707668251	0.55
GON4L	transcription regulation	context_deviation	0.2939073545184961	0.21673815322002588	0.45
HDGF	growth factor / proliferation	context_deviation	0.15634642814637456	0.5444354920213067	0.55
HLX	transcription regulation	context_deviation	0.13212489553523524	0.17294436794189041	0.5
KLF3	transcription regulation	context_deviation	0.4207328143609663	0.20702447293403375	0.55
LAMTOR5	mTOR / lysosome / signaling	shift_excess	-0.19509248915088584	0.850501179895724	0.5
MAML3	transcription regulation	context_deviation	0.2509025962442614	0.1261707191904661	0.45
MIER1	transcription regulation	context_deviation	-0.10853254171295035	0.28583954075716805	0.5
MTDH	signaling / oncogene	context_deviation	0.21177183825332455	0.8713264749616062	0.6
MYBL1	transcription regulation	context_deviation	0.27051013899143217	0.19846578996676567	0.5
NCOA1	nuclear receptor / co-activator	context_deviation	0.4642285510414257	0.11358989318300601	0.6
NPM1	ribosome biogenesis / nucleolar	context_deviation	-0.20319897997752198	1.1427954538123002	0.6
PA2G4	growth / proliferation	context_deviation	0.1863152215513084	0.8353027272222088	0.45
PARK7	oxidative stress / mitochondrial	context_deviation	-0.11371642854586901	0.8653057844602985	0.65
PCBD1	metabolism / transcription	context_deviation	-0.050224140451355745	0.3400787069186208	0.55
PEX14	peroxisome / metabolism	context_deviation	0.4239294051100257	0.16849490305850998	0.55
PFDN5	proteostasis / chaperone	context_deviation	-0.15461520875359	0.8271896984045541	0.55
PMF1	transcription regulation	context_deviation	0.1296329335522906	0.34218898013292903	0.65
PRDX2	oxidative stress / antioxidant	context_deviation	-0.11758558847580095	0.7617430648040519	0.65
PRPF6	RNA processing / spliceosome	canonical_backbone	0.10585515815571324	0.41512297537798826	0.55
RORC	nuclear receptor / metabolism	context_deviation	0.24379662229136786	0.13264273265100165	0.55
RPS3	ribosomal / translation	canonical_backbone	0.10324361745438004	0.8727582614664203	0.6
RUVBL2	chromatin remodeling	canonical_backbone	0.39049026137884846	0.41343244682167907	0.55
SMAD1	TGF-beta / BMP signaling	context_deviation	0.21143119070930885	0.17234738667831045	0.45
STAT3	JAK-STAT signaling	context_deviation	0.23932337566516035	0.3991135201799146	0.65
TAB3	NF-κB / MAPK signaling	context_deviation	0.17212568374514173	0.1612220741436302	0.6
TADA3	transcription / chromatin	canonical_backbone	0.07411826652954902	0.49202142326725595	0.7
THAP8	transcription regulation	context_deviation	0.49824082467211456	0.13246575818165998	0.5
THRA	nuclear receptor / metabolism	context_deviation	-0.01609968898119337	0.21644565928076626	0.5
TMF1	transcription regulation	context_deviation	0.1791462832898483	0.2778513890254878	0.6
TMSB4X	cytoskeleton / cell motility	context_deviation	-0.0009529878416244195	0.8062006184219609	0.5
UBP1	transcription regulation	context_deviation	0.11622201584966613	0.18117273701090267	0.55
VEZF1	transcription regulation	context_deviation	0.3734869230379233	0.27797926786664434	0.55
XBP1	ER stress / UPR	context_deviation	0.03743592733060114	0.2335674815585562	0.55
YBX1	RNA processing / transcription	context_deviation	0.1687048708548475	1.4946307722898595	0.65
ZBTB17	transcription regulation	context_deviation	0.344556865237617	0.23488269232149592	0.65
ZBTB20	transcription regulation	context_deviation	-0.13490097870368087	0.24850764093181	0.7
ZBTB5	transcription regulation	context_deviation	0.458822677221166	0.13261707034851006	0.5
ZNF131	transcription regulation	context_deviation	0.10161048790873253	0.41655818895470237	0.6
ZNF24	transcription regulation	context_deviation	0.0930618070943938	0.18434837514184677	0.55
ZNF566	transcription regulation	context_deviation	0.6464278303298995	0.1223343687782052	0.55
