target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.0165057019820756	0.0165057019820756	0.0165057019820756	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0279326533292613	0.0279326533292613	0.0279326533292613	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0010765174325381	0.0010765174325381	0.0010765174325381	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0211495714106496	0.0211495714106496	0.0211495714106496	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0036232696013793	0.0036232696013793	0.0036232696013793	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.1555745613780629	0.1555745613780629	0.1555745613780629	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.01573866586034615	0.01573866586034615	0.02407502808728264	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0578892976792911	0.0578892976792911	0.0578892976792911	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	-0.0052858227598387994	0.0175495596258592	0.025920145266183102	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	-0.1498763084012	0.1498763084012	0.1498763084012	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.1634340796777119	0.1634340796777119	0.1634340796777119	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	-0.0041800231429998	0.0041800231429998	0.0041800231429998	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	0.2064537731851346	0.2064537731851346	0.2064537731851346	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	-0.0075404939125349	0.0075404939125349	0.0075404939125349	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0158127165786915	0.0158127165786915	0.0158127165786915	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	-0.00776861913618255	0.00776861913618255	0.012463701316975745	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.0780111822697772	0.0780111822697772	0.0780111822697772	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	0.3331571950513248	0.3331571950513248	0.3331571950513248	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	-0.0056020422387005	0.0056020422387005	0.0056020422387005	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.1497154349013233	0.1497154349013233	0.1497154349013233	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	0.0705950221252059	0.0705950221252059	0.0705950221252059	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
