target_gene	expected_axis	architecture_role	cosine_similarity	l2_distance	top20_overlap_fraction
ARID1A	chromatin remodeling	canonical_backbone	0.11763002128993262	0.7146617405885468	0.7
BMPR1A	TGF-beta / BMP signaling	context_deviation	0.18136650521415676	0.5771803009766286	0.5
CDKN2A	cell cycle / replication	context_deviation	-0.31358164586171455	1.2415577577988528	0.6
COMMD6	NF-κB / copper signaling	context_deviation	0.01586364541453261	0.6361005132890888	0.55
ENY2	transcription / chromatin	canonical_backbone	0.20801176607751298	0.7589418770307096	0.7
ERC1	synaptic / signaling	context_deviation	0.06966840559598882	0.30670006257273075	0.7
ETV3	transcription regulation	context_deviation	0.21956624618808246	0.6470412327948747	0.45
GON4L	transcription regulation	context_deviation	-0.028778969400905807	0.5133650882745725	0.65
HDGF	growth factor / proliferation	context_deviation	0.07420956393690446	0.7772689489062221	0.6
HLX	transcription regulation	context_deviation	0.3364139096934099	0.49442607155347656	0.55
KLF3	transcription regulation	context_deviation	-0.2602047344650526	0.8749961452772752	0.45
LAMTOR5	mTOR / lysosome / signaling	shift_excess	0.004608396231275276	0.9706235150427551	0.7
MAML3	transcription regulation	context_deviation	0.11460057137684346	0.5119100862991535	0.7
MIER1	transcription regulation	context_deviation	0.2722546941886115	0.4494843487826807	0.7
MTDH	signaling / oncogene	context_deviation	0.049824346429219867	1.0923779181467825	0.65
MYBL1	transcription regulation	context_deviation	0.0249293603874132	0.7030623223749285	0.6
NCOA1	nuclear receptor / co-activator	context_deviation	-0.03575255145429033	0.35211968403041827	0.5
NPM1	ribosome biogenesis / nucleolar	context_deviation	0.015973177085787476	1.192800563526803	0.55
PA2G4	growth / proliferation	context_deviation	-0.002316439786888068	1.0625658996655292	0.6
PARK7	oxidative stress / mitochondrial	context_deviation	-0.1817351900545596	1.0140987616307375	0.7
PCBD1	metabolism / transcription	context_deviation	0.015442413371356193	0.6615932819074818	0.65
PEX14	peroxisome / metabolism	context_deviation	-0.09171598458343262	0.5875710039356475	0.45
PFDN5	proteostasis / chaperone	context_deviation	-0.020129990989128245	0.9816000092754719	0.7
PMF1	transcription regulation	context_deviation	-0.10176877431403417	0.8733153271294809	0.65
PRDX2	oxidative stress / antioxidant	context_deviation	0.08201020427948644	0.8963234117821869	0.55
PRPF6	RNA processing / spliceosome	canonical_backbone	-0.01645471584915687	0.6499245294735438	0.55
RORC	nuclear receptor / metabolism	context_deviation	-0.3087093901175967	0.6731960454394084	0.45
RPS3	ribosomal / translation	canonical_backbone	0.14325546897511876	1.1619429371862764	0.55
RUVBL2	chromatin remodeling	canonical_backbone	-0.054393628994189	0.7587502304392999	0.55
SMAD1	TGF-beta / BMP signaling	context_deviation	-0.09992516279628609	0.7609762949827278	0.6
STAT3	JAK-STAT signaling	context_deviation	0.010830841292140405	1.4527598680259346	0.5
TAB3	NF-κB / MAPK signaling	context_deviation	0.04522623334071062	0.5452571228731505	0.55
TADA3	transcription / chromatin	canonical_backbone	0.07123026947132649	0.9830744208463947	0.55
THAP8	transcription regulation	context_deviation	-0.016948358049103475	0.6286593553096198	0.65
THRA	nuclear receptor / metabolism	context_deviation	0.15114316343938983	0.6164929461975435	0.55
TMF1	transcription regulation	context_deviation	0.02615702941845985	0.5077156267055042	0.55
TMSB4X	cytoskeleton / cell motility	context_deviation	-0.18547668604550305	1.0682584437655729	0.55
UBP1	transcription regulation	context_deviation	0.025482931160596568	0.38982085558564805	0.5
VEZF1	transcription regulation	context_deviation	0.1914268121183441	0.5086170183176266	0.5
XBP1	ER stress / UPR	context_deviation	0.1601283282743347	0.6700374372785657	0.6
YBX1	RNA processing / transcription	context_deviation	-0.0034730775205072456	1.564616577807183	0.6
ZBTB17	transcription regulation	context_deviation	0.1704734797679907	0.790654620900809	0.55
ZBTB20	transcription regulation	context_deviation	-0.03851871033392827	0.33666112425357536	0.55
ZBTB5	transcription regulation	context_deviation	0.40551711127558404	0.7211928231045462	0.6
ZNF131	transcription regulation	context_deviation	0.27813006214695135	0.7665735686556826	0.65
ZNF24	transcription regulation	context_deviation	0.01201657027588396	0.4618629752110968	0.45
ZNF566	transcription regulation	context_deviation	0.2206916210754606	0.6198895378708614	0.6
