target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	-0.0369074562147299	0.0369074562147299	0.0369074562147299	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	0.0469422041046294	0.0469422041046294	0.0469422041046294	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0192140762679557	0.0192140762679557	0.0192140762679557	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0001733206661028	0.0001733206661028	0.0001733206661028	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	-0.0314827857459557	0.0314827857459557	0.0314827857459557	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.3829198312742953	0.3829198312742953	0.3829198312742953	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.027881599747832598	0.0308883738618547	0.05884683924099998	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	5.62695578147528e-06	5.62695578147528e-06	5.62695578147528e-06	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	0.0038991460193309995	0.024564531605080597	0.035174409807616346	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	0.0396407543829272	0.0396407543829272	0.0396407543829272	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	0.1151284748288521	0.1151284748288521	0.1151284748288521	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	0.0392264821104291	0.0392264821104291	0.0392264821104291	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	-0.2595142645393614	0.2595142645393614	0.2595142645393614	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	0.0156544604851202	0.0156544604851202	0.0156544604851202	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0046844481401618	0.0046844481401618	0.0046844481401618	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.0018163518444202001	0.003294487602204	0.005320297469842175	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	-0.0149697765095256	0.0149697765095256	0.0149697765095256	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	0.0125165127485266	0.0125165127485266	0.0125165127485266	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.017068603512482	0.017068603512482	0.017068603512482	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.1263721852718867	0.1263721852718867	0.1263721852718867	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	0.2026520465384377	0.2026520465384377	0.2026520465384377	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	0.000540238483027	0.000540238483027	0.000540238483027	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	-0.093355650565661	0.093355650565661	0.093355650565661	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	-0.0144556928635867	0.0144556928635867	0.0144556928635867	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	0.054025122444722254	0.054025122444722254	0.07740152788635324	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	-0.001558942913785873	0.018890027130212504	0.0986419487855568	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	-0.0186157711323223	0.0186157711323223	0.0186157711323223	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	0.0201215789361335	0.0201215789361335	0.0201215789361335	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	0.0169929740027709	0.0169929740027709	0.0169929740027709	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	0.0187163667972982	0.0187163667972982	0.0187163667972982	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.0323010006955487	0.0323010006955487	0.0323010006955487	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	-0.0144440800378615	0.0144440800378615	0.0144440800378615	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	TGF-beta / BMP signaling	-0.01048659028262605	0.01048659028262605	0.015285289206926183	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	True
BMPR1A	cell cycle / replication	-2.210163722598125e-05	2.210163722598125e-05	2.210163722598125e-05	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
