target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.0033431387429145	0.0033431387429145	0.0033431387429145	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0200965824670566	0.0200965824670566	0.0200965824670566	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0089805717958862	0.0089805717958862	0.0089805717958862	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0124272887625294	0.0124272887625294	0.0124272887625294	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	-0.0169720267448286	0.0169720267448286	0.0169720267448286	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.0753604961809575	0.0753604961809575	0.0753604961809575	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.0054191805702681495	0.0054191805702681495	0.008075629603634811	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0058506837232384	0.0058506837232384	0.0058506837232384	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	-0.0292218252088579	0.0292218252088579	0.04152404708136637	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	0.0248279673251445	0.0248279673251445	0.0248279673251445	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.0368415955553284	0.0368415955553284	0.0368415955553284	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	-0.061864237011012	0.061864237011012	0.061864237011012	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	0.0323469906262118	0.0323469906262118	0.0323469906262118	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	-0.0206615802902206	0.0206615802902206	0.0206615802902206	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0029010798704274	0.0029010798704274	0.0029010798704274	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.00024630076036035006	0.0035986443906639498	0.00510115781269531	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	-0.0476538317627791	0.0476538317627791	0.0476538317627791	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	-0.0380307209941217	0.0380307209941217	0.0380307209941217	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.0024980260764651	0.0024980260764651	0.0024980260764651	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	-0.0036118931777346	0.0036118931777346	0.0036118931777346	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	0.0209249451291855	0.0209249451291855	0.0209249451291855	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	-0.0024980700685873	0.0024980700685873	0.0024980700685873	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	-0.2564893254802436	0.2564893254802436	0.2564893254802436	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	-0.0008830645020641	0.0008830645020641	0.0008830645020641	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	-0.00838401818999205	0.00838401818999205	0.012170047549202775	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	-0.006233844102807385	0.008448359076340471	0.05037154712785945	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	-0.0210142648333747	0.0210142648333747	0.0210142648333747	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	0.0037146015756806	0.0037146015756806	0.0037146015756806	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	0.0082059376682707	0.0082059376682707	0.0082059376682707	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	-0.0082289812024128	0.0082289812024128	0.0082289812024128	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	-0.0134751513431215	0.0134751513431215	0.0134751513431215	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
