target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.0020620165325826	0.0020620165325826	0.0020620165325826	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	0.0080012205155595	0.0080012205155595	0.0080012205155595	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	-0.0189301958150762	0.0189301958150762	0.0189301958150762	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	-0.0052442889755022	0.0052442889755022	0.0052442889755022	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0283668298084868	0.0283668298084868	0.0283668298084868	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	0.1317723451436019	0.1317723451436019	0.1317723451436019	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	0.00714300746443845	0.007438320461212951	0.014584318079411369	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0080929612740874	0.0080929612740874	0.0080929612740874	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	0.08033015956764515	0.08033015956764515	0.11364687797431658	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	0.0330235786863442	0.0330235786863442	0.0330235786863442	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.1024552013771631	0.1024552013771631	0.1024552013771631	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	-0.0956067625171577	0.0956067625171577	0.0956067625171577	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	-0.0444261103457077	0.0444261103457077	0.0444261103457077	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	-0.0189375552546497	0.0189375552546497	0.0189375552546497	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	0.0577814068753981	0.0577814068753981	0.0577814068753981	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.00824224478092825	0.01424748660890105	0.02327769205482166	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.1315729994938859	0.1315729994938859	0.1315729994938859	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	0.0290796460725688	0.0290796460725688	0.0290796460725688	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	-0.0753685873979621	0.0753685873979621	0.0753685873979621	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.0651687648992243	0.0651687648992243	0.0651687648992243	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	0.1008316358523999	0.1008316358523999	0.1008316358523999	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	-0.0717221667559249	0.0717221667559249	0.0717221667559249	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	0.1564656589791706	0.1564656589791706	0.1564656589791706	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	-0.0389532288281775	0.0389532288281775	0.0389532288281775	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	-0.0009189704366156497	0.018436004011799352	0.026104817585513036	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	-0.02108879992057564	0.03142292640071094	0.16276853487167714	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	-0.0002616407416635	0.0002616407416635	0.0002616407416635	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	-0.0591333982435957	0.0591333982435957	0.0591333982435957	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	0.028585740380774	0.028585740380774	0.028585740380774	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	-0.0799584429805528	0.0799584429805528	0.0799584429805528	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.0366542000134123	0.0366542000134123	0.0366542000134123	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	0.1564500985920882	0.1564500985920882	0.1564500985920882	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	TGF-beta / BMP signaling	0.010495276994734749	0.023019168320595647	0.0357780085909801	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	True
BMPR1A	cell cycle / replication	0.0505092851817607	0.0505092851817607	0.0505092851817607	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	chromatin remodeling	0.0204656683433562	0.0204656683433562	0.029147759899301382	2	2	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	cytoskeleton / cell motility	0.0836214847990151	0.0836214847990151	0.0836214847990151	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth / proliferation	0.0730676028830907	0.0730676028830907	0.0730676028830907	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth factor / proliferation	-0.1136112991458808	0.1136112991458808	0.1136112991458808	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	mTOR / lysosome / signaling	-0.1626557379549607	0.1626557379549607	0.1626557379549607	1	1	1.0	shift_excess	moderate	TGF-beta / BMP signaling	False
BMPR1A	metabolism / transcription	0.1010610786068919	0.1010610786068919	0.1010610786068919	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	nuclear receptor / co-activator	-0.0348339144031739	0.0348339144031739	0.0348339144031739	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	nuclear receptor / metabolism	0.0385294127696458	0.0385294127696458	0.06356610609517019	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	False
BMPR1A	oxidative stress / antioxidant	0.043200411336232	0.043200411336232	0.043200411336232	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	oxidative stress / mitochondrial	-0.0961287317655659	0.0961287317655659	0.0961287317655659	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	peroxisome / metabolism	0.0181279736524528	0.0181279736524528	0.0181279736524528	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	proteostasis / chaperone	0.0390430954198541	0.0390430954198541	0.0390430954198541	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	ribosomal / translation	0.3193253358798658	0.3193253358798658	0.3193253358798658	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	ribosome biogenesis / nucleolar	0.2102931568829911	0.2102931568829911	0.2102931568829911	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	signaling / oncogene	-0.1163073684408733	0.1163073684408733	0.1163073684408733	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	synaptic / signaling	0.0238725701601647	0.0238725701601647	0.0238725701601647	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	transcription / chromatin	0.0107764443449548	0.0201695156981244	0.03234010254210073	2	2	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	transcription regulation	-0.002604479377283157	0.030730807523618002	0.16910048190499147	18	18	1.0	context_deviation	moderate	TGF-beta / BMP signaling	False
CDKN2A	ER stress / UPR	0.0373744903065389	0.0373744903065389	0.0373744903065389	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	JAK-STAT signaling	-0.0380917069403425	0.0380917069403425	0.0380917069403425	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	NF-κB / MAPK signaling	-0.0181944994099039	0.0181944994099039	0.0181944994099039	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	NF-κB / copper signaling	0.0014664191658246	0.0014664191658246	0.0014664191658246	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	RNA processing / spliceosome	-0.0551846962611543	0.0551846962611543	0.0551846962611543	1	1	1.0	canonical_backbone	high	cell cycle / replication	False
CDKN2A	RNA processing / transcription	-0.0205916704356217	0.0205916704356217	0.0205916704356217	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	TGF-beta / BMP signaling	-0.04924759095188995	0.04924759095188995	0.07153511446742937	2	2	1.0	context_deviation	moderate	cell cycle / replication	False
CDKN2A	cell cycle / replication	0.0216916464269161	0.0216916464269161	0.0216916464269161	1	1	1.0	context_deviation	provisional	cell cycle / replication	True
CDKN2A	chromatin remodeling	0.0013206564415008011	0.0419108159613512	0.05930026354043847	2	2	1.0	canonical_backbone	high	cell cycle / replication	False
