target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.042124861285848	0.042124861285848	0.042124861285848	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0464745041815535	0.0464745041815535	0.0464745041815535	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0342583591275316	0.0342583591275316	0.0342583591275316	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0049477476532209	0.0049477476532209	0.0049477476532209	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0005288380940092	0.0005288380940092	0.0005288380940092	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	0.1240857301533675	0.1240857301533675	0.1240857301533675	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	0.01882756675007915	0.05376936102241215	0.08056825000565894	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0140714775770902	0.0140714775770902	0.0140714775770902	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	-0.0162276662361115	0.0302257425856493	0.048516650055925474	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	-0.1059110335878257	0.1059110335878257	0.1059110335878257	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	0.011211571465244	0.011211571465244	0.011211571465244	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	0.0547956642025078	0.0547956642025078	0.0547956642025078	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	-0.0905174284762009	0.0905174284762009	0.0905174284762009	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	-0.0450964841258045	0.0450964841258045	0.0450964841258045	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0938203398029542	0.0938203398029542	0.0938203398029542	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	-0.01324404594960775	0.04136242089686635	0.061420755703017	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.0163897652791031	0.0163897652791031	0.0163897652791031	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	0.0135131778337382	0.0135131778337382	0.0135131778337382	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	-0.025166545533567	0.025166545533567	0.025166545533567	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
