target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.0428998157519289	0.0428998157519289	0.0428998157519289	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0366125717896322	0.0366125717896322	0.0366125717896322	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0105741052788359	0.0105741052788359	0.0105741052788359	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.0271003806407485	0.0271003806407485	0.0271003806407485	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	-0.0103754871230677	0.0103754871230677	0.0103754871230677	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.014506606870927	0.014506606870927	0.014506606870927	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.0013649163051765501	0.00823926225160145	0.01181087964300724	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	-0.0014709208150743	0.0014709208150743	0.0014709208150743	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	-0.022980824797447348	0.022980824797447348	0.04273820665903842	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	-0.0385771635708832	0.0385771635708832	0.0385771635708832	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.016832688372728	0.016832688372728	0.016832688372728	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	0.0208591104808939	0.0208591104808939	0.0208591104808939	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	0.0331913219371605	0.0331913219371605	0.0331913219371605	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	0.0400214244187504	0.0400214244187504	0.0400214244187504	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	-0.0058850043603891	0.0058850043603891	0.0058850043603891	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.0059293459914048045	0.0059293459914048045	0.011808384548815642	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	-0.0352911356723349	0.0352911356723349	0.0352911356723349	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	-0.0818650927689245	0.0818650927689245	0.0818650927689245	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.0220310767205195	0.0220310767205195	0.0220310767205195	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.0156644635511709	0.0156644635511709	0.0156644635511709	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	-0.0928759733504186	0.0928759733504186	0.0928759733504186	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	-0.007797118269694	0.007797118269694	0.007797118269694	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	0.0085058383117503	0.0085058383117503	0.0085058383117503	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	-0.0088556686708295	0.0088556686708295	0.0088556686708295	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	-0.01652073631478565	0.05942867760144205	0.08723190299241233	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	0.0015758238859114562	0.011792584664257802	0.07254138178029244	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	-0.0029630936689413	0.0029630936689413	0.0029630936689413	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	-0.0049268341600003	0.0049268341600003	0.0049268341600003	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	-0.0001572323480586	0.0001572323480586	0.0001572323480586	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	-0.0199731703504574	0.0199731703504574	0.0199731703504574	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.0060198507718156	0.0060198507718156	0.0060198507718156	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	-0.0319622957990774	0.0319622957990774	0.0319622957990774	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	TGF-beta / BMP signaling	0.00902635830246195	0.00902635830246195	0.013384819189902447	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	True
BMPR1A	cell cycle / replication	-0.0049022713419422	0.0049022713419422	0.0049022713419422	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	chromatin remodeling	-0.0190534505281056	0.0308426291919104	0.05126990837707146	2	2	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	cytoskeleton / cell motility	-0.0335943314356006	0.0335943314356006	0.0335943314356006	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth / proliferation	0.012279778826768	0.012279778826768	0.012279778826768	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth factor / proliferation	0.0275084075039065	0.0275084075039065	0.0275084075039065	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	mTOR / lysosome / signaling	0.0059822167284543	0.0059822167284543	0.0059822167284543	1	1	1.0	shift_excess	moderate	TGF-beta / BMP signaling	False
