target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.0279113456843763	0.0279113456843763	0.0279113456843763	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0897499652069769	0.0897499652069769	0.0897499652069769	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0016363703296589	0.0016363703296589	0.0016363703296589	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	0.01323588788233	0.01323588788233	0.01323588788233	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	-0.0590314196435306	0.0590314196435306	0.0590314196435306	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.0443326915915115	0.0443326915915115	0.0443326915915115	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	0.0165124329681293	0.0165124329681293	0.024020257716685516	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0038739363487976	0.0038739363487976	0.0038739363487976	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	-0.05359068599967045	0.05359068599967045	0.08820482754974564	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	-0.0086240728393099	0.0086240728393099	0.0086240728393099	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.1544661715684388	0.1544661715684388	0.1544661715684388	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	0.0149253832158605	0.0149253832158605	0.0149253832158605	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	-0.0407816844856356	0.0407816844856356	0.0407816844856356	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	0.0081014735015269	0.0081014735015269	0.0081014735015269	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	0.0272233562474412	0.0272233562474412	0.0272233562474412	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.00096922087164495	0.00295738161712255	0.004401248715382166	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	-0.1146012031474244	0.1146012031474244	0.1146012031474244	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	-0.0910191005335771	0.0910191005335771	0.0910191005335771	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.022276487538386	0.022276487538386	0.022276487538386	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	-0.1178791647638315	0.1178791647638315	0.1178791647638315	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	0.0126054646614526	0.0126054646614526	0.0126054646614526	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	0.0422588214656354	0.0422588214656354	0.0422588214656354	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	-0.0256760361355835	0.0256760361355835	0.0256760361355835	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	-0.006305137303075	0.006305137303075	0.006305137303075	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	0.016352330323484852	0.057525626448443154	0.08457655000405472	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	-0.006016974385551505	0.02236605150823854	0.12160151801198367	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	-0.1592780578931219	0.1592780578931219	0.1592780578931219	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	0.0618235743941653	0.0618235743941653	0.0618235743941653	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	-0.007711928065965	0.007711928065965	0.007711928065965	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	-0.2569528489137228	0.2569528489137228	0.2569528489137228	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.0314021324771	0.0314021324771	0.0314021324771	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	-0.2084656557697708	0.2084656557697708	0.2084656557697708	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	TGF-beta / BMP signaling	-0.006688065384781549	0.03754117433362275	0.053927172908257826	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	True
BMPR1A	cell cycle / replication	-0.0491991692602468	0.0491991692602468	0.0491991692602468	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	chromatin remodeling	0.0967338831866757	0.1416743384843707	0.24260693453138332	2	2	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	cytoskeleton / cell motility	0.0550408503495864	0.0550408503495864	0.0550408503495864	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth / proliferation	0.2630726924934105	0.2630726924934105	0.2630726924934105	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	growth factor / proliferation	0.1753696514887528	0.1753696514887528	0.1753696514887528	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	mTOR / lysosome / signaling	-0.0980276342165091	0.0980276342165091	0.0980276342165091	1	1	1.0	shift_excess	moderate	TGF-beta / BMP signaling	False
BMPR1A	metabolism / transcription	0.1413592721899584	0.1413592721899584	0.1413592721899584	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	nuclear receptor / co-activator	-0.0404329218945116	0.0404329218945116	0.0404329218945116	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	nuclear receptor / metabolism	-0.013455392427007001	0.013455392427007001	0.023390840592524678	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	False
BMPR1A	oxidative stress / antioxidant	0.2100627064243302	0.2100627064243302	0.2100627064243302	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	oxidative stress / mitochondrial	-0.0472188557716619	0.0472188557716619	0.0472188557716619	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	peroxisome / metabolism	-0.0310764423389807	0.0310764423389807	0.0310764423389807	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	proteostasis / chaperone	0.0699657566713327	0.0699657566713327	0.0699657566713327	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	ribosomal / translation	-0.025855996579683	0.025855996579683	0.025855996579683	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	ribosome biogenesis / nucleolar	0.2232469326412723	0.2232469326412723	0.2232469326412723	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	signaling / oncogene	-0.018033827760273	0.018033827760273	0.018033827760273	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	synaptic / signaling	0.0850504566857609	0.0850504566857609	0.0850504566857609	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	transcription / chromatin	-0.0583226736687511	0.0583226736687511	0.08275232614477435	2	2	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	transcription regulation	-0.01392555367844095	0.03166040278425849	0.18158017023858197	18	18	1.0	context_deviation	moderate	TGF-beta / BMP signaling	False
CDKN2A	ER stress / UPR	-0.0769489915434881	0.0769489915434881	0.0769489915434881	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	JAK-STAT signaling	-0.0074771770792297	0.0074771770792297	0.0074771770792297	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	NF-κB / MAPK signaling	0.0234822248190132	0.0234822248190132	0.0234822248190132	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	NF-κB / copper signaling	-0.0282284143967095	0.0282284143967095	0.0282284143967095	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	RNA processing / spliceosome	0.177120040357774	0.177120040357774	0.177120040357774	1	1	1.0	canonical_backbone	high	cell cycle / replication	False
CDKN2A	RNA processing / transcription	-0.1901103604730587	0.1901103604730587	0.1901103604730587	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	TGF-beta / BMP signaling	-0.058860241203429045	0.058860241203429045	0.08626560928615744	2	2	1.0	context_deviation	moderate	cell cycle / replication	False
CDKN2A	cell cycle / replication	-0.0025313085270514	0.0025313085270514	0.0025313085270514	1	1	1.0	context_deviation	provisional	cell cycle / replication	True
CDKN2A	chromatin remodeling	0.0170146754911882	0.1336211971159986	0.19049474271371897	2	2	1.0	canonical_backbone	high	cell cycle / replication	False
CDKN2A	cytoskeleton / cell motility	-0.2323084859560769	0.2323084859560769	0.2323084859560769	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	growth / proliferation	0.448413718552077	0.448413718552077	0.448413718552077	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	growth factor / proliferation	-0.0706050266859686	0.0706050266859686	0.0706050266859686	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	mTOR / lysosome / signaling	-0.0262245000962177	0.0262245000962177	0.0262245000962177	1	1	1.0	shift_excess	moderate	cell cycle / replication	False
CDKN2A	metabolism / transcription	-0.2423702262786602	0.2423702262786602	0.2423702262786602	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	nuclear receptor / co-activator	0.0168078423827088	0.0168078423827088	0.0168078423827088	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	nuclear receptor / metabolism	-0.0013778476914364504	0.00631101875684335	0.009135362281817327	2	2	1.0	context_deviation	moderate	cell cycle / replication	False
CDKN2A	oxidative stress / antioxidant	-0.0692965566746596	0.0692965566746596	0.0692965566746596	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	oxidative stress / mitochondrial	0.4054862439937724	0.4054862439937724	0.4054862439937724	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	peroxisome / metabolism	0.0676283861193889	0.0676283861193889	0.0676283861193889	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	proteostasis / chaperone	0.0102414841805583	0.0102414841805583	0.0102414841805583	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	ribosomal / translation	-0.1810084018580971	0.1810084018580971	0.1810084018580971	1	1	1.0	canonical_backbone	high	cell cycle / replication	False
CDKN2A	ribosome biogenesis / nucleolar	-0.3264099601086805	0.3264099601086805	0.3264099601086805	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	signaling / oncogene	-0.077923800542654	0.077923800542654	0.077923800542654	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	synaptic / signaling	0.0596267378031777	0.0596267378031777	0.0596267378031777	1	1	1.0	context_deviation	provisional	cell cycle / replication	False
CDKN2A	transcription / chromatin	0.09134576617733105	0.10258536436556624	0.1942565622085371	2	2	1.0	canonical_backbone	high	cell cycle / replication	False
CDKN2A	transcription regulation	0.017090423603181845	0.04658196460544618	0.30222940325807707	18	18	1.0	context_deviation	moderate	cell cycle / replication	False
COMMD6	ER stress / UPR	0.1063234455242409	0.1063234455242409	0.1063234455242409	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	JAK-STAT signaling	-0.1496552100073246	0.1496552100073246	0.1496552100073246	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	NF-κB / MAPK signaling	-0.0089953801871477	0.0089953801871477	0.0089953801871477	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	NF-κB / copper signaling	0.061069828740701	0.061069828740701	0.061069828740701	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	True
COMMD6	RNA processing / spliceosome	-0.0335078306418491	0.0335078306418491	0.0335078306418491	1	1	1.0	canonical_backbone	high	NF-κB / copper signaling	False
COMMD6	RNA processing / transcription	-0.08055085840618	0.08055085840618	0.08055085840618	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	TGF-beta / BMP signaling	0.0219892542899667	0.030836387698110198	0.05356136873712211	2	2	1.0	context_deviation	moderate	NF-κB / copper signaling	False
COMMD6	cell cycle / replication	0.0441978271426161	0.0441978271426161	0.0441978271426161	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	chromatin remodeling	0.06052339982031615	0.06052339982031615	0.11204594357076814	2	2	1.0	canonical_backbone	high	NF-κB / copper signaling	False
COMMD6	cytoskeleton / cell motility	0.0044808668224213	0.0044808668224213	0.0044808668224213	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	growth / proliferation	0.050823856839045	0.050823856839045	0.050823856839045	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	growth factor / proliferation	-0.1035368066907933	0.1035368066907933	0.1035368066907933	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	mTOR / lysosome / signaling	-0.0113789642487913	0.0113789642487913	0.0113789642487913	1	1	1.0	shift_excess	moderate	NF-κB / copper signaling	False
COMMD6	metabolism / transcription	0.0794228551798246	0.0794228551798246	0.0794228551798246	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	nuclear receptor / co-activator	-0.0293771100873007	0.0293771100873007	0.0293771100873007	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	nuclear receptor / metabolism	0.0055004039639737	0.006037840557891	0.011550754293067714	2	2	1.0	context_deviation	moderate	NF-κB / copper signaling	False
COMMD6	oxidative stress / antioxidant	0.177169666332115	0.177169666332115	0.177169666332115	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	oxidative stress / mitochondrial	-0.3354953072052573	0.3354953072052573	0.3354953072052573	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	peroxisome / metabolism	0.0641926081152928	0.0641926081152928	0.0641926081152928	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	proteostasis / chaperone	-0.0915009542525319	0.0915009542525319	0.0915009542525319	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	ribosomal / translation	-0.3072112398368856	0.3072112398368856	0.3072112398368856	1	1	1.0	canonical_backbone	high	NF-κB / copper signaling	False
COMMD6	ribosome biogenesis / nucleolar	-0.3133923744899639	0.3133923744899639	0.3133923744899639	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	signaling / oncogene	0.0802673751043443	0.0802673751043443	0.0802673751043443	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	synaptic / signaling	0.0372950207662995	0.0372950207662995	0.0372950207662995	1	1	1.0	context_deviation	provisional	NF-κB / copper signaling	False
COMMD6	transcription / chromatin	-0.12738006428528012	0.1524067309551976	0.280903871165109	2	2	1.0	canonical_backbone	high	NF-κB / copper signaling	False
COMMD6	transcription regulation	0.027142155277717704	0.0437761360467581	0.29338696751202253	18	18	1.0	context_deviation	moderate	NF-κB / copper signaling	False
ENY2	ER stress / UPR	-0.0649772535384072	0.0649772535384072	0.0649772535384072	1	1	1.0	context_deviation	provisional	transcription / chromatin	False
ENY2	JAK-STAT signaling	-0.0611263480422869	0.0611263480422869	0.0611263480422869	1	1	1.0	context_deviation	provisional	transcription / chromatin	False
ENY2	NF-κB / MAPK signaling	0.0048915905499962	0.0048915905499962	0.0048915905499962	1	1	1.0	context_deviation	provisional	transcription / chromatin	False
ENY2	NF-κB / copper signaling	-0.1308215595258111	0.1308215595258111	0.1308215595258111	1	1	1.0	context_deviation	provisional	transcription / chromatin	False
