target_gene	expected_axis	architecture_role	cosine_similarity	l2_distance	top20_overlap_fraction
ARID1A	chromatin remodeling	canonical_backbone	-0.08444300102877651	0.4603024795542245	0.6
BMPR1A	TGF-beta / BMP signaling	context_deviation	0.29833397051829635	0.4409495135663287	0.5
CDKN2A	cell cycle / replication	context_deviation	-0.1488748965764167	0.9046941074519596	0.6
COMMD6	NF-κB / copper signaling	context_deviation	-0.2095288368249317	0.7189130951993369	0.6
ENY2	transcription / chromatin	canonical_backbone	0.22837563537293515	0.6459460704162041	0.55
ERC1	synaptic / signaling	context_deviation	-0.0936689263784898	1.0631153515814884	0.7
ETV3	transcription regulation	context_deviation	0.28371828046612046	0.3661706996607498	0.65
GON4L	transcription regulation	context_deviation	0.05949922820909242	0.29198792633737464	0.55
HDGF	growth factor / proliferation	context_deviation	0.24641282229976103	0.5562330456448302	0.6
HLX	transcription regulation	context_deviation	-0.07443933870871078	0.7986246238933798	0.55
KLF3	transcription regulation	context_deviation	-0.03941303749816392	0.4691438598839745	0.55
LAMTOR5	mTOR / lysosome / signaling	shift_excess	-0.0087150223810595	0.9503396167942605	0.6
MAML3	transcription regulation	context_deviation	0.10396932196444542	0.8691302800100887	0.55
MIER1	transcription regulation	context_deviation	-0.35079696616344036	0.42420491185745396	0.5
MTDH	signaling / oncogene	context_deviation	-0.06876695460124055	1.3786850320406034	0.6
MYBL1	transcription regulation	context_deviation	0.18972331579668536	0.7072249564274817	0.6
NCOA1	nuclear receptor / co-activator	context_deviation	-0.143716895431574	0.894671300448192	0.55
NPM1	ribosome biogenesis / nucleolar	context_deviation	-0.2006343425158522	1.5861117482308078	0.5
PA2G4	growth / proliferation	context_deviation	0.13694542872464505	1.2095502972849619	0.6
PARK7	oxidative stress / mitochondrial	context_deviation	-0.05393121753418581	1.3157807214410093	0.55
PCBD1	metabolism / transcription	context_deviation	0.06718324658684333	0.491633910591217	0.55
PEX14	peroxisome / metabolism	context_deviation	-0.07113574596997742	0.4040505331570482	0.45
PFDN5	proteostasis / chaperone	context_deviation	-0.2749758512337196	1.66648586759987	0.65
PMF1	transcription regulation	context_deviation	0.27040560502219624	0.4979350212256224	0.7
PRDX2	oxidative stress / antioxidant	context_deviation	0.023183115370646254	1.581706614391992	0.7
PRPF6	RNA processing / spliceosome	canonical_backbone	0.18240928217865507	0.45002287250929857	0.55
RORC	nuclear receptor / metabolism	context_deviation	0.11013461045133308	0.9492668612823827	0.5
RPS3	ribosomal / translation	canonical_backbone	-0.12099086672700614	1.429772240602166	0.6
RUVBL2	chromatin remodeling	canonical_backbone	0.22472057900369657	0.46094371176784193	0.6
SMAD1	TGF-beta / BMP signaling	context_deviation	0.11061195867707656	0.5060899517484168	0.5
STAT3	JAK-STAT signaling	context_deviation	-0.11197259824873171	0.8031427514456004	0.5
TAB3	NF-κB / MAPK signaling	context_deviation	0.009544524618383917	0.32328079492520656	0.6
TADA3	transcription / chromatin	canonical_backbone	0.10475326826834441	0.5856182786933338	0.55
THAP8	transcription regulation	context_deviation	0.302312914032856	0.4136184547342253	0.6
THRA	nuclear receptor / metabolism	context_deviation	0.41235267717210733	0.5665815720604862	0.75
TMF1	transcription regulation	context_deviation	0.10729747582745555	0.42399362580002076	0.6
TMSB4X	cytoskeleton / cell motility	context_deviation	-0.23415666958287365	0.967659880744589	0.6
UBP1	transcription regulation	context_deviation	-0.24037078648258445	0.3060042782685559	0.7
VEZF1	transcription regulation	context_deviation	0.3597166094446799	0.3462191353970949	0.5
XBP1	ER stress / UPR	context_deviation	0.035686873033423556	0.8801740969442194	0.65
YBX1	RNA processing / transcription	context_deviation	0.14146517665766473	1.6482973507473206	0.5
ZBTB17	transcription regulation	context_deviation	0.12085382626537215	0.3598642117201946	0.55
ZBTB20	transcription regulation	context_deviation	-0.0422206654552577	0.819371988431128	0.65
ZBTB5	transcription regulation	context_deviation	0.29312221298866176	0.23083092706408045	0.5
ZNF131	transcription regulation	context_deviation	0.05877643855232274	0.6457910181601337	0.55
ZNF24	transcription regulation	context_deviation	0.3236926272824354	0.2436017169613555	0.65
ZNF566	transcription regulation	context_deviation	0.17587201016880918	0.2639834374231595	0.5
