target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	0.0226930910284168	0.0226930910284168	0.0226930910284168	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0483501851057428	0.0483501851057428	0.0483501851057428	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0144291015163824	0.0144291015163824	0.0144291015163824	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	-0.0903153818408318	0.0903153818408318	0.0903153818408318	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	-0.0080610174670105	0.0080610174670105	0.0080610174670105	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.2260648099877288	0.2260648099877288	0.2260648099877288	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	0.0232356779105264	0.0232356779105264	0.040177465155116325	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	2.0967843261648173e-05	2.0967843261648173e-05	2.0967843261648173e-05	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	0.0138714722253695	0.046026559454401095	0.06798326142380515	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	-0.2326877952991758	0.2326877952991758	0.2326877952991758	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.1322466872254507	0.1322466872254507	0.1322466872254507	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	0.0115714221746265	0.0115714221746265	0.0115714221746265	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	0.2867235470487735	0.2867235470487735	0.2867235470487735	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	-0.0375245748998343	0.0375245748998343	0.0375245748998343	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	0.0018874680087871	0.0018874680087871	0.0018874680087871	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	-0.01032304253716255	0.01032304253716255	0.02020770651424273	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.0718119091652401	0.0718119091652401	0.0718119091652401	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	0.2352981766927885	0.2352981766927885	0.2352981766927885	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.0106830433325835	0.0106830433325835	0.0106830433325835	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.0822407291042858	0.0822407291042858	0.0822407291042858	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	-0.0318909609989413	0.0318909609989413	0.0318909609989413	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	0.1692643579654119	0.1692643579654119	0.1692643579654119	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	-0.320516716423632	0.320516716423632	0.320516716423632	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	0.0789511395443654	0.0789511395443654	0.0789511395443654	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	-0.04067106330697575	0.04067106330697575	0.058505262013553015	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	0.005193162885013044	0.02025067260074829	0.11496923203070265	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	0.0181723269562379	0.0181723269562379	0.0181723269562379	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	0.0475301067570664	0.0475301067570664	0.0475301067570664	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	-0.0081017014582391	0.0081017014582391	0.0081017014582391	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	-0.0243482415531053	0.0243482415531053	0.0243482415531053	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.032301391707406	0.032301391707406	0.032301391707406	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	-0.0295559050099739	0.0295559050099739	0.0295559050099739	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	TGF-beta / BMP signaling	-0.03694037780529865	0.03694037780529865	0.05288632571691403	2	2	1.0	context_deviation	moderate	TGF-beta / BMP signaling	True
BMPR1A	cell cycle / replication	3.60972619074442e-05	3.60972619074442e-05	3.60972619074442e-05	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
