target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	-0.1763871709423388	0.1763871709423388	0.1763871709423388	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	0.0562211012635646	0.0562211012635646	0.0562211012635646	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	-0.003579111798835	0.003579111798835	0.003579111798835	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	-0.050571138349085	0.050571138349085	0.050571138349085	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0017479269211754	0.0017479269211754	0.0017479269211754	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.3465618895526342	0.3465618895526342	0.3465618895526342	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	0.0298115280541402	0.0298115280541402	0.050119702643976034	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	-0.0114179091390406	0.0114179091390406	0.0114179091390406	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	0.01203613344463	0.0158542348551248	0.02815049808221499	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	0.2463162508794422	0.2463162508794422	0.2463162508794422	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	0.0935484855909595	0.0935484855909595	0.0935484855909595	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	0.0424058620761302	0.0424058620761302	0.0424058620761302	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	-0.1910422707269585	0.1910422707269585	0.1910422707269585	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
ARID1A	metabolism / transcription	0.0174746700574877	0.0174746700574877	0.0174746700574877	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / co-activator	0.0128265485201861	0.0128265485201861	0.0128265485201861	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	nuclear receptor / metabolism	0.0049419527139309	0.0049419527139309	0.008362006937555452	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	oxidative stress / antioxidant	0.0285316780687234	0.0285316780687234	0.0285316780687234	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	oxidative stress / mitochondrial	-0.0393995157225569	0.0393995157225569	0.0393995157225569	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	peroxisome / metabolism	0.02552349946757	0.02552349946757	0.02552349946757	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	proteostasis / chaperone	0.0633475055984845	0.0633475055984845	0.0633475055984845	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	ribosomal / translation	0.1525762918329018	0.1525762918329018	0.1525762918329018	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	ribosome biogenesis / nucleolar	-0.0959122452933717	0.0959122452933717	0.0959122452933717	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	signaling / oncogene	-0.0797338705775739	0.0797338705775739	0.0797338705775739	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	synaptic / signaling	0.0870484595866213	0.0870484595866213	0.0870484595866213	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	transcription / chromatin	-0.021560580224451002	0.021560580224451002	0.03061964790159259	2	2	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	transcription regulation	0.008996441970184588	0.024346239155730667	0.1493496649644474	18	18	1.0	context_deviation	moderate	chromatin remodeling	False
BMPR1A	ER stress / UPR	0.0523621072273953	0.0523621072273953	0.0523621072273953	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	JAK-STAT signaling	-0.0635178927538711	0.0635178927538711	0.0635178927538711	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / MAPK signaling	-0.0071931231430435	0.0071931231430435	0.0071931231430435	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	NF-κB / copper signaling	0.0791605092727525	0.0791605092727525	0.0791605092727525	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / spliceosome	0.0123625890402678	0.0123625890402678	0.0123625890402678	1	1	1.0	canonical_backbone	high	TGF-beta / BMP signaling	False
BMPR1A	RNA processing / transcription	0.0125659692172027	0.0125659692172027	0.0125659692172027	1	1	1.0	context_deviation	provisional	TGF-beta / BMP signaling	False
