target_gene	expected_axis	architecture_role	cosine_similarity	l2_distance	top20_overlap_fraction
ARID1A	chromatin remodeling	canonical_backbone	0.277634518812061	0.5762431394710303	0.65
BMPR1A	TGF-beta / BMP signaling	context_deviation	-0.0845245336674544	0.5699948980938012	0.55
CDKN2A	cell cycle / replication	context_deviation	-0.09803668816378075	0.459217953291403	0.6
COMMD6	NF-κB / copper signaling	context_deviation	0.036728421363679195	0.5979740557751823	0.5
ENY2	transcription / chromatin	canonical_backbone	0.0010067238440211626	0.6610896408596483	0.55
ERC1	synaptic / signaling	context_deviation	-0.10620188052114479	0.5512782506921745	0.55
ETV3	transcription regulation	context_deviation	0.29011070810916195	0.5131127837731093	0.6
GON4L	transcription regulation	context_deviation	0.08287744043586083	0.7468917534080309	0.5
HDGF	growth factor / proliferation	context_deviation	-0.1231418392439086	0.6303277021001114	0.65
HLX	transcription regulation	context_deviation	-0.03210348525937752	0.9517707424860201	0.45
KLF3	transcription regulation	context_deviation	-0.14570648900890018	0.966722568564421	0.5
LAMTOR5	mTOR / lysosome / signaling	shift_excess	-0.11116983242114906	0.9310866877034697	0.5
MAML3	transcription regulation	context_deviation	0.1874399972520283	0.4611213455876956	0.5
MIER1	transcription regulation	context_deviation	-0.17764971609046312	0.5052146367661302	0.6
MTDH	signaling / oncogene	context_deviation	-0.11284652711139452	1.2497182855132316	0.65
MYBL1	transcription regulation	context_deviation	0.4411594489866951	0.5609116734908448	0.6
NCOA1	nuclear receptor / co-activator	context_deviation	0.16170403249756604	0.7429874457263677	0.55
NPM1	ribosome biogenesis / nucleolar	context_deviation	-0.017010683548010646	1.1510201634007429	0.3
PA2G4	growth / proliferation	context_deviation	-0.07571840819075432	1.1521765026568938	0.45
PARK7	oxidative stress / mitochondrial	context_deviation	-0.06908086900391955	1.0148588299459063	0.6
PCBD1	metabolism / transcription	context_deviation	0.07888807675184699	0.7027874353894336	0.65
PEX14	peroxisome / metabolism	context_deviation	-0.0653195632743572	0.5392872378441862	0.65
PFDN5	proteostasis / chaperone	context_deviation	-0.07257548393657844	1.0727911059377864	0.65
PMF1	transcription regulation	context_deviation	0.23433625168810734	0.39620826692371214	0.5
PRDX2	oxidative stress / antioxidant	context_deviation	0.01674223807418445	0.8962050908507936	0.55
PRPF6	RNA processing / spliceosome	canonical_backbone	0.03753602526788641	0.6119592913372941	0.5
RORC	nuclear receptor / metabolism	context_deviation	0.14823696273185138	0.5531174110271624	0.55
RPS3	ribosomal / translation	canonical_backbone	0.22394376061291107	0.9202482022180348	0.65
RUVBL2	chromatin remodeling	canonical_backbone	0.14490541816862315	0.8161177611990941	0.45
SMAD1	TGF-beta / BMP signaling	context_deviation	0.20031259166124152	0.8991077027355074	0.5
STAT3	JAK-STAT signaling	context_deviation	0.10569743631396034	0.5738534392521863	0.6
TAB3	NF-κB / MAPK signaling	context_deviation	-0.163457913543272	0.5697901875235416	0.6
TADA3	transcription / chromatin	canonical_backbone	-0.10696982209957655	0.709464615161169	0.65
THAP8	transcription regulation	context_deviation	0.20290473561107622	0.24710898069741344	0.6
THRA	nuclear receptor / metabolism	context_deviation	0.4450001610616551	0.34500390662914193	0.45
TMF1	transcription regulation	context_deviation	-0.18434405972575257	0.39579705661571274	0.6
TMSB4X	cytoskeleton / cell motility	context_deviation	-0.08760744868979155	0.9878510173760456	0.6
UBP1	transcription regulation	context_deviation	0.354567990641704	0.36735712472682786	0.55
VEZF1	transcription regulation	context_deviation	-0.07683398819858062	0.5274134674561585	0.55
XBP1	ER stress / UPR	context_deviation	-0.022126474446174757	0.6894262971751064	0.6
YBX1	RNA processing / transcription	context_deviation	0.06426597283535472	1.5648666153603434	0.6
ZBTB17	transcription regulation	context_deviation	0.11711970211095278	0.3560124897695935	0.55
ZBTB20	transcription regulation	context_deviation	-0.07960940794235381	0.2707689894930892	0.65
ZBTB5	transcription regulation	context_deviation	0.36400721406006453	0.2861633152952186	0.5
ZNF131	transcription regulation	context_deviation	0.1727762846315254	0.4747148451007592	0.7
ZNF24	transcription regulation	context_deviation	0.010167108732014167	0.391238473456502	0.65
ZNF566	transcription regulation	context_deviation	0.34399556498512307	0.2762133390173273	0.6
