target_gene	expected_axis	architecture_role	cosine_similarity	l2_distance	top20_overlap_fraction
ARID1A	chromatin remodeling	canonical_backbone	0.11630425347745588	0.3769610758211816	0.7
BMPR1A	TGF-beta / BMP signaling	context_deviation	-0.05126717311306705	0.27744977756861955	0.65
CDKN2A	cell cycle / replication	context_deviation	-0.31842329642634887	0.3549371606721373	0.6
COMMD6	NF-κB / copper signaling	context_deviation	0.12121990407751584	0.7223569370355081	0.6
ENY2	transcription / chromatin	canonical_backbone	0.3445373225553442	0.7288801066392997	0.85
ERC1	synaptic / signaling	context_deviation	0.47379911618820897	0.13799001244824247	0.5
ETV3	transcription regulation	context_deviation	0.0005544846638138718	0.20415512964709312	0.55
GON4L	transcription regulation	context_deviation	0.04699100824350024	0.2793271084088149	0.55
HDGF	growth factor / proliferation	context_deviation	0.07237224862037214	0.6114329293352467	0.45
HLX	transcription regulation	context_deviation	0.12032318634447149	0.18200533916799705	0.55
KLF3	transcription regulation	context_deviation	0.21679795977204241	0.5037024683557153	0.4
LAMTOR5	mTOR / lysosome / signaling	shift_excess	0.25733059065358227	0.6221343851131679	0.65
MAML3	transcription regulation	context_deviation	0.2693263621987835	0.14074236532140788	0.5
MIER1	transcription regulation	context_deviation	0.42351549652680953	0.30183881162835685	0.55
MTDH	signaling / oncogene	context_deviation	0.09913864584953229	0.8487403369090827	0.65
MYBL1	transcription regulation	context_deviation	0.33610008935197905	0.4235747367381496	0.55
NCOA1	nuclear receptor / co-activator	context_deviation	0.36949487082363086	0.16615487557022868	0.65
NPM1	ribosome biogenesis / nucleolar	context_deviation	0.15959105137902446	1.644252684690637	0.5
PA2G4	growth / proliferation	context_deviation	0.09549985010564965	1.1578116430503471	0.6
PARK7	oxidative stress / mitochondrial	context_deviation	0.1994191100147235	1.1058741166708386	0.6
PCBD1	metabolism / transcription	context_deviation	0.026471525360871228	0.44164356077730593	0.35
PEX14	peroxisome / metabolism	context_deviation	0.32333654303434417	0.210388929524713	0.65
PFDN5	proteostasis / chaperone	context_deviation	0.15210778826181914	1.0679710925230292	0.5
PMF1	transcription regulation	context_deviation	0.3733903244768119	0.4716479972117733	0.65
PRDX2	oxidative stress / antioxidant	context_deviation	0.16746579430823394	0.7857293595645345	0.8
PRPF6	RNA processing / spliceosome	canonical_backbone	-0.09909753300328208	0.5946196308998549	0.55
RORC	nuclear receptor / metabolism	context_deviation	0.19891419065967691	0.2178301702503587	0.55
RPS3	ribosomal / translation	canonical_backbone	0.053651203569914575	1.3016481414071959	0.6
RUVBL2	chromatin remodeling	canonical_backbone	0.3687718792067191	0.6507412361620802	0.65
SMAD1	TGF-beta / BMP signaling	context_deviation	0.2437714654642805	0.17896631901982232	0.6
STAT3	JAK-STAT signaling	context_deviation	0.06621947449364438	0.5284685497503752	0.55
TAB3	NF-κB / MAPK signaling	context_deviation	0.4045235982957963	0.17709018219046213	0.7
TADA3	transcription / chromatin	canonical_backbone	0.039031812781936875	0.5794827897666177	0.45
THAP8	transcription regulation	context_deviation	0.18553906575658313	0.22089159164146585	0.55
THRA	nuclear receptor / metabolism	context_deviation	-0.1433877305767678	0.429775752259868	0.65
TMF1	transcription regulation	context_deviation	0.31556460167564016	0.24561449820755393	0.5
TMSB4X	cytoskeleton / cell motility	context_deviation	0.1268129542140348	1.107009159967807	0.65
UBP1	transcription regulation	context_deviation	0.4606481957679591	0.17181104650472245	0.6
VEZF1	transcription regulation	context_deviation	-0.13755289485578076	0.3610561075839084	0.55
XBP1	ER stress / UPR	context_deviation	-0.1262384655986934	0.7253649315179638	0.5
YBX1	RNA processing / transcription	context_deviation	0.21076079997976033	1.4815970872317261	0.55
ZBTB17	transcription regulation	context_deviation	0.47741197328998064	0.4237139305390978	0.55
ZBTB20	transcription regulation	context_deviation	-0.04009282854784322	0.14931767612491315	0.55
ZBTB5	transcription regulation	context_deviation	0.3166163381590722	0.1906245473943272	0.65
ZNF131	transcription regulation	context_deviation	-0.07940380916816744	0.4463566301037132	0.6
ZNF24	transcription regulation	context_deviation	-0.2456576758076057	0.24973087423049944	0.6
ZNF566	transcription regulation	context_deviation	0.21676949454897843	0.1958224123970719	0.6
