target_gene	fine_axis	projected_signed_mean	projected_mean_abs	projected_l2	n_axis_genes	n_projected_genes	gene_coverage	architecture_role	confidence	expected_axis	is_expected_axis
ARID1A	ER stress / UPR	-0.0076524302881341	0.0076524302881341	0.0076524302881341	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	JAK-STAT signaling	-0.0093959423557987	0.0093959423557987	0.0093959423557987	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / MAPK signaling	0.0088487716492904	0.0088487716492904	0.0088487716492904	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	NF-κB / copper signaling	-0.0071862193130836	0.0071862193130836	0.0071862193130836	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	RNA processing / spliceosome	0.0007200658892877	0.0007200658892877	0.0007200658892877	1	1	1.0	canonical_backbone	high	chromatin remodeling	False
ARID1A	RNA processing / transcription	-0.009668058281003	0.009668058281003	0.009668058281003	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	TGF-beta / BMP signaling	-0.00766266003902255	0.00766266003902255	0.01447362800408674	2	2	1.0	context_deviation	moderate	chromatin remodeling	False
ARID1A	cell cycle / replication	0.0	0.0	0.0	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	chromatin remodeling	0.0023077458280162007	0.0223910921606525	0.03183352631907311	2	2	1.0	canonical_backbone	high	chromatin remodeling	True
ARID1A	cytoskeleton / cell motility	0.0080343957841878	0.0080343957841878	0.0080343957841878	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth / proliferation	-0.0158974249838072	0.0158974249838072	0.0158974249838072	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	growth factor / proliferation	-0.0356321480976761	0.0356321480976761	0.0356321480976761	1	1	1.0	context_deviation	provisional	chromatin remodeling	False
ARID1A	mTOR / lysosome / signaling	-0.0062175723272284	0.0062175723272284	0.0062175723272284	1	1	1.0	shift_excess	moderate	chromatin remodeling	False
