target_gene	expected_axis	architecture_role	cosine_similarity	l2_distance	top20_overlap_fraction
ARID1A	chromatin remodeling	canonical_backbone	0.22556873482198123	0.3711566029919593	0.6
BMPR1A	TGF-beta / BMP signaling	context_deviation	-0.07931841662744542	0.307485568808371	0.55
CDKN2A	cell cycle / replication	context_deviation	0.030516744315395142	0.26394441153147685	0.5
COMMD6	NF-κB / copper signaling	context_deviation	0.05206877582846792	0.30700965550893905	0.6
ENY2	transcription / chromatin	canonical_backbone	0.345294421628451	0.5061647608553561	0.65
ERC1	synaptic / signaling	context_deviation	0.007842119636125515	0.32589285083357383	0.6
ETV3	transcription regulation	context_deviation	-0.051674411717284006	0.3026964364102681	0.55
GON4L	transcription regulation	context_deviation	0.12595128968599117	0.3075248646407542	0.5
HDGF	growth factor / proliferation	context_deviation	0.2333188679562234	0.5380732168686667	0.65
HLX	transcription regulation	context_deviation	0.3963796999692367	0.22680760410433976	0.4
KLF3	transcription regulation	context_deviation	0.10240625772898218	0.31284998403889613	0.6
LAMTOR5	mTOR / lysosome / signaling	shift_excess	-0.14325807853578182	0.8851034474949351	0.5
MAML3	transcription regulation	context_deviation	0.35007629189859646	0.22463310635248865	0.5
MIER1	transcription regulation	context_deviation	-0.03312410658538517	0.3227830175266415	0.65
MTDH	signaling / oncogene	context_deviation	0.266044864797845	0.8589739188195176	0.55
MYBL1	transcription regulation	context_deviation	0.3325966083277847	0.2585322611721309	0.65
NCOA1	nuclear receptor / co-activator	context_deviation	0.2447900482243279	0.24083160724557087	0.55
NPM1	ribosome biogenesis / nucleolar	context_deviation	0.17288235145288647	1.0883954682610892	0.45
PA2G4	growth / proliferation	context_deviation	-0.1129427867770228	0.9073016818076577	0.6
PARK7	oxidative stress / mitochondrial	context_deviation	0.004420858388519107	0.8541416070519937	0.6
PCBD1	metabolism / transcription	context_deviation	0.10308912087428392	0.37124394665193994	0.5
PEX14	peroxisome / metabolism	context_deviation	0.16936561869657926	0.27248268026253225	0.5
PFDN5	proteostasis / chaperone	context_deviation	-0.13098588103006947	0.8581861941952821	0.65
PMF1	transcription regulation	context_deviation	0.3399461640417104	0.3389767787501174	0.6
PRDX2	oxidative stress / antioxidant	context_deviation	-0.09338647032582961	0.7885715642917851	0.55
PRPF6	RNA processing / spliceosome	canonical_backbone	0.2747684730747271	0.4151573831957724	0.55
RORC	nuclear receptor / metabolism	context_deviation	0.24459480107895015	0.23728346784375412	0.45
RPS3	ribosomal / translation	canonical_backbone	0.7833550107570394	0.6931353313912685	0.6
RUVBL2	chromatin remodeling	canonical_backbone	0.3826484525814973	0.41747804347082423	0.6
SMAD1	TGF-beta / BMP signaling	context_deviation	0.2237790548196668	0.25125706452172	0.55
STAT3	JAK-STAT signaling	context_deviation	-0.02117253815026055	0.4729224927030811	0.55
TAB3	NF-κB / MAPK signaling	context_deviation	0.2833017684813749	0.24082563589961362	0.55
TADA3	transcription / chromatin	canonical_backbone	0.43536841434767237	0.4375731944497305	0.55
THAP8	transcription regulation	context_deviation	0.07781674192950652	0.2692226787586194	0.55
THRA	nuclear receptor / metabolism	context_deviation	0.12912862147421655	0.2835991759775474	0.65
TMF1	transcription regulation	context_deviation	-0.1464101849509605	0.38234292753208615	0.65
TMSB4X	cytoskeleton / cell motility	context_deviation	0.02889815854103741	0.820789326018029	0.55
UBP1	transcription regulation	context_deviation	0.058548959598688936	0.2704167114451773	0.5
VEZF1	transcription regulation	context_deviation	0.2128505935521269	0.33986208533116147	0.6
XBP1	ER stress / UPR	context_deviation	-0.0325250139031492	0.30452319318733434	0.7
YBX1	RNA processing / transcription	context_deviation	0.1308571542494968	1.499530957153327	0.6
ZBTB17	transcription regulation	context_deviation	0.2522811547791826	0.299003243887507	0.65
ZBTB20	transcription regulation	context_deviation	0.17742233831227286	0.2744785723638101	0.65
ZBTB5	transcription regulation	context_deviation	0.3456243522435923	0.23034313396598452	0.55
ZNF131	transcription regulation	context_deviation	0.4038060595990112	0.38331225973196675	0.55
ZNF24	transcription regulation	context_deviation	0.2123665268843788	0.2583468208283299	0.65
ZNF566	transcription regulation	context_deviation	0.3268477866951599	0.24037740484448314	0.6
