model_id	object_role	cell_line	export_status	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score	cosine_similarity_mean	l2_distance_mean	top20_overlap_mean	backbone_cosine_similarity_mean	backbone_l2_distance_mean	backbone_top20_overlap_mean	backbone_target_count	shift_excess_cosine_similarity_mean	shift_excess_l2_distance_mean	shift_excess_top20_overlap_mean	shift_excess_target_count	context_deviation_cosine_similarity_mean	context_deviation_l2_distance_mean	context_deviation_top20_overlap_mean	context_deviation_target_count
null_model	null	HCC38	contract_validated	0.5	0.5	0.0	0.0	0.38767620728154056	0.46276595744680843	0.0	0.5142821617991488	0.4833333333333334	6	0.0	0.8186488784461469	0.45	1	0.0	0.35791099732478415	0.45999999999999996	40
null_model	null	HCC1143	contract_validated	0.5	0.5	0.0	0.0	0.4395996738572114	0.4553191489361701	0.0	0.6396895894212518	0.5083333333333333	6	0.0	0.5526408290413128	0.45	1	0.0	0.4067601576430027	0.44750000000000006	40
shared_mean_baseline	baseline	HCC38	contract_validated	0.7733333333333333	0.5	0.35699195337176404	0.1625962845248893	0.448117964701647	0.5723404255319149	0.40783391786856144	0.4734442193924852	0.5916666666666667	6	-0.14325807853578182	0.8851034474949351	0.5	1	0.13345699859985527	0.4333943894281891	0.5712499999999999	40
shared_mean_baseline	baseline	HCC1143	contract_validated	0.84	0.16666666666666666	0.3482371639207613	0.15335939735785997	0.5284464067398589	0.5670212765957446	0.40858350594437537	0.5903076255599328	0.6333333333333333	6	-0.07698168704776083	0.6555213695915926	0.55	1	0.12083430818002316	0.5159903498455544	0.5575	40
gears_hcc_formal_v1	entrant	HCC38	contract_validated	0.6	0.16666666666666666	0.42578629541000956	0.14484916645175916	0.5797607298011724	0.5351063829787235	0.17934697371476468	0.6365135117006142	0.5833333333333334	6	0.2155450763402789	0.8781607118480842	0.55	1	0.13790709761509534	0.5637878129650834	0.5275000000000001	40
gears_hcc_formal_v1	entrant	HCC1143	contract_validated	0.7199999999999999	0.5	0.43104446604068813	0.11870645018773829	0.674046169528947	0.48297872340425524	0.13422124684062772	0.7542386799490793	0.49166666666666664	6	0.07921224701858776	0.6934291217736468	0.65	1	0.11736658576903367	0.6615327191598096	0.47750000000000004	40
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	contract_validated	0.5933333333333334	0.5	0.4609447214541419	0.16357443954002265	0.6466282263596849	0.5010638297872341	0.10428425900616962	0.7257695411166768	0.5166666666666667	6	-0.006001834043955117	0.9229509442477596	0.45	1	0.17670737345970006	0.6278489611989342	0.5	40
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	contract_validated	0.6599999999999999	0.5	0.45736787809964047	0.23705521675555857	0.6181937828013306	0.5138297872340426	0.30639840590735384	0.7030240513868261	0.5750000000000001	6	0.21120525324190645	0.783711978442633	0.65	1	0.2272999874706306	0.6013312876224738	0.50125	40
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	contract_validated	0.5399999999999999	0.8333333333333334	0.41983603150628584	0.14507326460651487	0.5260282076361252	0.5063829787234043	0.225888183706757	0.5599024592907571	0.5166666666666667	6	-0.2208499617557056	0.929772034780814	0.55	1	0.14209910740053408	0.5108534742093133	0.5037499999999999	40
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	contract_validated	0.6866666666666666	1.0	0.43583028969437015	0.10622440740937718	0.6660670663793232	0.5276595744680851	0.21319312917011102	0.7241051992450633	0.5916666666666667	6	0.2694013001859954	0.8727469195054205	0.55	1	0.08609967682585162	0.6521943501213098	0.5175000000000001	40
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	contract_validated	0.58	1.0	0.4229206586829836	0.12116138566722072	0.5484467250509322	0.5031914893617021	0.05887544118035314	0.6536863514630875	0.5750000000000001	6	0.2380895089970971	0.8266643397893634	0.55	1	0.12758107425700393	0.5257053407206479	0.4912500000000001	40
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	contract_validated	0.7066666666666667	0.6666666666666666	0.47412810349249673	0.21447249434996907	0.5915791039940055	0.5255319148936171	0.3385426606152357	0.6785984585891577	0.55	6	0.469579737992223	0.5590614163976789	0.55	1	0.18948428831912273	0.5793391429946408	0.52125	40
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	contract_validated	0.5333333333333333	1.0	0.42913529793882876	0.18477395242924202	0.5748648582778392	0.5308510638297873	0.16527143354818932	0.6538885853936874	0.525	6	0.6984443180820488	0.6101519782255748	0.5	1	0.17485757112007974	0.5621291212117685	0.5325	40
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	contract_validated	0.5266666666666667	0.8333333333333334	0.4626504812931767	0.21428456426759532	0.6440405507324493	0.524468085106383	0.2716738942044204	0.7203567837620785	0.625	6	0.32535345483456735	0.9049994090918678	0.5	1	0.2028994425128973	0.6260691443190194	0.51	40
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC38	contract_validated	0.38666666666666666	0.8333333333333334	0.49005357276233596	0.1573030442048559	0.560733511756173	0.48404255319148937	0.10412637363549059	0.6270715200634358	0.4833333333333334	6	0.266539496479043	0.8529681862588001	0.45	1	0.16254863348340604	0.5434769436475181	0.485	40
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	entrant	HCC1143	contract_validated	0.6	0.5	0.4467898346336644	0.2546616965936137	0.5900051970237808	0.5351063829787235	0.31083796499182864	0.728297396471715	0.5666666666666665	6	0.3560948122754822	0.7449051990925346	0.6	1	0.2436994284418347	0.5653888670548718	0.52875	40
geneformer_hcc_formal_v1	entrant	HCC38	contract_validated	0.49333333333333335	0.8333333333333334	0.42282049266867194	0.1462373412110174	0.40175594044709484	0.5563829787234043	0.14766974604196045	0.5165521401951079	0.5666666666666668	6	-0.19509248915088584	0.850501179895724	0.5	1	0.1545557262454235	0.37331787949867723	0.55625	40
geneformer_hcc_formal_v1	entrant	HCC1143	contract_validated	0.5733333333333334	0.6666666666666666	0.37951029729003405	0.11478446637429714	0.46219915421745716	0.5744680851063831	0.20388371040981848	0.6326961127560929	0.6	6	-0.34405447490031166	0.5945181462621977	0.5	1	0.11289055330083415	0.43331663563554346	0.5725	40
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	contract_validated	0.5333333333333333	0.3333333333333333	0.3197359883174445	0.0512408599066373	0.7301642711089633	0.5797872340425532	0.08913748284464144	0.6721009422571781	0.5750000000000001	6	-0.0087150223810595	0.9503396167942605	0.6	1	0.04705526352312908	0.7333693867945985	0.58	40
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	contract_validated	0.7199999999999999	0.0	0.3315887752109247	0.10113416800963695	0.7729522639984209	0.5840425531914893	0.22224553315170156	0.712466967884665	0.6166666666666666	6	0.19942618424828576	0.7423101869296195	0.65	1	0.08051016283236102	0.7827911103422044	0.5774999999999999	40
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	contract_validated	0.5	0.0	0.252801658315375	0.04157870506758573	0.7559280900600766	0.5819148936170213	0.07821319682842416	0.8378826225941286	0.6	6	0.004608396231275276	0.9706235150427551	0.7	1	0.03700778902436773	0.738267524555402	0.5762499999999999	40
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	contract_validated	0.43333333333333335	0.3333333333333333	0.2651210611884321	0.017289926972693808	0.8437880932833334	0.5840425531914893	0.08769777791374526	0.9832293155281248	0.625	6	-0.06896293336715964	0.8177612242651476	0.6	1	0.008885070840032426	0.8235225816720693	0.5775	40
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	contract_validated	0.5599999999999999	0.6666666666666666	0.2780542551669404	0.05812829091818003	0.6688211218058587	0.5648936170212766	0.09634277076765439	0.7158537750410451	0.5750000000000001	6	-0.11116983242114906	0.9310866877034697	0.5	1	0.056628572024242096	0.6552095846731404	0.5650000000000001	40
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	contract_validated	0.5133333333333333	0.5	0.2944174276316009	0.034316701114834355	0.745478664388656	0.5851063829787235	0.19335826820541743	0.8309246889841079	0.6416666666666667	6	-0.10739736211619809	0.7227852471322691	0.7	1	0.014003317632022694	0.7332290961307479	0.57375	40
scgpt_hcc_formal_v1	entrant	HCC38	contract_validated	0.4266666666666667	0.5	0.30848152606146056	0.08867290233281638	0.4655248112387513	0.5404255319148936	0.08548701776390417	0.5928462282624728	0.5416666666666666	6	0.0010599761300830578	0.8787131421983215	0.65	1	0.09134110817322154	0.43609689041120364	0.5375	40
scgpt_hcc_formal_v1	entrant	HCC1143	contract_validated	0.46666666666666673	0.16666666666666666	0.28116848047952925	0.15338240780967963	0.5190475788413795	0.5819148936170214	0.1371998230980148	0.7053888301160383	0.6333333333333333	6	0.25733059065358227	0.6221343851131679	0.65	1	0.15321109094533178	0.48851922099338585	0.5725	40
