cell_line	quantile_low	quantile_high	joint_grid	n_targets	fraction_targets
HCC1143	0.2	0.8	Q1_anchor	7	0.14583333333333334
HCC1143	0.2	0.8	Q4_low_information	5	0.10416666666666667
HCC1143	0.2	0.8	middle	36	0.75
HCC38	0.2	0.8	Q1_anchor	7	0.14893617021276595
HCC38	0.2	0.8	Q4_low_information	6	0.1276595744680851
HCC38	0.2	0.8	middle	34	0.723404255319149
HCC1143	0.25	0.75	Q1_anchor	10	0.20833333333333334
HCC1143	0.25	0.75	Q4_low_information	6	0.125
HCC1143	0.25	0.75	middle	32	0.6666666666666666
HCC38	0.25	0.75	Q1_anchor	9	0.19148936170212766
HCC38	0.25	0.75	Q4_low_information	6	0.1276595744680851
HCC38	0.25	0.75	middle	32	0.6808510638297872
HCC1143	0.33	0.67	Q1_anchor	14	0.2916666666666667
HCC1143	0.33	0.67	Q4_low_information	10	0.20833333333333334
HCC1143	0.33	0.67	middle	24	0.5
HCC38	0.33	0.67	Q1_anchor	11	0.23404255319148937
HCC38	0.33	0.67	Q2_transcriptomic_excess	1	0.02127659574468085
HCC38	0.33	0.67	Q3_dependency_excess	2	0.0425531914893617
HCC38	0.33	0.67	Q4_low_information	10	0.2127659574468085
HCC38	0.33	0.67	middle	23	0.48936170212765956
