axis_id	bootstrap_replicates_completed	bootstrap_shift_r2_mean	bootstrap_shift_r2_p10	bootstrap_shift_r2_p90	bootstrap_dep_r2_mean	bootstrap_dep_r2_p10	bootstrap_dep_r2_p90	bootstrap_dominant_call	bootstrap_dominant_call_fraction	bootstrap_stability_call
ribosomal / translation	126	0.045842134781715796	0.010154354009952928	0.08130976752664623	0.17253116716198647	0.09625337965972264	0.27824619577756965	preliminary_dependency_heavy_axis	0.6746031746031746	moderately_stable_axis_call
proteostasis / chaperone	127	0.056918175594638507	0.024681736250341545	0.09261160101975827	0.1341231561074251	0.06378135678924987	0.19639543754529712	preliminary_shared_signal_axis	0.5275590551181102	moderately_stable_axis_call
ribosome biogenesis / nucleolar	137	0.0887045228656395	0.0024984293934236803	0.175697680011688	0.07414741120283298	0.0007293922067430907	0.15783037644837794	preliminary_shared_signal_axis	0.5255474452554745	moderately_stable_axis_call
ER stress / UPR	133	0.02571821332082191	0.012739794575566194	0.04406156496430237	0.014498808486735126	0.0077497256543345	0.02405128103512369	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
JAK-STAT signaling	130	0.017093088770093513	0.008535044867401103	0.031071882634833153	0.013813872558643454	0.007400674877829117	0.024130587594482326	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
NF-κB / MAPK signaling	126	0.0040751811597616195	0.00048088510562285314	0.007931034521080897	0.012783161512067332	0.0065798126442534015	0.018668543367585125	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
NF-κB / copper signaling	126	0.0250846564978131	0.01248896851710884	0.03785926261715422	0.009675170116829458	0.0012031910105726963	0.019757046358150572	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
RNA processing / spliceosome	131	0.337743728927481	0.23143430447670352	0.45975946990657024	0.17831484253611793	0.09475774642655647	0.26468044369561616	preliminary_shared_signal_axis	1.0	stable_axis_call
RNA processing / transcription	128	0.00991488483417428	0.0021289383676607217	0.01988134469371111	0.16774119198816417	0.08316091712418301	0.2807613407641842	preliminary_dependency_heavy_axis	1.0	stable_axis_call
TGF-beta / BMP signaling	147	0.013070775579641822	0.0027299790042880196	0.024331579035723173	0.0074471817283110866	0.000521721464051957	0.014206510999828349	mixed_or_low_signal_axis	1.0	stable_axis_call
cell cycle / replication	131	0.023006820231154603	0.009308275382637614	0.0426589607930441	0.015669849950341215	0.008502958089588342	0.02660856417591749	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
cytoskeleton / cell motility	135	0.027052170956912733	0.013455786301715846	0.045312874704811254	0.006593384921369222	9.650386256919418e-05	0.014516464885521713	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
growth / proliferation	133	0.00400197496027036	0.0005999092771172067	0.008278380816202744	0.007196073542220973	0.0017758440202973367	0.013693046037782246	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
growth factor / proliferation	127	0.01918246163285921	0.0036120900799641704	0.0397117382638859	0.012773207680868924	0.0068662818556382435	0.021699803731645022	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
metabolism / transcription	127	0.023598498764591126	0.011661716019735603	0.03629660224877919	0.013766304417514398	0.007163462746712244	0.022223814091642112	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
nuclear receptor / co-activator	133	0.030524041648800286	0.01452479268115514	0.052417986613386605	0.011022695324942789	0.00537627537359049	0.018379892682736643	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
nuclear receptor / metabolism	149	0.015423417613045014	0.004890151547555233	0.024435880345785633	0.009063156902869636	0.002831323483030298	0.017550893599342723	mixed_or_low_signal_axis	1.0	stable_axis_call
oxidative stress / antioxidant	130	0.010062420888852517	0.004182606313103623	0.01876587768577551	0.0017811002026119126	0.0003296323418202987	0.0037212171604143972	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
oxidative stress / mitochondrial	128	0.006582324945554127	0.0009317434191362675	0.012504986219760124	0.008851501080253923	0.0018517643546273747	0.01716197652889634	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
peroxisome / metabolism	133	0.024416190361713344	0.012698696383435272	0.038162369413037474	0.01452817691266917	0.007346733871585012	0.024135146985820435	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
signaling / oncogene	123	0.008639663756441223	0.0014872591426851507	0.01557182529425769	0.011115167206426661	0.006152169308292168	0.01860009460303509	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
synaptic / signaling	129	0.021128375791992296	0.010758899376629865	0.03644513381104623	0.012521563833928374	0.006197327029634882	0.019426518881560016	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
transcription regulation	150	0.027888762661301747	0.0050050181871597954	0.05635702952738621	0.030658262586771668	0.005972165424359351	0.06336654755749781	mixed_or_low_signal_axis	0.9933333333333333	stable_axis_call
transcription / chromatin	150	0.107909326978854	0.051144189342873674	0.18261687101363663	0.007168788766191308	0.0004175817831841883	0.016211339201324233	transcriptomic_heavy_axis	0.9733333333333334	stable_axis_call
mTOR / lysosome / signaling	130	0.08195244607450636	0.031865915302137685	0.1630367770253985	0.004833074329363248	0.0011949611444957158	0.009084343065063978	preliminary_transcriptomic_heavy_axis	0.8769230769230769	stable_axis_call
chromatin remodeling	149	0.06667814475285452	0.010727873234766755	0.14953441896642913	0.090374460077951	0.003544042579646471	0.18930068621534638	shared_backbone_axis	0.44966442953020136	unstable_axis_call
