cell_line_pair	variable	n_shared_targets	pearson_r	pearson_pvalue	spearman_rho	spearman_pvalue	centered_sign_concordance
HCC1143 vs HCC38	real_shift_L2	48	0.8609742410997556	4.220127234882364e-15	0.8425966131133303	5.959052052863957e-14	0.875
HCC1143 vs HCC38	real_shift_mean_abs	48	0.8778799262747412	2.585677896975936e-16	0.8592053842813722	5.5329786505777464e-15	0.8333333333333334
HCC1143 vs HCC38	real_shift_top20_mean	48	0.7675061567694352	1.9668787150501203e-10	0.826530612244898	4.638565197160624e-13	0.7916666666666666
HCC1143 vs HCC38	real_shift_top50_mean	48	0.777040403224274	8.399284943847863e-11	0.8235996526270082	6.594111238564748e-13	0.8333333333333334
HCC1143 vs HCC38	real_shift_top100_mean	48	0.7947347904924289	1.542075975945702e-11	0.8287016934433347	3.5593593490772837e-13	0.8333333333333334
HCC1143 vs HCC38	real_shift_top50_concentration	48	0.57938263330524	1.597495962076666e-05	0.5556882327399044	4.130792238733268e-05	0.75
HCC1143 vs HCC38	real_Edistance	48	0.6856844748263947	7.545121595926104e-08	0.765631784628745	2.3140755956390885e-10	0.75
HCC1143 vs HCC38	real_DEG_burden	48	0.5389965115228754	7.733668427781108e-05	0.7753345841032129	9.810087965090813e-11	0.7083333333333334
HCC1143 vs HCC38	depmap_gene_effect	47	0.81373638584619	3.577985458920806e-12	0.7387835337650325	3.055283409131017e-09	0.7872340425531915
HCC1143 vs HCC38	depmap_gene_dependency	47	0.8783043164814355	5.069948834170117e-16	0.7393529388554879	2.9283082376093196e-09	0.7872340425531915
