target_gene	real_shift_L2_HCC38	real_shift_L2_HCC1143	real_shift_L2_abs_diff	real_shift_mean_abs_HCC38	real_shift_mean_abs_HCC1143	real_shift_mean_abs_abs_diff	real_shift_top20_mean_HCC38	real_shift_top20_mean_HCC1143	real_shift_top20_mean_abs_diff	real_shift_top50_mean_HCC38	real_shift_top50_mean_HCC1143	real_shift_top50_mean_abs_diff	real_shift_top100_mean_HCC38	real_shift_top100_mean_HCC1143	real_shift_top100_mean_abs_diff	real_shift_top50_concentration_HCC38	real_shift_top50_concentration_HCC1143	real_shift_top50_concentration_abs_diff	real_Edistance_HCC38	real_Edistance_HCC1143	real_Edistance_abs_diff	real_DEG_burden_HCC38	real_DEG_burden_HCC1143	real_DEG_burden_abs_diff	depmap_gene_effect_HCC38	depmap_gene_effect_HCC1143	depmap_gene_effect_abs_diff	depmap_gene_dependency_HCC38	depmap_gene_dependency_HCC1143	depmap_gene_dependency_abs_diff
ARID1A	4.5521106820450274	3.4463519189121863	1.1057587631328412	0.008536561753634623	0.007332718678775701	0.0012038430748589225	0.41084663373779007	0.25005654272390293	0.16079009101388714	0.31870914363923003	0.20078660359324096	0.11792254004598907	0.256314648404856	0.16760358726134592	0.0887110611435101	0.051002162442377263	0.03740647316648616	0.013595689275891103	0.6844363647374117	0.4000778801630993	0.28435848457431234	35	8	27.0	-0.1959555409927433	-0.330631842036614	0.1346763010438707	0.0939245801107399	0.2654515287532237	0.1715269486424838
BMPR1A	2.4112086854129164	3.162989495400181	0.7517808099872645	0.00561979138900136	0.007028128205242438	0.0014083368162410787	0.16070563011058853	0.24689476703098415	0.08618913692039562	0.11989062348234349	0.18999102031317336	0.07010039683082987	0.09860976642093158	0.15086721315124668	0.0522574467303151	0.029143524829048535	0.03692924705794846	0.007785722228899922	0.13138147792425414	0.3718529994281674	0.24047152150391327	3	6	3.0	-0.3519701364399601	-0.3585628390298763	0.006592702589916177	0.2329854350238944	0.307130270365165	0.07414483534127059
CDKN2A	1.6153802596872924	2.084157760547977	0.4687775008606845	0.004055104053415835	0.005052323015655487	0.0009972189622396528	0.07056422854625877	0.10761079324105768	0.03704656469479892	0.06301564527277823	0.08820283094376599	0.025187185670987766	0.05642571392086518	0.07691750695573103	0.020491793034865854	0.02122870188332882	0.02384890636907979	0.0026202044857509717	0.05293038409216422	0.12153266987956002	0.0686022857873958	0	0	0.0	0.2816188048418129	0.5380502468314596	0.25643144198964674	0.0034117871973033	6.198489826465077e-05	0.003349802299038649
COMMD6	1.715292039582324	1.9629627640817848	0.24767072449946093	0.004220227038888243	0.004534293004074199	0.000314065965185956	0.09125864864459968	0.12557585325396345	0.03431720460936377	0.0746733752831189	0.09569137623303207	0.02101800094991317	0.06496765836890209	0.07945094110879851	0.014483282739896422	0.024171690211165456	0.028829709956809873	0.004658019745644417	0.0628530619862886	0.11745214415876859	0.054599082172479996	0	1	1.0	0.1473822164133259	-0.2218216265227303	0.36920384293605624	0.0087958879569685	0.1351756293730245	0.12637974141605599
ENY2	4.544919712264169	4.81257682403588	0.2676571117717117	0.010339785802070166	0.010513743744466194	0.00017395794239602816	0.29174237147648874	0.3002357544370303	0.008493382960541584	0.2362799890211731	0.24589862712706406	0.009618638105890975	0.20039000685144412	0.2103480314363766	0.009958024584932473	0.031217092631690996	0.0319503610054262	0.0007332683737352012	0.4591876502228338	0.6093855920338918	0.15019794181105794	14	18	4.0	-0.5509808712071267	-0.2358088308059663	0.3151720404011604	0.4895161201697765	0.148881151602389	0.3406349685673875
ERC1	1.7068626495623005	2.171773525634778	0.4649108760724774	0.004171722448010009	0.004878483492989722	0.0007067610449797129	0.09399412716927884	0.13157244293704232	0.03757831576776348	0.0759905199899519	0.1061191114095798	0.030128591419627898	0.06468876147337227	0.09074879531087611	0.02606003383750384	0.024884049874199666	0.029715689931486287	0.0048316400572866215	0.06600089819863442	0.1750005664808043	0.10899966828216989	0	0	0.0	0.2188525570329813	-0.0379118967638982	0.2567644537968795	0.0054295617631019	0.0303840215886299	0.024954459825528
ETV3	2.131250251028423	2.391418251940516	0.2601680009120928	0.005129888837665661	0.00538710263775914	0.0002572138000934794	0.12025206738347868	0.1535834527430306	0.03333138535955191	0.09760573176931045	0.12945242574110288	0.031846693971792434	0.08356677059676539	0.1095638012289562	0.025997030632190818	0.025992282627765064	0.03282706053167689	0.006834777903911824	0.1174565194971322	0.18274405455769127	0.06528753506055907	0	0	0.0	-0.1735948251121793	-0.2314760637952857	0.057881238683106406	0.0807914252803547	0.1444988533493548	0.06370742806900011
GON4L	2.438389539750892	3.3323369388260327	0.8939473990751408	0.0060144581054616415	0.0076879048971422	0.0016734467916805582	0.13120726138982952	0.19228870266785142	0.0610814412780219	0.10402965601418682	0.16148351778470102	0.0574538617705142	0.08983789704380397	0.1393255308248197	0.049487633781015714	0.023628584828161252	0.028694406895706345	0.005065822067545092	0.13313704252971093	0.4164333526417643	0.28329631011205336	1	2	1.0	-0.4178073081616394	-0.2362581803183601	0.1815491278432793	0.3129469325001975	0.1493363288328347	0.1636106036673628
HDGF	2.310398267970584	1.703063739115492	0.6073345288550922	0.005394002040088988	0.003990167175022284	0.0014038348650667037	0.15334923060884717	0.10025000203622483	0.05309922857262234	0.1178306675327504	0.08030593735893009	0.03752473017382031	0.0978328739693608	0.06803282573067658	0.02980004823868422	0.029841749798787894	0.02749372707794628	0.002348022720841614	0.11026468749484053	0.08413288714679368	0.026131800348046852	1	1	0.0	-0.0275129839181656	0.0093193516536966	0.036832335571862204	0.0286996254177853	0.0196252078195258	0.009074417598259499
HLX	2.2837459862813443	2.1525423051369463	0.13120368114439795	0.005299129476927784	0.00502120833437971	0.00027792114254807446	0.15283021554144058	0.11832593608218375	0.034504279459256826	0.12311009559633211	0.10153013580617962	0.021579959790152495	0.10053811285338603	0.08770170441471867	0.01283640843866736	0.03173702329675428	0.027622550689945714	0.004114472606808563	0.1391844016536794	0.12318754787855468	0.01599685377512472	0	0	0.0	0.1969791502719058	-0.0105503675972533	0.2075295178691591	0.006315463793662	0.0236239287972883	0.0173084650036263
KLF3	2.3198371069220514	2.4761644999238697	0.1563273930018183	0.005467660465639567	0.005391986122515777	7.56743431237902e-05	0.15834798921775278	0.18813825371576015	0.02979026449800737	0.12423091209968551	0.15055427404273855	0.026323361943053042	0.10241321022289472	0.122328178342757	0.019914968119862278	0.03103881906726374	0.03814357338866131	0.007104754321397573	0.10407717715029818	0.1945770359183321	0.0904998587680339	0	2	2.0	-0.2832468490799181	-0.0596711039921486	0.2235757450877695	0.1616884807733207	0.0369385703770605	0.12474991039626021
LAMTOR5	5.5264970297394775	4.656042860446887	0.8704541692925902	0.010643549079412291	0.009377776903524227	0.0012657721758880646	0.5011713827328982	0.3361817534457523	0.1649896292871459	0.3877554563730358	0.268764173762782	0.11899128261025382	0.307837923945111	0.22322969379900887	0.08460823014610214	0.049767806961690586	0.03915151149897938	0.010616295462711207	0.8951881345146226	0.889240263691832	0.005947870822790691	59	25	34.0	-0.1880265849724247	-0.2080048465520216	0.019978261579596895	0.0890975409858624	0.1226400958971878	0.033542554911325406
MAML3	1.5384476186420233	1.7996119267653605	0.26116430812333724	0.0039010408237359715	0.004293084864617274	0.00039204404088130206	0.0626874537424947	0.09143300994715305	0.02874555620465835	0.056597881160178075	0.07772014472938889	0.021122263569210813	0.051537698287254054	0.06799209413167534	0.016454395844421286	0.019819684227355687	0.02473097168473817	0.004911287457382483	0.047743444513059785	0.09601115802995253	0.04826771351689274	0	0	0.0	0.1348356419568611	0.1521238451421929	0.017288203185331807	0.009549016733777	0.0050198572939971	0.0045291594397799
MIER1	2.045207713573186	2.6261656244995977	0.5809579109264118	0.004993865536082876	0.005783393196682597	0.0007895276605997207	0.1101133047226791	0.1640106146213822	0.05389730989870309	0.08902858263372564	0.13685333573828576	0.04782475310456012	0.07629141070068217	0.11721041175482828	0.040919001054146115	0.024353964464246106	0.03232583270212933	0.007971868237883227	0.09318206185040268	0.24924035695739377	0.1560582951069911	0	0	0.0	0.1844901338995709	0.0742152031018489	0.11027493079772199	0.0068709338808792	0.0105919574277721	0.0037210235468928994
MTDH	2.564566136296016	2.296174525630673	0.268391610665343	0.005631016215860502	0.004733869032083436	0.0008971471837770665	0.18346329848091086	0.20958993256777642	0.026126634086865552	0.13751500930160282	0.14973632095876593	0.012221311657163114	0.11166949971551833	0.1156102864746154	0.003940786759097065	0.03336110120472938	0.04321036878554325	0.009849267580813864	0.1768599083744533	0.1332298153306617	0.04363009304379162	1	2	1.0	-0.0521834016027112	0.0581370024256225	0.11032040402833371	0.0342163047187118	0.0123435627679496	0.0218727419507622
MYBL1	3.414490893578291	4.1759196436307295	0.7614287500524384	0.007140723950464897	0.008413014256822941	0.0012722903063580445	0.27152947006421213	0.33610398166088074	0.0645745115966686	0.21603932109710722	0.2668547753041411	0.05081545420703387	0.17700598018448413	0.21852501126608015	0.04151903108159602	0.04133021007533476	0.04333116913543069	0.0020009590600959318	0.3997225226225005	0.5907728045063401	0.19105028188383955	12	19	7.0	0.0709136850199211	0.0019970126997557	0.06891667232016539	0.0145675964421822	0.0210310036855235	0.006463407243341299
NCOA1	1.8036758390631533	1.6312942916912654	0.17238154737188793	0.004348904156425673	0.003907157571319614	0.00044174658510605976	0.10642354809695923	0.09072109473876763	0.015702453358191593	0.08546683050688647	0.07528272576520396	0.010184104741682506	0.07147100051872411	0.06481794912655275	0.006653051392171358	0.026846941425382638	0.026321550128839227	0.0005253912965434114	0.08672548331940533	0.07313388204298832	0.013591601276417009	1	0	1.0	-0.0933676037953646	-0.0161660097106361	0.0772015940847285	0.0459486880054965	0.0248991192692647	0.0210495687362318
NPM1	5.049583398617561	3.688200648316474	1.3613827503010874	0.01137230523851424	0.007481203513329398	0.003891101725184843	0.30917872506237154	0.2928373612737136	0.016341363788657914	0.24382720701380933	0.2060386767628906	0.037788530250918745	0.20664769591389295	0.16371910361001646	0.042928592303876495	0.029289415785583937	0.03762307913534823	0.008333663349764292	0.8004780403231067	0.3838963707104597	0.416581669612647	11	7	4.0	-0.9484209992220038	-0.2486990570176843	0.6997219422043195	0.8555302996262993	0.1622748801750765	0.6932554194512228
PA2G4	3.347055500027386	2.7231085815842775	0.6239469184431083	0.0071702138866234725	0.005931546155685907	0.0012386677309375654	0.24824014427414273	0.20273807080119982	0.04550207347294291	0.1817246023014009	0.14734848603097728	0.03437611627042361	0.1494029151942502	0.11887208836089154	0.030530826833358657	0.03462251956941914	0.03393554411061957	0.0006869754587995741	0.2147717790127821	0.1533624259988109	0.06140935301397121	5	1	4.0	-0.4663635980262615	-0.1608978437052549	0.3054657543210066	0.3764696904296344	0.0861889371200693	0.2902807533095651
