cell_line	truth_metric	depmap_endpoint	n_high	n_low	high_group_median_raw	low_group_median_raw	high_minus_low_raw	aligned_effect_direction	mannwhitney_u	pvalue	alignment_note
dixit_2016_raw__control_context	real_shift_L2	depmap_gene_effect	66	68	-0.353982630214241	0.047790413114098595	-0.4017730433283396	0.4017730433283396	519.0	1.6582669010723333e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_L2	depmap_gene_dependency	66	68	0.28650725485688544	0.014713742914781499	0.27179351194210394	0.27179351194210394	3969.0	1.6577718046673657e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_mean_abs	depmap_gene_effect	67	69	-0.330316507383793	0.0443945356009232	-0.3747110429847162	0.3747110429847162	581.0	5.0608971272022376e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_mean_abs	depmap_gene_dependency	67	69	0.2516160182243664	0.015151383045691	0.23646463517867541	0.23646463517867541	4042.0	5.059504816707211e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top20_mean	depmap_gene_effect	68	67	-0.3451832051542355	0.0031671609329082	-0.3483503660871437	0.3483503660871437	679.0	1.9977439425989333e-12	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top20_mean	depmap_gene_dependency	68	67	0.27301686943687026	0.0217137736148827	0.25130309582198757	0.25130309582198757	3877.0	1.9972524128987127e-12	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top50_mean	depmap_gene_effect	67	68	-0.360049902924678	0.024286321610032302	-0.3843362245347103	0.3843362245347103	562.0	4.3682486840338065e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top50_mean	depmap_gene_dependency	67	68	0.2944177206493741	0.0180723438041819	0.2763453768451922	0.2763453768451922	3994.0	4.3670138591319544e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top100_mean	depmap_gene_effect	67	68	-0.360049902924678	0.03413506974699755	-0.3941849726716755	0.3941849726716755	539.0	1.9981060050422754e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top100_mean	depmap_gene_dependency	67	68	0.2944177206493741	0.016572982865932402	0.2778447377834417	0.2778447377834417	4017.0	1.9975261786142098e-14	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top50_concentration	depmap_gene_effect	73	67	-0.1025576430918104	-0.0044627875280262	-0.0980948555637842	0.0980948555637842	1847.0	0.012613490818029833	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_shift_top50_concentration	depmap_gene_dependency	73	67	0.052994564684403	0.023198241177693	0.02979632350671	0.02979632350671	3044.0	0.012613490818029833	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_Edistance	depmap_gene_effect	70	64	-0.3642209815266819	0.0239872206348898	-0.3882082021615717	0.3882082021615717	648.0	1.3498263136560136e-12	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_Edistance	depmap_gene_dependency	70	64	0.3007453683533907	0.0181159015391386	0.2826294668142521	0.2826294668142521	3832.0	1.3494815277895403e-12	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_DEG_burden	depmap_gene_effect	103	101	-0.1965123229005812	-0.0068606719044393	-0.1896516509961419	0.1896516509961419	2859.0	2.768560878641315e-08	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
dixit_2016_raw__control_context	real_DEG_burden	depmap_gene_dependency	103	101	0.1083319682279406	0.0236891893098362	0.0846427789181044	0.0846427789181044	7544.0	2.7684364070256733e-08	aligned_effect_direction>0 表示 high truth 组更符合桥接方向；gene effect 为更负，gene dependency 为更高
