target_gene	fine_axis	macro_axis	candidate_type	functional_category	grid	annotation_confidence
A2M	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
ACSL3	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
ACTA2	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
AEBP1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
AGA	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
AHNAK	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
APOC2	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
APOD	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
APOE	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
ARMC6	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
ATP1B1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
ATP5MD	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
B2M	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
BOLA2	unresolved_8	unresolved	unknown	other / unresolved	unknown	low
BOLA2B	unresolved_8	unresolved	unknown	other / unresolved	unknown	low
BZW2	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
C19orf48	unresolved_3	unresolved	unknown	other / unresolved	unknown	low
C1QBP	unresolved_6	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
C6orf226	unresolved	unresolved	unknown	other / unresolved	unknown	low
CCND1	unresolved_4	unresolved	A: shift_excess_low_liability	cell cycle / DNA replication	middle	high
CCND2	unresolved	unresolved	C: middle_range	cell cycle / DNA replication	middle	high
CCR10	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
CCT3	unresolved_2	unresolved	B: shift_excess_high_liability	proteostasis / chaperone	Q1: high_liability_high_shift	high
CD151	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
CD274	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
CD44	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CD47	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
CD58	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CD59	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
CD63	unresolved_7	unresolved	A: shift_excess_low_liability	other / unresolved	middle	low
CDC123	unresolved_5	unresolved	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	low
CDH19	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CDK4	unresolved_7	unresolved	B: shift_excess_high_liability	cell cycle / DNA replication	Q1: high_liability_high_shift	high
CDK6	unresolved_4	unresolved	B: shift_excess_high_liability	cell cycle / DNA replication	Q1: high_liability_high_shift	high
CDKN1A	unresolved_7	unresolved	C: middle_range	cell cycle / DNA replication	middle	high
CDKN2A	unresolved	unresolved	C: middle_range	cell cycle / DNA replication	middle	high
CDKN2B	unresolved	unresolved	C: middle_range	cell cycle / DNA replication	middle	high
CGAS	unresolved_7	unresolved	C: middle_range	other / unresolved	middle	low
CHCHD2	unresolved_8	unresolved	D: depmap_excess	other / unresolved	Q4: high_liability_low_shift	low
CITED1	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CKS1B	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CMSS1	unresolved	unresolved	C: middle_range	other / unresolved	middle	low
CORO1A	unresolved_3	unresolved	C: middle_range	other / unresolved	middle	low
CSPG4	unresolved	unresolved	C: middle_range	other / unresolved	Q3: low_liability_low_shift	low
