target_gene	candidate_type	functional_category	grid	real_shift_mean_abs	liability	residual	real_shift_L2	depmap_gene_effect	depmap_gene_dependency
EEF1G	B: shift_excess_high_liability	ribosome / translation	Q1: high_liability_high_shift	0.042101798798859	1.0080205158925148	0.015326222349237133	11.455230219096752	-1.0080205158925148	0.9521612183392932
SAE1	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.041525287854787	1.7068979762492265	0.008935642019189158	11.322500569567326	-1.7068979762492265	0.9979063540422998
PRELID3B	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0408714727860097	1.800954400097674	0.007499357053367933	11.176657950518488	-1.800954400097674	0.9994128969026916
GPI	B: shift_excess_high_liability	glycolysis / metabolism	Q1: high_liability_high_shift	0.0406524636543089	0.4139678781641932	0.01881890272327541	11.101690046250134	-0.4139678781641932	0.3802323520436352
PPA1	B: shift_excess_high_liability	mitochondrial / oxidative phosphorylation	Q1: high_liability_high_shift	0.0379266687992008	1.0887124347207038	0.010479803831109358	10.321942198261398	-1.0887124347207038	0.965481658624567
MYC	B: shift_excess_high_liability	chromatin / transcription regulation	Q1: high_liability_high_shift	0.0370959582098542	1.7358540225673635	0.004265422558821112	10.154622683637134	-1.7358540225673635	0.9985237677557136
RRS1	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0370852725460278	1.0182657984409835	0.010224464010676164	10.062605872357922	-1.0182657984409835	0.9540501475406356
EIF4A1	B: shift_excess_high_liability	ribosome / translation	Q1: high_liability_high_shift	0.0368147085889684	1.7196271596430983	0.0041191667133966756	10.072801630281342	-1.7196271596430983	0.9981969862053724
ROMO1	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0363730641553252	1.2584264679197108	0.0075143219687450954	9.868530197323237	-1.2584264679197108	0.9840920281475536
CCT3	B: shift_excess_high_liability	proteostasis / chaperone	Q1: high_liability_high_shift	0.0363237355649199	2.360515224818312	-0.0017034529739606147	9.88743533046362	-2.360515224818312	1.0
NCL	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0358522570048018	0.4215639506683092	0.013955503175005643	9.676422553496558	-0.4215639506683092	0.3929689703677329
POLD2	B: shift_excess_high_liability	cell cycle / DNA replication	Q1: high_liability_high_shift	0.0342005509885446	0.9813037907117468	0.007647235096428406	9.228517768357024	-0.9813037907117468	0.9468862897332038
ILF2	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0340873742221783	0.9263197376963416	0.007991479147712428	9.188990418793928	-0.9263197376963416	0.933902088203054
CTPS1	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0316714232926206	1.194075568866407	0.0033480261606011023	8.73251463928701	-1.194075568866407	0.9786756739625494
CDC123	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0314386860897369	2.5907474398371075	-0.008503839756377689	8.456592094280742	-2.5907474398371075	1.0
PABPC1	A: shift_excess_low_liability	other / unresolved	middle	0.0313565894816609	0.2391472132130867	0.01097738862629705	8.509808850417517	-0.2391472132130867	0.1450618967018225
TPRKB	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0311618383591816	0.4320707128492774	0.009177677154262882	8.49255191522128	-0.4320707128492774	0.4108190526002646
HNRNPC	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0299597851066159	1.1259786267181124	0.0022028969394453993	8.048698798252495	-1.1259786267181124	0.9706651655272016
CDK6	B: shift_excess_high_liability	cell cycle / DNA replication	Q1: high_liability_high_shift	0.0298820621013329	0.2854039154178734	0.009118044605798983	8.205918643804054	-0.2854039154178734	0.1943258654777352
