target_gene	candidate_type	functional_category	grid	real_shift_mean_abs	liability	residual	real_shift_L2	depmap_gene_effect	depmap_gene_dependency
YY1	B: shift_excess_high_liability	chromatin / transcription regulation	Q1: high_liability_high_shift	0.005413713961871	0.6261517971182733	0.000244545287192012	1.5982591861975834	-0.6261517971182733	0.7276949214878715
IRF1	A: shift_excess_low_liability	signaling / stress / immune	middle	0.0049139718663376	0.0270804670754626	0.0006662070717248121	1.3933195557916662	-0.0270804670754626	0.0282070976172631
E2F4	A: shift_excess_low_liability	other / unresolved	middle	0.0046425123797298	0.1444957567793325	0.00021415656350275494	1.3049036344384783	-0.1444957567793325	0.0737611734867184
NR2C2	C: middle_range	other / unresolved	middle	0.0046086260733258	0.1029273643150633	0.0002442046772319212	1.3313033408688222	-0.1029273643150633	0.0531572523792977
ETS1	C: middle_range	other / unresolved	middle	0.0044597684393875	-0.0870167445612608	0.00038749128411692205	1.262176622970204	0.0870167445612608	0.0104489076569362
GABPA	C: middle_range	other / unresolved	middle	0.0043769327212049	0.3663464919493407	-0.0003926414407015768	1.2747561283239923	-0.3663464919493407	0.3039556555377878
EGR1	C: middle_range	chromatin / transcription regulation	middle	0.0041187526611999	0.1784621064355158	-0.0003618452250368316	1.1602093455546034	-0.1784621064355158	0.0951212499906231
CREB1	C: middle_range	other / unresolved	Q3: low_liability_low_shift	0.0039865045133055	-0.1309068989504612	-1.8267227295970002e-05	1.161588842133596	0.1309068989504612	0.0071578592789096
ELK1	C: middle_range	other / unresolved	Q3: low_liability_low_shift	0.0039757957071744	-0.0750545005118522	-0.00011488002190313418	1.1260715635987473	0.0750545005118522	0.0115968945203785
ELF1	C: middle_range	other / unresolved	middle	0.0033302761709936	-0.0044643707675075	-0.0008689709688309102	0.9401318802022346	0.0044643707675075	0.0214694821905055
