timepoint	role	comparison_field	HCC38_HCC1143	K562_Dixit	replication_status
7d	temporal_sensitivity_early_bridge_probe	canonical backbone present	True	True	CONFIRMED
7d	temporal_sensitivity_early_bridge_probe	shift-excess present	True	True	CONFIRMED
7d	temporal_sensitivity_early_bridge_probe	backbone macro class	gene expression machinery	transcription regulation	CONTEXT_SPECIFIC
7d	temporal_sensitivity_early_bridge_probe	shift-excess macro class	signaling / growth control	signaling / stress	CONTEXT_SPECIFIC
7d	temporal_sensitivity_early_bridge_probe	architecture class	backbone_plus_shift_excess	backbone_plus_shift_excess	CONFIRMED
13d	primary_formal_supplementary_bridge_test	canonical backbone present	True	True	CONFIRMED
13d	primary_formal_supplementary_bridge_test	shift-excess present	True	True	CONFIRMED
13d	primary_formal_supplementary_bridge_test	backbone macro class	gene expression machinery	transcription regulation	CONTEXT_SPECIFIC
13d	primary_formal_supplementary_bridge_test	shift-excess macro class	signaling / growth control	translation / chromatin machinery	CONTEXT_SPECIFIC
13d	primary_formal_supplementary_bridge_test	architecture class	backbone_plus_shift_excess	backbone_plus_shift_excess	CONFIRMED
