timepoint	role	target_gene	crispr_real_shift_L2	crispr_real_shift_mean_abs	crispr_depmap_gene_effect	crispr_depmap_gene_dependency	crispr_depmap_join_status	rnai_real_shift_L2	rnai_real_shift_mean_abs	rnai_depmap_gene_effect	rnai_depmap_gene_dependency	rnai_depmap_join_status	platform_join_status	crispr_aligned_depmap_gene_dependency	rnai_aligned_depmap_gene_dependency	delta_rnai_minus_crispr_aligned_depmap_gene_dependency	crispr_aligned_depmap_gene_effect	rnai_aligned_depmap_gene_effect	delta_rnai_minus_crispr_aligned_depmap_gene_effect	delta_rnai_minus_crispr_real_shift_mean_abs	delta_rnai_minus_crispr_real_shift_L2
7d	temporal_sensitivity_early_bridge_probe	CREB1	0.7965809122221064	0.0026383122258462	0.1309068989504612	0.0071578592789096	both	0.7965809122221064	0.0026383122258462	0.060690861994	-0.060690861994	both	both	0.0071578592789096	-0.060690861994	-0.0678487212729096	-0.1309068989504612	-0.060690861994	0.0702160369564612	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	E2F4	0.9831000155331484	0.0031633745164676	-0.1444957567793325	0.0737611734867184	both	0.9831000155331484	0.0031633745164676	-0.0801764702915	0.0801764702915	both	both	0.0737611734867184	0.0801764702915	0.006415296804781603	0.1444957567793325	0.0801764702915	-0.06431928648783249	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	EGR1	0.8523508117943334	0.0028422518033918	-0.1784621064355158	0.0951212499906231	both	0.8523508117943334	0.0028422518033918	0.109117151067	-0.109117151067	both	both	0.0951212499906231	-0.109117151067	-0.2042384010576231	0.1784621064355158	-0.109117151067	-0.2875792575025158	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	ELF1	0.6979595530052319	0.0023201360490387	0.0044643707675075	0.0214694821905055	both	0.6979595530052319	0.0023201360490387	-0.0518770812302	0.0518770812302	both	both	0.0214694821905055	0.0518770812302	0.030407599039694505	-0.0044643707675075	0.0518770812302	0.0563414519977075	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	ELK1	0.7214947313107509	0.0024652698331102	0.0750545005118522	0.0115968945203785	both	0.7214947313107509	0.0024652698331102	0.0602299849415	-0.0602299849415	both	both	0.0115968945203785	-0.0602299849415	-0.0718268794618785	-0.0750545005118522	-0.0602299849415	0.014824515570352192	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	ETS1	0.8160966903995082	0.0028045103468223	0.0870167445612608	0.0104489076569362	both	0.8160966903995082	0.0028045103468223	0.245377160963	-0.245377160963	both	both	0.0104489076569362	-0.245377160963	-0.2558260686199362	-0.0870167445612608	-0.245377160963	-0.1583604164017392	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	GABPA	1.044055971320551	0.0032335956895071	-0.3663464919493407	0.3039556555377878	both	1.044055971320551	0.0032335956895071			none	both	0.3039556555377878			0.3663464919493407			0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	IRF1	0.9722017203308428	0.0032418031709357	-0.0270804670754626	0.0282070976172631	both	0.9722017203308428	0.0032418031709357	0.0322333819332	-0.0322333819332	both	both	0.0282070976172631	-0.0322333819332	-0.0604404795504631	0.0270804670754626	-0.0322333819332	-0.0593138490086626	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	NR2C2	0.894703221933017	0.0029624276925827	-0.1029273643150633	0.0531572523792977	both	0.894703221933017	0.0029624276925827	0.206334047477	-0.206334047477	both	both	0.0531572523792977	-0.206334047477	-0.2594912998562977	0.1029273643150633	-0.206334047477	-0.3092614117920633	0.0	0.0
7d	temporal_sensitivity_early_bridge_probe	YY1	1.9423491668248984	0.0053201925384121	-0.6261517971182733	0.7276949214878715	both	1.9423491668248984	0.0053201925384121	-0.51846917472	0.51846917472	both	both	0.7276949214878715	0.51846917472	-0.20922574676787153	0.6261517971182733	0.51846917472	-0.10768262239827331	0.0	0.0
13d	primary_formal_supplementary_bridge_test	CREB1	1.161588842133596	0.0039865045133055	0.1309068989504612	0.0071578592789096	both	1.161588842133596	0.0039865045133055	0.060690861994	-0.060690861994	both	both	0.0071578592789096	-0.060690861994	-0.0678487212729096	-0.1309068989504612	-0.060690861994	0.0702160369564612	0.0	0.0
13d	primary_formal_supplementary_bridge_test	E2F4	1.3049036344384783	0.0046425123797298	-0.1444957567793325	0.0737611734867184	both	1.3049036344384783	0.0046425123797298	-0.0801764702915	0.0801764702915	both	both	0.0737611734867184	0.0801764702915	0.006415296804781603	0.1444957567793325	0.0801764702915	-0.06431928648783249	0.0	0.0
13d	primary_formal_supplementary_bridge_test	EGR1	1.1602093455546034	0.0041187526611999	-0.1784621064355158	0.0951212499906231	both	1.1602093455546034	0.0041187526611999	0.109117151067	-0.109117151067	both	both	0.0951212499906231	-0.109117151067	-0.2042384010576231	0.1784621064355158	-0.109117151067	-0.2875792575025158	0.0	0.0
13d	primary_formal_supplementary_bridge_test	ELF1	0.9401318802022346	0.0033302761709936	0.0044643707675075	0.0214694821905055	both	0.9401318802022346	0.0033302761709936	-0.0518770812302	0.0518770812302	both	both	0.0214694821905055	0.0518770812302	0.030407599039694505	-0.0044643707675075	0.0518770812302	0.0563414519977075	0.0	0.0
13d	primary_formal_supplementary_bridge_test	ELK1	1.1260715635987473	0.0039757957071744	0.0750545005118522	0.0115968945203785	both	1.1260715635987473	0.0039757957071744	0.0602299849415	-0.0602299849415	both	both	0.0115968945203785	-0.0602299849415	-0.0718268794618785	-0.0750545005118522	-0.0602299849415	0.014824515570352192	0.0	0.0
13d	primary_formal_supplementary_bridge_test	ETS1	1.262176622970204	0.0044597684393875	0.0870167445612608	0.0104489076569362	both	1.262176622970204	0.0044597684393875	0.245377160963	-0.245377160963	both	both	0.0104489076569362	-0.245377160963	-0.2558260686199362	-0.0870167445612608	-0.245377160963	-0.1583604164017392	0.0	0.0
13d	primary_formal_supplementary_bridge_test	GABPA	1.2747561283239923	0.0043769327212049	-0.3663464919493407	0.3039556555377878	both	1.2747561283239923	0.0043769327212049			none	both	0.3039556555377878			0.3663464919493407			0.0	0.0
13d	primary_formal_supplementary_bridge_test	IRF1	1.3933195557916662	0.0049139718663376	-0.0270804670754626	0.0282070976172631	both	1.3933195557916662	0.0049139718663376	0.0322333819332	-0.0322333819332	both	both	0.0282070976172631	-0.0322333819332	-0.0604404795504631	0.0270804670754626	-0.0322333819332	-0.0593138490086626	0.0	0.0
13d	primary_formal_supplementary_bridge_test	NR2C2	1.3313033408688222	0.0046086260733258	-0.1029273643150633	0.0531572523792977	both	1.3313033408688222	0.0046086260733258	0.206334047477	-0.206334047477	both	both	0.0531572523792977	-0.206334047477	-0.2594912998562977	0.1029273643150633	-0.206334047477	-0.3092614117920633	0.0	0.0
