target_gene	priority_tier	candidate_type	functional_category	functional_description	combined_residual_label	combined_depmap_label	both_lines_shift_excess	grid_HCC38	grid_HCC1143	shift_HCC38	shift_HCC1143	shift_mean	liability_HCC38	liability_HCC1143	liability_mean	residual_HCC38	residual_HCC1143	residual_mean	L2_HCC38	L2_HCC1143	effect_HCC38	effect_HCC1143	dep_HCC38	dep_HCC1143	residual_sign_HCC38	residual_sign_HCC1143	residual_sign_agree	shift_sign_HCC38	shift_sign_HCC1143	shift_sign_agree
ENY2	1	A: shift_excess_and_low_viability	transcription / chromatin	Transcription co-activator / SAGA complex	top_residual_in_both	weak_viability_liability	True	Q1: high_liability_high_shift	middle	0.01034	0.010514	0.010427	0.550981	0.235809	0.393395	0.003319	0.004094	0.003707	4.54492	4.812577	-0.550981	-0.235809	-0.550981	-0.235809	1.0	1.0	True	1.0	1.0	True
PRPF6	1	A: shift_excess_and_low_viability	RNA processing / spliceosome	Spliceosome / U4-U6-U5 tri-snRNP complex	top_residual_in_both	weak_viability_liability	True	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.01448	0.015411	0.014946	1.574171	1.862028	1.7181	0.004668	0.002429	0.003548	5.908264	6.723677	-1.574171	-1.862028	-1.574171	-1.862028	1.0	1.0	True	1.0	1.0	True
TADA3	1	A: shift_excess_and_low_viability	transcription / chromatin	Transcription regulation / SAGA complex subunit	top_residual_in_both	intermediate_viability_liability	True	middle	Q1: high_liability_high_shift	0.00914	0.010375	0.009758	0.057558	0.319609	0.188583	0.003465	0.003617	0.003541	4.428445	5.113583	-0.057558	-0.319609	-0.057558	-0.319609	1.0	1.0	True	1.0	1.0	True
NPM1	1	A: shift_excess_and_low_viability	ribosome biogenesis / nucleolar	Ribosome biogenesis / nucleolar stress sensor	top_residual_in_both	weak_viability_liability	True	Q1: high_liability_high_shift	middle	0.011372	0.007481	0.009427	0.948421	0.248699	0.59856	0.003267	0.001009	0.002138	5.049583	3.688201	-0.948421	-0.248699	-0.948421	-0.248699	1.0	1.0	True	1.0	1.0	True
ZBTB17	1	A: shift_excess_and_low_viability	transcription regulation	Transcription factor / MYC interactor	top_residual_in_both	weak_viability_liability	True	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.007947	0.010587	0.009267	0.377958	0.636992	0.507475	0.001398	0.002548	0.001973	3.493035	4.928222	-0.377958	-0.636992	-0.377958	-0.636992	1.0	1.0	True	1.0	1.0	True
ZNF131	1	A: shift_excess_and_low_viability	transcription regulation	Transcription factor / zinc finger	top_residual_in_both	weak_viability_liability	True	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.009845	0.010552	0.010199	0.69336	1.081244	0.887302	0.002436	0.000721	0.001578	4.415636	4.608186	-0.69336	-1.081244	-0.69336	-1.081244	1.0	1.0	True	1.0	1.0	True
ARID1A	1	A: shift_excess_and_low_viability	chromatin remodeling	Chromatin remodeling / SWI-SNF complex	top_residual_in_both	intermediate_viability_liability	True	middle	middle	0.008537	0.007333	0.007935	0.195956	0.330632	0.263294	0.002484	0.00053	0.001507	4.552111	3.446352	-0.195956	-0.330632	-0.195956	-0.330632	1.0	1.0	True	1.0	1.0	True
LAMTOR5	2	B: shift_excess_but_still_essential	mTOR / lysosome / signaling	mTOR signaling / lysosome scaffold	top_residual_in_both	intermediate_viability_liability	True	middle	middle	0.010644	0.009378	0.010011	0.188027	0.208005	0.198016	0.004613	0.00307	0.003842	5.526497	4.656043	-0.188027	-0.208005	-0.188027	-0.208005	1.0	1.0	True	1.0	1.0	True
MYBL1	2	B: shift_excess_but_still_essential	transcription regulation	Transcription factor / cell cycle	top_residual_in_both	strong_viability_liability	True	middle	middle	0.007141	0.008413	0.007777	-0.070914	-0.001997	-0.036455	0.001816	0.002953	0.002385	3.414491	4.17592	0.070914	0.001997	0.070914	0.001997	1.0	1.0	True	1.0	1.0	True
VEZF1	2	B: shift_excess_but_still_essential			top_residual_in_both	intermediate_viability_liability	True	middle	middle	0.007374	0.006027	0.006701	0.151644	0.027331	0.089488	0.001443	0.000449	0.000946	3.330757	2.839847	-0.151644	-0.027331	-0.151644	-0.027331	1.0	1.0	True	1.0	1.0	True
