cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	control_target_prefix	real_shift_L2	real_shift_mean_abs	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	residual	quadrant
dixit_2016_raw__control_context	ACH-000551	A2M	146	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.556172094335301	0.0171550054043045	0.2018755178117821	0	-0.0730851158089493	0.0416232375283471	True	True	both	-0.0018373197397147517	middle
dixit_2016_raw__control_context	ACH-000551	ACSL3	72	3770	1	30486	23712	h5ad_obs	intergenic_chr_	6.618617878015156	0.0243512157197372	0.5204646576498426	12	-0.6170829499951321	0.7154272271862957	True	True	both	0.0008109950827780189	high_shift_low_depmap
dixit_2016_raw__control_context	ACH-000551	ACTA2	157	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.159907142749805	0.0156527316973321	0.0953588893657624	0	0.2619684593914877	0.0023081494665378	True	True	both	-0.000538500227580764	low_shift_high_depmap
dixit_2016_raw__control_context	ACH-000551	AEBP1	152	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.321273515238783	0.0161387239643082	0.1750844083415259	0	-0.2506049187301388	0.1563103978434341	True	True	both	-0.004337690749333403	middle
dixit_2016_raw__control_context	ACH-000551	AGA	138	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.565859988575079	0.0170062158759598	0.1774309123973587	0	0.0565323480204028	0.0136232032350551	True	True	both	-0.0009024897340999399	middle
dixit_2016_raw__control_context	ACH-000551	AHNAK	144	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.4227538722014295	0.016603253567667	0.1133257269567735	0	0.0730499896364413	0.0118018129563292	True	True	both	-0.001167362323760024	middle
dixit_2016_raw__control_context	ACH-000551	APOC2	138	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.482494418974586	0.0167610654559317	0.118641734336844	0	-0.237405193291009	0.1434148516149296	True	True	both	-0.003604997767207241	middle
dixit_2016_raw__control_context	ACH-000551	APOD	121	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.719109317831753	0.0176726173123064	0.1157255810770969	0	-0.1295880372020537	0.0657098772588603	True	True	both	-0.0017920798990135635	middle
dixit_2016_raw__control_context	ACH-000551	APOE	140	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.592106267698852	0.0172935819024062	0.1756491059498373	0	-0.1682063751460764	0.0882085597993294	True	True	both	-0.0024939698389197483	middle
dixit_2016_raw__control_context	ACH-000551	ARMC6	122	3770	1	30486	23712	h5ad_obs	intergenic_chr_	5.087349111915738	0.0189512670125073	0.2640075624306064	1	-0.47128679071664	0.4787831154700369	True	True	both	-0.0033700780076719936	middle
dixit_2016_raw__control_context	ACH-000551	ATP1B1	159	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.301277080375913	0.0160849705923241	0.1381816225031364	1	-0.1052999769844585	0.0542012684156665	True	True	both	-0.003176675149570256	middle
dixit_2016_raw__control_context	ACH-000551	B2M	132	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.800294484291836	0.0179779233972647	0.1916101549033975	1	0.2501738333223598	0.0025637618257157	True	True	both	0.0016880868026826167	middle
dixit_2016_raw__control_context	ACH-000551	BZW2	133	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.775646209143088	0.0177139815185196	0.1830711357300032	1	0.0018099593065408	0.0219693627336429	True	True	both	-0.0006522106647486384	middle
dixit_2016_raw__control_context	ACH-000551	C1QBP	79	3770	1	30486	23712	h5ad_obs	intergenic_chr_	6.151525826611582	0.0227424276123693	0.3384305683317414	5	-0.7622061313573727	0.8626882534896959	True	True	both	-0.0020110424549406487	high_shift_low_depmap
dixit_2016_raw__control_context	ACH-000551	CCND1	86	3770	1	30486	23712	h5ad_obs	intergenic_chr_	6.670769587412708	0.0240517128553758	0.9920036276801908	31	-0.0896842634135659	0.0477360270631939	True	True	both	0.004920616591632121	middle
dixit_2016_raw__control_context	ACH-000551	CCND2	100	3770	1	30486	23712	h5ad_obs	intergenic_chr_	5.188308113849963	0.0194320150718562	0.1725576792689089	0	0.0315137668602415	0.0169547202251239	True	True	both	0.0013141507384565633	middle
dixit_2016_raw__control_context	ACH-000551	CCR10	116	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.874544699588366	0.0183026984387816	0.1441387473121231	0	0.0115579538587972	0.020181281386874	True	True	both	1.8000808806453023e-05	middle
dixit_2016_raw__control_context	ACH-000551	CCT3	26	3770	1	30486	23712	h5ad_obs	intergenic_chr_	9.88743533046362	0.0363237355649199	0.6156468110243019	178	-2.360515224818312	1.0	True	True	both	-0.001791814763886311	high_shift_low_depmap
dixit_2016_raw__control_context	ACH-000551	CD151	124	3770	1	30486	23712	h5ad_obs	intergenic_chr_	4.7851417263227525	0.0179870439921821	0.1732118541028136	1	-0.0153352741554828	0.0254908588834302	True	True	both	-0.0005224846624601251	middle
