fine_axis	n_genes	peak_program	peak_mean_abs_loading	basal_heterogeneity_std	n_programs_high_loading
transcription regulation	8	HCC38_BREAST_8.6	0.031485	0.014612	24
chromatin remodeling	2	HCC38_BREAST_8.1	0.033151	0.007181	20
transcription / chromatin	2	HCC38_BREAST_6.1	0.023811	0.021666	12
JAK-STAT signaling	1	HCC38_BREAST_8.2	0.060451		9
RNA processing / spliceosome	1	HCC38_BREAST_7.6	0.059831		7
oxidative stress / antioxidant	1	HCC38_BREAST_9.9	0.054563		4
cytoskeleton / cell motility	1	HCC38_BREAST_7.2	0.051048		6
ER stress / UPR	1	HCC38_BREAST_8.7	0.050277		9
ribosome biogenesis / nucleolar	1	HCC38_BREAST_9.2	0.038615		8
NF-κB / copper signaling	1	HCC38_BREAST_7.2	0.037562		18
oxidative stress / mitochondrial	1	HCC38_BREAST_6.1	0.035384		8
growth / proliferation	1	HCC38_BREAST_7.5	0.033121		12
signaling / oncogene	1	HCC38_BREAST_9.3	0.030132		4
growth factor / proliferation	1	HCC38_BREAST_9.3	0.029809		12
mTOR / lysosome / signaling	1	HCC38_BREAST_6.1	0.028267		17
metabolism / transcription	1	HCC38_BREAST_7.2	0.025558		16
proteostasis / chaperone	1	HCC38_BREAST_6.2	0.020651		17
ribosomal / translation	1	HCC38_BREAST_7.6	0.014755		8
RNA processing / transcription	1	HCC38_BREAST_7.4	0.014132		9
