gene	h38_bt549_loading_corr	target_gene	candidate_type	priority_tier	residual_mean
XBP1	-0.1075929943857475	XBP1	D: depmap_excess	4	-0.000841
STAT3	-0.46670462607473817	STAT3	D: depmap_excess	4	-0.000362
PMF1	0.3997950198074823	PMF1	C: line_specific_shift_excess	3	0.001066
ARID1A	0.220912187472943	ARID1A	A: shift_excess_and_low_viability	1	0.001507
PARK7	-0.09115411569147874	PARK7	D: depmap_excess	4	-0.000313
HDGF	0.20572385550229425	HDGF	D: depmap_excess	4	-0.00082
COMMD6	-0.2367150558966488	COMMD6	D: depmap_excess	4	-0.001362
RUVBL2	-0.11804889066119405	RUVBL2	D: depmap_excess	4	-0.003422
MTDH	0.35952268719621433	MTDH	D: depmap_excess	4	-0.000264
VEZF1	-0.018874457659606676	VEZF1	B: shift_excess_but_still_essential	2	0.000946
PRPF6	-0.1183099601076463	PRPF6	A: shift_excess_and_low_viability	1	0.003548
PFDN5	-0.003922988693360273	PFDN5	C: line_specific_shift_excess	3	0.00049
UBP1	0.03337372509895421	UBP1	D: depmap_excess	4	-0.000791
GON4L	-0.3502877666355517	GON4L	C: line_specific_shift_excess	3	0.000312
PCBD1	-0.010443800213145291	PCBD1	D: depmap_excess	4	-0.00091
PA2G4	-0.47286487250220965	PA2G4	C: line_specific_shift_excess	3	9.7e-05
LAMTOR5	-0.13993359454730578	LAMTOR5	B: shift_excess_but_still_essential	2	0.003842
TMSB4X	-0.10759754600971005	TMSB4X	D: depmap_excess	4	-0.001529
TADA3	-0.12163198261417392	TADA3	A: shift_excess_and_low_viability	1	0.003541
YBX1	0.1109428865621318	YBX1	D: depmap_excess	4	-0.003949
ZNF24	0.11475740952977662	ZNF24	D: depmap_excess	4	-0.001251
ZNF131	-0.044387113401115265	ZNF131	A: shift_excess_and_low_viability	1	0.001578
MIER1	-0.097105135233404	MIER1	C: line_specific_shift_excess	3	0.000297
NPM1	-0.14332401842103779	NPM1	A: shift_excess_and_low_viability	1	0.002138
RPS3	-0.007181067298700176	RPS3	D: depmap_excess	4	-0.003108
ENY2	-0.2060070129344827	ENY2	A: shift_excess_and_low_viability	1	0.003707
PRDX2	-0.08176694158852478	PRDX2	D: depmap_excess	4	-0.001189
