fine_axis	n_genes	n_genes_in_w	peak_program	peak_mean_abs_loading	basal_heterogeneity	n_programs_active
transcription regulation	18	8	HCC38_BREAST_8.6	0.031485	0.014612	30
chromatin remodeling	2	2	HCC38_BREAST_8.1	0.033151	0.007181	27
transcription / chromatin	2	2	HCC38_BREAST_6.1	0.023811	0.021666	30
JAK-STAT signaling	1	1	HCC38_BREAST_8.2	0.060451		30
RNA processing / spliceosome	1	1	HCC38_BREAST_7.6	0.059831		30
oxidative stress / antioxidant	1	1	HCC38_BREAST_9.9	0.054563		26
cytoskeleton / cell motility	1	1	HCC38_BREAST_7.2	0.051048		21
ER stress / UPR	1	1	HCC38_BREAST_8.7	0.050277		30
ribosome biogenesis / nucleolar	1	1	HCC38_BREAST_9.2	0.038615		20
NF-κB / copper signaling	1	1	HCC38_BREAST_7.2	0.037562		30
oxidative stress / mitochondrial	1	1	HCC38_BREAST_6.1	0.035384		22
growth / proliferation	1	1	HCC38_BREAST_7.5	0.033121		27
signaling / oncogene	1	1	HCC38_BREAST_9.3	0.030132		29
growth factor / proliferation	1	1	HCC38_BREAST_9.3	0.029809		29
mTOR / lysosome / signaling	1	1	HCC38_BREAST_6.1	0.028267		26
metabolism / transcription	1	1	HCC38_BREAST_7.2	0.025558		30
proteostasis / chaperone	1	1	HCC38_BREAST_6.2	0.020651		20
ribosomal / translation	1	1	HCC38_BREAST_7.6	0.014755		21
RNA processing / transcription	1	1	HCC38_BREAST_7.4	0.014132		17
