target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	195	1325	0.05043057571359458	barcode_gem_group	3
BMPR1A	93	1325	0.03803611280178534	barcode_gem_group	3
CDKN2A	169	1325	0.06369096795802165	barcode_gem_group	3
COMMD6	324	1325	0.017523876077335243	barcode_gem_group	3
ENY2	161	1325	0.05603656392827844	barcode_gem_group	3
ERC1	412	1325	0.040468950357208294	barcode_gem_group	3
ETV3	187	1325	0.034579759862778725	barcode_gem_group	3
GON4L	115	1325	0.030057424118129644	barcode_gem_group	3
HDGF	319	1325	0.018905778671556128	barcode_gem_group	3
HLX	213	1325	0.03723270440251575	barcode_gem_group	3
KLF3	223	1325	0.049398426262797224	barcode_gem_group	3
LAMTOR5	274	1325	0.026136895744387822	barcode_gem_group	3
MAML3	341	1325	0.05217506778066727	barcode_gem_group	3
MIER1	254	1325	0.014095973852325083	barcode_gem_group	3
MTDH	290	1325	0.03410540013012364	barcode_gem_group	3
MYBL1	142	1325	0.13817167153866594	barcode_gem_group	3
NCOA1	334	1325	0.041224720370579615	barcode_gem_group	3
NPM1	125	1325	0.09056603773584904	barcode_gem_group	3
PA2G4	154	1325	0.13030629747610878	barcode_gem_group	3
PARK7	215	1325	0.05851689337428695	barcode_gem_group	3
PCBD1	214	1325	0.04541703403279848	barcode_gem_group	3
PEX14	282	1325	0.08614746420446945	barcode_gem_group	3
PFDN5	57	1325	0.004276729559748421	barcode_gem_group	3
PMF1	40	1325	0.14556603773584909	barcode_gem_group	3
PRDX2	186	1325	0.04260904848853725	barcode_gem_group	3
PRPF6	23	1325	0.06818703855619362	barcode_gem_group	3
RORC	230	1325	0.051173092698933526	barcode_gem_group	3
RPS3	72	1325	0.10593291404612158	barcode_gem_group	3
RUVBL2	51	1325	0.14153163152053272	barcode_gem_group	3
SMAD1	299	1325	0.07897015207925791	barcode_gem_group	3
SMAD5	186	1325	0.06411442483262325	barcode_gem_group	3
SS18L2	26	1325	0.13248185776487664	barcode_gem_group	3
STAT3	305	1325	0.03613980822765234	barcode_gem_group	3
TAB3	222	1325	0.034611592724800244	barcode_gem_group	3
TADA3	133	1325	0.03936444885799403	barcode_gem_group	3
THAP8	335	1325	0.006386933258237137	barcode_gem_group	3
THRA	188	1325	0.05141710156563631	barcode_gem_group	3
TMF1	145	1325	0.07094339622641509	barcode_gem_group	3
TMSB4X	266	1325	0.0241708043694141	barcode_gem_group	3
UBP1	267	1325	0.02225143099427601	barcode_gem_group	3
UXT	19	1325	0.05048659384309831	barcode_gem_group	3
VEZF1	255	1325	0.015331113577506494	barcode_gem_group	3
XBP1	314	1325	0.021153707487080897	barcode_gem_group	3
YBX1	177	1325	0.04947446967274277	barcode_gem_group	3
ZBTB17	75	1325	0.060377358490566024	barcode_gem_group	3
ZBTB20	315	1325	0.06262952979934114	barcode_gem_group	3
ZBTB5	212	1325	0.10169811320754718	barcode_gem_group	3
ZNF131	43	1325	0.07324265028521282	barcode_gem_group	3
ZNF24	462	1325	0.04496610307931059	barcode_gem_group	3
ZNF566	372	1325	0.015727328058429718	barcode_gem_group	3
ARID1A	195	1325	0.15980648282535076	num_umis_quantile_bin	4
BMPR1A	93	1325	0.13498072631365393	num_umis_quantile_bin	4
CDKN2A	169	1325	0.16469800156302333	num_umis_quantile_bin	4
COMMD6	324	1325	0.05802003261122758	num_umis_quantile_bin	4
ENY2	161	1325	0.12393296613148952	num_umis_quantile_bin	4
ERC1	412	1325	0.12039018135189594	num_umis_quantile_bin	4
ETV3	187	1325	0.1262839269498537	num_umis_quantile_bin	4
GON4L	115	1325	0.1607875307629204	num_umis_quantile_bin	4
HDGF	319	1325	0.09825516058437332	num_umis_quantile_bin	4
HLX	213	1325	0.06915404375941185	num_umis_quantile_bin	4
KLF3	223	1325	0.09496573314155173	num_umis_quantile_bin	4
LAMTOR5	274	1325	0.1949208098058119	num_umis_quantile_bin	4
MAML3	341	1325	0.0888507718696398	num_umis_quantile_bin	4
MIER1	254	1325	0.047333234289110085	num_umis_quantile_bin	4
MTDH	290	1325	0.12774235523747562	num_umis_quantile_bin	4
MYBL1	142	1325	0.23604039330321547	num_umis_quantile_bin	4
NCOA1	334	1325	0.1560908371935375	num_umis_quantile_bin	4
NPM1	125	1325	0.17841509433962266	num_umis_quantile_bin	4
PA2G4	154	1325	0.05228620436167601	num_umis_quantile_bin	4
PARK7	215	1325	0.13632294866169375	num_umis_quantile_bin	4
PCBD1	214	1325	0.10292364662317052	num_umis_quantile_bin	4
PEX14	282	1325	0.031765020741335484	num_umis_quantile_bin	4
PFDN5	57	1325	0.12021185038066864	num_umis_quantile_bin	4
PMF1	40	1325	0.17141509433962263	num_umis_quantile_bin	4
PRDX2	186	1325	0.04985595455467641	num_umis_quantile_bin	4
PRPF6	23	1325	0.1922559474979491	num_umis_quantile_bin	4
RORC	230	1325	0.19904840032813784	num_umis_quantile_bin	4
RPS3	72	1325	0.17006289308176104	num_umis_quantile_bin	4
RUVBL2	51	1325	0.07501294857565666	num_umis_quantile_bin	4
SMAD1	299	1325	0.12258724048715847	num_umis_quantile_bin	4
SMAD5	186	1325	0.06400486914181376	num_umis_quantile_bin	4
SS18L2	26	1325	0.1572423802612482	num_umis_quantile_bin	4
STAT3	305	1325	0.01592329106093411	num_umis_quantile_bin	4
TAB3	222	1325	0.15150433452320244	num_umis_quantile_bin	4
TADA3	133	1325	0.11482479784366575	num_umis_quantile_bin	4
THAP8	335	1325	0.13458744015770208	num_umis_quantile_bin	4
THRA	188	1325	0.13490164592533116	num_umis_quantile_bin	4
TMF1	145	1325	0.09834743005855563	num_umis_quantile_bin	4
TMSB4X	266	1325	0.1620173074194921	num_umis_quantile_bin	4
UBP1	267	1325	0.07338279980213411	num_umis_quantile_bin	4
UXT	19	1325	0.11177755710029794	num_umis_quantile_bin	4
VEZF1	255	1325	0.09163152053274139	num_umis_quantile_bin	4
XBP1	314	1325	0.11584184593197933	num_umis_quantile_bin	4
YBX1	177	1325	0.2548086557936254	num_umis_quantile_bin	4
ZBTB17	75	1325	0.18641509433962267	num_umis_quantile_bin	4
ZBTB20	315	1325	0.24263551961665167	num_umis_quantile_bin	4
ZBTB5	212	1325	0.14716981132075468	num_umis_quantile_bin	4
ZNF131	43	1325	0.39757788503729713	num_umis_quantile_bin	4
ZNF24	462	1325	0.09750878052764844	num_umis_quantile_bin	4
ZNF566	372	1325	0.14176506390748628	num_umis_quantile_bin	4
ARID1A	195	1325	0.13312046444121917	num_umis_over_threshold_bin	4
BMPR1A	93	1325	0.0868249137756137	num_umis_over_threshold_bin	4
CDKN2A	169	1325	0.119678463771352	num_umis_over_threshold_bin	4
COMMD6	324	1325	0.06251106452364313	num_umis_over_threshold_bin	4
ENY2	161	1325	0.05552091878589009	num_umis_over_threshold_bin	4
ERC1	412	1325	0.09634182084630886	num_umis_over_threshold_bin	4
ETV3	187	1325	0.04864090404600947	num_umis_over_threshold_bin	4
GON4L	115	1325	0.08561115668580804	num_umis_over_threshold_bin	4
HDGF	319	1325	0.028939492517892004	num_umis_over_threshold_bin	4
HLX	213	1325	0.02477810257773054	num_umis_over_threshold_bin	4
KLF3	223	1325	0.03636179033759199	num_umis_over_threshold_bin	4
LAMTOR5	274	1325	0.13452417022448696	num_umis_over_threshold_bin	4
MAML3	341	1325	0.03955735074420405	num_umis_over_threshold_bin	4
MIER1	254	1325	0.06584162828703014	num_umis_over_threshold_bin	4
MTDH	290	1325	0.058867924528301876	num_umis_over_threshold_bin	4
MYBL1	142	1325	0.1512782354504385	num_umis_over_threshold_bin	4
NCOA1	334	1325	0.05366399276917859	num_umis_over_threshold_bin	4
NPM1	125	1325	0.1711698113207547	num_umis_over_threshold_bin	4
PA2G4	154	1325	0.033339867679490334	num_umis_over_threshold_bin	4
PARK7	215	1325	0.11773584905660377	num_umis_over_threshold_bin	4
PCBD1	214	1325	0.13455827896314582	num_umis_over_threshold_bin	4
PEX14	282	1325	0.05425130469690888	num_umis_over_threshold_bin	4
PFDN5	57	1325	0.1900562727573651	num_umis_over_threshold_bin	4
PMF1	40	1325	0.2133018867924528	num_umis_over_threshold_bin	4
PRDX2	186	1325	0.020559951308581847	num_umis_over_threshold_bin	4
PRPF6	23	1325	0.3438228055783429	num_umis_over_threshold_bin	4
RORC	230	1325	0.13947497949138637	num_umis_over_threshold_bin	4
RPS3	72	1325	0.09941299790356395	num_umis_over_threshold_bin	4
RUVBL2	51	1325	0.06675545689974101	num_umis_over_threshold_bin	4
SMAD1	299	1325	0.03812456616394269	num_umis_over_threshold_bin	4
SMAD5	186	1325	0.04999391357273278	num_umis_over_threshold_bin	4
SS18L2	26	1325	0.1715820029027576	num_umis_over_threshold_bin	4
STAT3	305	1325	0.08546860501082584	num_umis_over_threshold_bin	4
TAB3	222	1325	0.08377018527961923	num_umis_over_threshold_bin	4
TADA3	133	1325	0.03436515817846504	num_umis_over_threshold_bin	4
THAP8	335	1325	0.06990706843142776	num_umis_over_threshold_bin	4
THRA	188	1325	0.07552790044158973	num_umis_over_threshold_bin	4
TMF1	145	1325	0.06256343526350029	num_umis_over_threshold_bin	4
TMSB4X	266	1325	0.09451553411831465	num_umis_over_threshold_bin	4
UBP1	267	1325	0.07349586601653593	num_umis_over_threshold_bin	4
UXT	19	1325	0.35984111221449844	num_umis_over_threshold_bin	4
VEZF1	255	1325	0.08438031816500184	num_umis_over_threshold_bin	4
XBP1	314	1325	0.07187597644513878	num_umis_over_threshold_bin	4
YBX1	177	1325	0.16180364566677324	num_umis_over_threshold_bin	4
ZBTB17	75	1325	0.14716981132075468	num_umis_over_threshold_bin	4
ZBTB20	315	1325	0.11890985324947588	num_umis_over_threshold_bin	4
ZBTB5	212	1325	0.07301886792452829	num_umis_over_threshold_bin	4
ZNF131	43	1325	0.3549451513821852	num_umis_over_threshold_bin	4
ZNF24	462	1325	0.033343134852568804	num_umis_over_threshold_bin	4
ZNF566	372	1325	0.08078717792655714	num_umis_over_threshold_bin	4
ARID1A	195	1325	0.07264634736332849	transcriptome_total_signal_quantile_bin	4
BMPR1A	93	1325	0.10630148103063503	transcriptome_total_signal_quantile_bin	4
CDKN2A	169	1325	0.04779725354471362	transcriptome_total_signal_quantile_bin	4
COMMD6	324	1325	0.0646657349173072	transcriptome_total_signal_quantile_bin	4
ENY2	161	1325	0.16259697644439233	transcriptome_total_signal_quantile_bin	4
ERC1	412	1325	0.04590217988642606	transcriptome_total_signal_quantile_bin	4
ETV3	187	1325	0.027315104429421824	transcriptome_total_signal_quantile_bin	4
GON4L	115	1325	0.12036095159967186	transcriptome_total_signal_quantile_bin	4
HDGF	319	1325	0.04943277932217423	transcriptome_total_signal_quantile_bin	4
HLX	213	1325	0.04872707945787935	transcriptome_total_signal_quantile_bin	4
