target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	195	1325	0.06449927431059505	transcriptome_detected_genes_quantile_bin	4
BMPR1A	93	1325	0.11686751876648403	transcriptome_detected_genes_quantile_bin	4
CDKN2A	169	1325	0.07241710394105169	transcriptome_detected_genes_quantile_bin	4
COMMD6	324	1325	0.057926857675285326	transcriptome_detected_genes_quantile_bin	4
ENY2	161	1325	0.04777686628383922	transcriptome_detected_genes_quantile_bin	4
ERC1	412	1325	0.05377541674299323	transcriptome_detected_genes_quantile_bin	4
ETV3	187	1325	0.03940671980627586	transcriptome_detected_genes_quantile_bin	4
GON4L	115	1325	0.16082034454470878	transcriptome_detected_genes_quantile_bin	4
HDGF	319	1325	0.08089667001833561	transcriptome_detected_genes_quantile_bin	4
HLX	213	1325	0.02795287447958189	transcriptome_detected_genes_quantile_bin	4
KLF3	223	1325	0.059426347406717955	transcriptome_detected_genes_quantile_bin	4
LAMTOR5	274	1325	0.16107423219942157	transcriptome_detected_genes_quantile_bin	4
MAML3	341	1325	0.03851712499308359	transcriptome_detected_genes_quantile_bin	4
MIER1	254	1325	0.0704887832417174	transcriptome_detected_genes_quantile_bin	4
MTDH	290	1325	0.06741704619388421	transcriptome_detected_genes_quantile_bin	4
MYBL1	142	1325	0.051246346000531504	transcriptome_detected_genes_quantile_bin	4
NCOA1	334	1325	0.02669302903626708	transcriptome_detected_genes_quantile_bin	4
NPM1	125	1325	0.06143396226415092	transcriptome_detected_genes_quantile_bin	4
PA2G4	154	1325	0.028576329331046327	transcriptome_detected_genes_quantile_bin	4
PARK7	215	1325	0.06706450197455023	transcriptome_detected_genes_quantile_bin	4
PCBD1	214	1325	0.03808146711338385	transcriptome_detected_genes_quantile_bin	4
PEX14	282	1325	0.04361568312592	transcriptome_detected_genes_quantile_bin	4
PFDN5	57	1325	0.15086395233366437	transcriptome_detected_genes_quantile_bin	4
PMF1	40	1325	0.2554716981132076	transcriptome_detected_genes_quantile_bin	4
PRDX2	186	1325	0.02066139176303511	transcriptome_detected_genes_quantile_bin	4
PRPF6	23	1325	0.12341263330598849	transcriptome_detected_genes_quantile_bin	4
RORC	230	1325	0.1060213289581624	transcriptome_detected_genes_quantile_bin	4
RPS3	72	1325	0.11952830188679248	transcriptome_detected_genes_quantile_bin	4
RUVBL2	51	1325	0.16118386977432486	transcriptome_detected_genes_quantile_bin	4
SMAD1	299	1325	0.05150249258534738	transcriptome_detected_genes_quantile_bin	4
SMAD5	186	1325	0.04216676810712111	transcriptome_detected_genes_quantile_bin	4
SS18L2	26	1325	0.19193033381712624	transcriptome_detected_genes_quantile_bin	4
STAT3	305	1325	0.030844416950201042	transcriptome_detected_genes_quantile_bin	4
TAB3	222	1325	0.031827298997110315	transcriptome_detected_genes_quantile_bin	4
TADA3	133	1325	0.07911476805220596	transcriptome_detected_genes_quantile_bin	4
THAP8	335	1325	0.06608842579555055	transcriptome_detected_genes_quantile_bin	4
THRA	188	1325	0.058358089120835024	transcriptome_detected_genes_quantile_bin	4
TMF1	145	1325	0.03133376707872479	transcriptome_detected_genes_quantile_bin	4
TMSB4X	266	1325	0.06428713292665628	transcriptome_detected_genes_quantile_bin	4
UBP1	267	1325	0.0734110663557346	transcriptome_detected_genes_quantile_bin	4
UXT	19	1325	0.1238927507447865	transcriptome_detected_genes_quantile_bin	4
VEZF1	255	1325	0.0868220495745468	transcriptome_detected_genes_quantile_bin	4
XBP1	314	1325	0.045657973801225826	transcriptome_detected_genes_quantile_bin	4
YBX1	177	1325	0.13055750986035602	transcriptome_detected_genes_quantile_bin	4
ZBTB17	75	1325	0.09937106918238993	transcriptome_detected_genes_quantile_bin	4
ZBTB20	315	1325	0.05757412398921832	transcriptome_detected_genes_quantile_bin	4
ZBTB5	212	1325	0.033584905660377334	transcriptome_detected_genes_quantile_bin	4
ZNF131	43	1325	0.06664326458973233	transcriptome_detected_genes_quantile_bin	4
ZNF24	462	1325	0.013361104304500535	transcriptome_detected_genes_quantile_bin	4
ZNF566	372	1325	0.06673158855751671	transcriptome_detected_genes_quantile_bin	4
