target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	365	1666	0.026584880527553506	barcode_gem_group	3
BMPR1A	212	1666	0.025266710457768043	barcode_gem_group	3
CDKN2A	399	1666	0.008592910848549934	barcode_gem_group	3
COMMD6	395	1666	0.02304314130715579	barcode_gem_group	3
ENY2	93	1666	0.04476629361421991	barcode_gem_group	3
ERC1	433	1666	0.020571739088245	barcode_gem_group	3
ETV3	244	1666	0.03292464526794325	barcode_gem_group	3
GON4L	167	1666	0.06034749229032932	barcode_gem_group	3
HDGF	254	1666	0.004896446767683471	barcode_gem_group	3
HLX	289	1666	0.04109879245815973	barcode_gem_group	3
KLF3	236	1666	0.03406108205994263	barcode_gem_group	3
LAMTOR5	157	1666	0.08488236058754711	barcode_gem_group	3
MAML3	423	1666	0.026047298351964926	barcode_gem_group	3
MIER1	267	1666	0.024328832656658195	barcode_gem_group	3
MTDH	282	1666	0.06173107540888695	barcode_gem_group	3
MYBL1	220	1666	0.0686401833460657	barcode_gem_group	3
NCOA1	389	1666	0.027287007347926273	barcode_gem_group	3
NPM1	80	1666	0.017346938775510246	barcode_gem_group	3
PA2G4	194	1666	0.008143463570995435	barcode_gem_group	3
PARK7	254	1666	0.04820353338185668	barcode_gem_group	3
PCBD1	428	1666	0.05255466672650372	barcode_gem_group	3
PEX14	439	1666	0.03217779138990448	barcode_gem_group	3
PFDN5	67	1666	0.029223629750407654	barcode_gem_group	3
PMF1	94	1666	0.1347092028300682	barcode_gem_group	3
PRDX2	302	1666	0.0395323692390864	barcode_gem_group	3
PRPF6	25	1666	0.15265306122448977	barcode_gem_group	3
RORC	296	1666	0.023677038382920734	barcode_gem_group	3
RPS3	69	1666	0.048506359065365295	barcode_gem_group	3
RUVBL2	95	1666	0.05297276805459028	barcode_gem_group	3
SMAD1	321	1666	0.02218083495080278	barcode_gem_group	3
SMAD5	290	1666	0.049894440534834605	barcode_gem_group	3
SS18L2	8	1666	0.320078031212485	barcode_gem_group	3
STAT3	394	1666	0.046358644980834945	barcode_gem_group	3
TAB3	246	1666	0.032476405196224856	barcode_gem_group	3
TADA3	177	1666	0.0450824397555632	barcode_gem_group	3
THAP8	276	1666	0.023718182925344056	barcode_gem_group	3
THRA	266	1666	0.038668098818474744	barcode_gem_group	3
TMF1	206	1666	0.044592594319281115	barcode_gem_group	3
TMSB4X	352	1666	0.06155530393975772	barcode_gem_group	3
UBP1	371	1666	0.05279847788171871	barcode_gem_group	3
UXT	12	1666	0.2840136054421769	barcode_gem_group	3
VEZF1	226	1666	0.04906033209744076	barcode_gem_group	3
XBP1	394	1666	0.043500648990560664	barcode_gem_group	3
YBX1	177	1666	0.04536051708819125	barcode_gem_group	3
ZBTB17	139	1666	0.0459291630321193	barcode_gem_group	3
ZBTB20	471	1666	0.027644178690584525	barcode_gem_group	3
ZBTB5	363	1666	0.025749142632259525	barcode_gem_group	3
ZNF131	118	1666	0.05101023460231552	barcode_gem_group	3
ZNF24	472	1666	0.05704061285531159	barcode_gem_group	3
ZNF566	372	1666	0.024419445197433803	barcode_gem_group	3
