target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	365	1666	0.05514808663191302	num_umis_over_threshold_bin	4
BMPR1A	212	1666	0.05985979297379329	num_umis_over_threshold_bin	4
CDKN2A	399	1666	0.026126239969672088	num_umis_over_threshold_bin	4
COMMD6	395	1666	0.04685367818013281	num_umis_over_threshold_bin	4
ENY2	93	1666	0.10158902270585654	num_umis_over_threshold_bin	4
ERC1	433	1666	0.06609710858939417	num_umis_over_threshold_bin	4
ETV3	244	1666	0.09566941530710647	num_umis_over_threshold_bin	4
GON4L	167	1666	0.05810108474527535	num_umis_over_threshold_bin	4
HDGF	254	1666	0.06858806514731877	num_umis_over_threshold_bin	4
HLX	289	1666	0.0398983122660829	num_umis_over_threshold_bin	4
KLF3	236	1666	0.049575762508393184	num_umis_over_threshold_bin	4
LAMTOR5	157	1666	0.05243880991887201	num_umis_over_threshold_bin	4
MAML3	423	1666	0.03682323993427157	num_umis_over_threshold_bin	4
MIER1	267	1666	0.04064547167181477	num_umis_over_threshold_bin	4
MTDH	282	1666	0.06279107387635906	num_umis_over_threshold_bin	4
MYBL1	220	1666	0.060165884535632444	num_umis_over_threshold_bin	4
NCOA1	389	1666	0.08458756253143933	num_umis_over_threshold_bin	4
NPM1	80	1666	0.07990696278511406	num_umis_over_threshold_bin	4
PA2G4	194	1666	0.030222398237645567	num_umis_over_threshold_bin	4
PARK7	254	1666	0.04730553638778345	num_umis_over_threshold_bin	4
PCBD1	428	1666	0.030931998967811417	num_umis_over_threshold_bin	4
PEX14	439	1666	0.036177113214306236	num_umis_over_threshold_bin	4
PFDN5	67	1666	0.14711257637383313	num_umis_over_threshold_bin	4
PMF1	94	1666	0.4809072565196292	num_umis_over_threshold_bin	4
PRDX2	302	1666	0.05239976785416152	num_umis_over_threshold_bin	4
PRPF6	25	1666	0.19740696278511405	num_umis_over_threshold_bin	4
RORC	296	1666	0.10524480062295188	num_umis_over_threshold_bin	4
RPS3	69	1666	0.18407362945178074	num_umis_over_threshold_bin	4
RUVBL2	95	1666	0.10720288115246097	num_umis_over_threshold_bin	4
SMAD1	321	1666	0.040771448766422455	num_umis_over_threshold_bin	4
SMAD5	290	1666	0.051889721405803696	num_umis_over_threshold_bin	4
SS18L2	8	1666	0.6325030012004802	num_umis_over_threshold_bin	4
STAT3	394	1666	0.05644694425993747	num_umis_over_threshold_bin	4
TAB3	246	1666	0.02557608409217345	num_umis_over_threshold_bin	4
TADA3	177	1666	0.06666734490406331	num_umis_over_threshold_bin	4
THAP8	276	1666	0.05696191520086298	num_umis_over_threshold_bin	4
THRA	266	1666	0.05026221014721678	num_umis_over_threshold_bin	4
TMF1	206	1666	0.06561265282812152	num_umis_over_threshold_bin	4
TMSB4X	352	1666	0.026888027938448106	num_umis_over_threshold_bin	4
UBP1	371	1666	0.022027678996126746	num_umis_over_threshold_bin	4
UXT	12	1666	0.34083633453381357	num_umis_over_threshold_bin	4
VEZF1	226	1666	0.07935386543998132	num_umis_over_threshold_bin	4
XBP1	394	1666	0.025021175983083593	num_umis_over_threshold_bin	4
YBX1	177	1666	0.038418757333441855	num_umis_over_threshold_bin	4
ZBTB17	139	1666	0.10733502033907089	num_umis_over_threshold_bin	4
ZBTB20	471	1666	0.08556543636562904	num_umis_over_threshold_bin	4
ZBTB5	363	1666	0.06010668730302038	num_umis_over_threshold_bin	4
ZNF131	118	1666	0.2320792723869209	num_umis_over_threshold_bin	4
ZNF24	472	1666	0.02376289498850387	num_umis_over_threshold_bin	4
ZNF566	372	1666	0.040884095573713336	num_umis_over_threshold_bin	4
