target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	365	1666	0.09886036606423394	num_umis_quantile_bin	4
BMPR1A	212	1666	0.07384085709755599	num_umis_quantile_bin	4
CDKN2A	399	1666	0.026031465217666014	num_umis_quantile_bin	4
COMMD6	395	1666	0.05970185542571459	num_umis_quantile_bin	4
ENY2	93	1666	0.09078470097716505	num_umis_quantile_bin	4
ERC1	433	1666	0.0926587725159348	num_umis_quantile_bin	4
ETV3	244	1666	0.10396945663511308	num_umis_quantile_bin	4
GON4L	167	1666	0.07487545916570221	num_umis_quantile_bin	4
HDGF	254	1666	0.07866926298078285	num_umis_quantile_bin	4
HLX	289	1666	0.08057340583292141	num_umis_quantile_bin	4
KLF3	236	1666	0.058721793802266664	num_umis_quantile_bin	4
LAMTOR5	157	1666	0.0630519723813092	num_umis_quantile_bin	4
MAML3	423	1666	0.09739782437797817	num_umis_quantile_bin	4
MIER1	267	1666	0.06908381330060112	num_umis_quantile_bin	4
MTDH	282	1666	0.04195295139332329	num_umis_quantile_bin	4
MYBL1	220	1666	0.1076776165011459	num_umis_quantile_bin	4
NCOA1	389	1666	0.17104219579862795	num_umis_quantile_bin	4
NPM1	80	1666	0.036899759903961576	num_umis_quantile_bin	4
PA2G4	194	1666	0.06535191396146088	num_umis_quantile_bin	4
PARK7	254	1666	0.0571126088230568	num_umis_quantile_bin	4
PCBD1	428	1666	0.029408959845620503	num_umis_quantile_bin	4
PEX14	439	1666	0.0655205134445578	num_umis_quantile_bin	4
PFDN5	67	1666	0.15783626883589255	num_umis_quantile_bin	4
PMF1	94	1666	0.49137953053561845	num_umis_quantile_bin	4
PRDX2	302	1666	0.0474428181868774	num_umis_quantile_bin	4
PRPF6	25	1666	0.3078031212484994	num_umis_quantile_bin	4
RORC	296	1666	0.1825094902825995	num_umis_quantile_bin	4
RPS3	69	1666	0.2974233171529481	num_umis_quantile_bin	4
RUVBL2	95	1666	0.11832943703797309	num_umis_quantile_bin	4
SMAD1	321	1666	0.052746332177730906	num_umis_quantile_bin	4
SMAD5	290	1666	0.045734155731258025	num_umis_quantile_bin	4
SS18L2	8	1666	0.25060024009603843	num_umis_quantile_bin	4
STAT3	394	1666	0.05441465926472115	num_umis_quantile_bin	4
TAB3	246	1666	0.03318888531022167	num_umis_quantile_bin	4
TADA3	177	1666	0.05716863016392998	num_umis_quantile_bin	4
THAP8	276	1666	0.06815334829584012	num_umis_quantile_bin	4
THRA	266	1666	0.05986605168383144	num_umis_quantile_bin	4
TMF1	206	1666	0.0676872690823902	num_umis_quantile_bin	4
TMSB4X	352	1666	0.1427650605696824	num_umis_quantile_bin	4
UBP1	371	1666	0.04919703730548826	num_umis_quantile_bin	4
UXT	12	1666	0.33273309323729494	num_umis_quantile_bin	4
VEZF1	226	1666	0.11448650256562805	num_umis_quantile_bin	4
XBP1	394	1666	0.05186744748660882	num_umis_quantile_bin	4
YBX1	177	1666	0.01917377120339661	num_umis_quantile_bin	4
ZBTB17	139	1666	0.09773117880245624	num_umis_quantile_bin	4
ZBTB20	471	1666	0.12701641166020547	num_umis_quantile_bin	4
ZBTB5	363	1666	0.07593119892585132	num_umis_quantile_bin	4
ZNF131	118	1666	0.31449528964128026	num_umis_quantile_bin	4
ZNF24	472	1666	0.05711437117219771	num_umis_quantile_bin	4
ZNF566	372	1666	0.12122913681601673	num_umis_quantile_bin	4
