target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	365	1666	0.13126017530299794	transcriptome_total_signal_quantile_bin	4
BMPR1A	212	1666	0.042452830188679264	transcriptome_total_signal_quantile_bin	4
CDKN2A	399	1666	0.03224447673806363	transcriptome_total_signal_quantile_bin	4
COMMD6	395	1666	0.04584314738553652	transcriptome_total_signal_quantile_bin	4
ENY2	93	1666	0.059675483096464366	transcriptome_total_signal_quantile_bin	4
ERC1	433	1666	0.03579676674364893	transcriptome_total_signal_quantile_bin	4
ETV3	244	1666	0.05138448822151813	transcriptome_total_signal_quantile_bin	4
GON4L	167	1666	0.07067377849343327	transcriptome_total_signal_quantile_bin	4
HDGF	254	1666	0.046847085290809234	transcriptome_total_signal_quantile_bin	4
HLX	289	1666	0.015500317774168493	transcriptome_total_signal_quantile_bin	4
KLF3	236	1666	0.03832889087838523	transcriptome_total_signal_quantile_bin	4
LAMTOR5	157	1666	0.015923566878980916	transcriptome_total_signal_quantile_bin	4
MAML3	423	1666	0.05653892762778871	transcriptome_total_signal_quantile_bin	4
MIER1	267	1666	0.043552252361618804	transcriptome_total_signal_quantile_bin	4
MTDH	282	1666	0.07141580036269828	transcriptome_total_signal_quantile_bin	4
MYBL1	220	1666	0.07345847429881042	transcriptome_total_signal_quantile_bin	4
NCOA1	389	1666	0.04901909349858198	transcriptome_total_signal_quantile_bin	4
NPM1	80	1666	0.09420768307322928	transcriptome_total_signal_quantile_bin	4
PA2G4	194	1666	0.04641031670400121	transcriptome_total_signal_quantile_bin	4
PARK7	254	1666	0.06032649280184513	transcriptome_total_signal_quantile_bin	4
PCBD1	428	1666	0.031596750849872665	transcriptome_total_signal_quantile_bin	4
PEX14	439	1666	0.06362681746958464	transcriptome_total_signal_quantile_bin	4
PFDN5	67	1666	0.07719804339646304	transcriptome_total_signal_quantile_bin	4
PMF1	94	1666	0.14893617021276592	transcriptome_total_signal_quantile_bin	4
PRDX2	302	1666	0.04769324948522455	transcriptome_total_signal_quantile_bin	4
PRPF6	25	1666	0.26	transcriptome_total_signal_quantile_bin	4
RORC	296	1666	0.06081081081081077	transcriptome_total_signal_quantile_bin	4
RPS3	69	1666	0.07703081232492998	transcriptome_total_signal_quantile_bin	4
RUVBL2	95	1666	0.054223794781070325	transcriptome_total_signal_quantile_bin	4
SMAD1	321	1666	0.06660608168501042	transcriptome_total_signal_quantile_bin	4
SMAD5	290	1666	0.05143022726331915	transcriptome_total_signal_quantile_bin	4
SS18L2	8	1666	0.25	transcriptome_total_signal_quantile_bin	4
STAT3	394	1666	0.06244020450819923	transcriptome_total_signal_quantile_bin	4
TAB3	246	1666	0.02439024390243902	transcriptome_total_signal_quantile_bin	4
TADA3	177	1666	0.12918387694060676	transcriptome_total_signal_quantile_bin	4
THAP8	276	1666	0.03732362510221479	transcriptome_total_signal_quantile_bin	4
THRA	266	1666	0.03800467555443229	transcriptome_total_signal_quantile_bin	4
TMF1	206	1666	0.033980582524271816	transcriptome_total_signal_quantile_bin	4
TMSB4X	352	1666	0.04131425297391686	transcriptome_total_signal_quantile_bin	4
UBP1	371	1666	0.03662597114317426	transcriptome_total_signal_quantile_bin	4
UXT	12	1666	0.41666666666666663	transcriptome_total_signal_quantile_bin	4
VEZF1	226	1666	0.05936533905597638	transcriptome_total_signal_quantile_bin	4
XBP1	394	1666	0.050718764663225696	transcriptome_total_signal_quantile_bin	4
YBX1	177	1666	0.018821087757136742	transcriptome_total_signal_quantile_bin	4
ZBTB17	139	1666	0.0329657042673184	transcriptome_total_signal_quantile_bin	4
ZBTB20	471	1666	0.050127057192303676	transcriptome_total_signal_quantile_bin	4
ZBTB5	363	1666	0.03719008264462813	transcriptome_total_signal_quantile_bin	4
ZNF131	118	1666	0.12524670885303274	transcriptome_total_signal_quantile_bin	4
ZNF24	472	1666	0.04044753494618185	transcriptome_total_signal_quantile_bin	4
ZNF566	372	1666	0.029569892473118295	transcriptome_total_signal_quantile_bin	4
