cell_line	deg_abs_log1p_delta_threshold	deg_expression_floor	n_targets	spearman_DEG_burden_vs_gene_effect_aligned
HCC38	0.15	0.1	47	0.5579938479119035
HCC38	0.2	0.1	47	0.6844715817295953
HCC38	0.25	0.1	47	0.5508667130022153
HCC38	0.3	0.1	47	0.5288005290112162
HCC38	0.35	0.1	47	0.5146927874643048
HCC38	0.4	0.1	47	0.421044454928014
HCC1143	0.15	0.1	48	0.7012768508317156
HCC1143	0.2	0.1	48	0.7011295706991153
HCC1143	0.25	0.1	48	0.7162847950457641
HCC1143	0.3	0.1	48	0.7242685987387892
HCC1143	0.35	0.1	48	0.7032509536084673
HCC1143	0.4	0.1	48	0.5810385747961724
