context	removed	n_targets	spearman_rho	rho_delta
HCC38	none	47	0.725796	0.0
HCC38	PFDN5	46	0.714854	-0.010942
HCC38	PRPF6	46	0.710352	-0.015444
HCC38	PMF1	46	0.713374	-0.012422
HCC38	ZNF131	46	0.713682	-0.012114
HCC38	all_four_anchors	43	0.664552	-0.061243
HCC38	jackknife_min	46	0.710352	-0.015444
HCC38	jackknife_max	46	0.751303	0.025507
HCC38	jackknife_mean	46	0.725533	-0.000263
HCC1143	none	48	0.77925	0.0
HCC1143	PFDN5	47	0.769649	-0.009601
HCC1143	PRPF6	47	0.765583	-0.013666
HCC1143	PMF1	47	0.768087	-0.011162
HCC1143	ZNF131	47	0.767683	-0.011567
HCC1143	all_four_anchors	44	0.724838	-0.054412
HCC1143	jackknife_min	47	0.765583	-0.013666
HCC1143	jackknife_max	47	0.806489	0.027239
HCC1143	jackknife_mean	47	0.778998	-0.000251
# Reference rho from correlation_summary.tsv: HCC38=0.726, HCC1143=0.779
