axis_id	axis_family	architecture_role	consistency_class	axis_annotation_confidence	n_targets	targets	fraction_q1_mean	fraction_q2_mean	fraction_q3_mean	shift_lift_mean	depmap_lift_mean	shift_r2_mean	depmap_r2_mean	sharedness_delta	explanatory_call	formal_call_eligible	call_tier
chromatin remodeling	gene expression machinery	canonical_backbone	shared_dual_high	high	2	ARID1A; RUVBL2	0.5	0.0	0.0	0.002553884354985281	0.3596681136710968	0.04571028854945965	0.05164739506392483	-0.005937106514465176	mixed_or_low_signal_axis	True	formal
transcription regulation	gene expression machinery	context_deviation	heterogeneous	low	18	ETV3; GON4L; HLX; KLF3; MAML3; MIER1; MYBL1; PMF1; THAP8; TMF1; UBP1; VEZF1; ZBTB17; ZBTB20; ZBTB5; ZNF131; ZNF24; ZNF566	0.16666666666666666	0.0	0.0	-0.00028958907199788057	-0.05248163994813841	0.011979937533599267	0.017237218730025726	-0.005257281196426459	mixed_or_low_signal_axis	True	formal
nuclear receptor / metabolism	signaling / growth control	context_deviation	shared_middle	low	2	RORC; THRA	0.0	0.0	0.0	-0.0013319429878878948	-0.12167889260075666	0.012471743981211312	0.006787665065643295	0.005684078915568018	mixed_or_low_signal_axis	True	formal
TGF-beta / BMP signaling	signaling / growth control	context_deviation	heterogeneous	medium	2	BMPR1A; SMAD1	0.0	0.0	0.0	-0.001019156341587495	-0.0791071369204745	0.008039855138160794	0.002808439756172354	0.00523141538198844	mixed_or_low_signal_axis	True	formal
proteostasis / chaperone	proteostasis	context_deviation	line_skewed	medium	1	PFDN5	1.0	0.0	0.0	0.00321630686768163	0.6701642225257974	0.03518466559988287	0.08719092352055395	-0.05200625792067108	preliminary_dependency_heavy_axis	False	preliminary
ribosomal / translation	ribosome / nucleolar biogenesis	canonical_backbone	shared_dual_high	high	1	RPS3	1.0	0.0	0.0	0.0023169097713200302	0.7753167243832226	0.02376255153044771	0.11584812849564625	-0.09208557696519855	preliminary_dependency_heavy_axis	False	preliminary
RNA processing / transcription	RNA processing	context_deviation	shared_middle	high	1	YBX1	0.5	0.0	0.0	0.0012402696904646802	0.7709901255108096	0.005351011636170758	0.11459232820657768	-0.10924131657040692	preliminary_dependency_heavy_axis	False	preliminary
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	context_deviation	shared_shift_excess	high	1	NPM1	0.5	0.0	0.0	0.0029675966818554804	0.2842193142839105	0.04915826553060622	0.03923951613219009	0.009918749398416131	preliminary_mixed_or_low_signal_axis	False	preliminary
nuclear receptor / co-activator	gene expression machinery	context_deviation	shared_middle	medium	1	NCOA1	0.0	0.0	0.0	-0.00233112683019367	-0.18925937197939677	0.01848806000679855	0.006899382941022129	0.01158867706577642	preliminary_mixed_or_low_signal_axis	False	preliminary
cytoskeleton / cell motility	cell-state regulation	context_deviation	shared_middle	high	1	TMSB4X	0.0	0.0	0.0	-0.00221763362746017	-0.11145617341434881	0.016785412811708054	0.004188826367880415	0.01259658644382764	preliminary_mixed_or_low_signal_axis	False	preliminary
ER stress / UPR	stress response	context_deviation	shared_middle	high	1	XBP1	0.0	0.0	0.0	-0.0021507217668037698	-0.21473508529243635	0.0162456435268426	0.008898298640747423	0.007347344886095179	preliminary_mixed_or_low_signal_axis	False	preliminary
NF-κB / copper signaling	signaling / growth control	context_deviation	shared_middle	medium	1	COMMD6	0.0	0.0	0.0	-0.00208189767258512	-0.15269751695178085	0.014962244087470624	0.005493087593728645	0.009469156493741979	preliminary_mixed_or_low_signal_axis	False	preliminary
metabolism / transcription	metabolism	context_deviation	shared_middle	low	1	PCBD1	0.0	0.0	0.0	-0.0020370543202830197	-0.20854282777628128	0.0145285688694307	0.008382890925613697	0.006145677943817002	preliminary_mixed_or_low_signal_axis	False	preliminary
peroxisome / metabolism	metabolism	context_deviation	shared_middle	medium	1	PEX14	0.0	0.0	0.0	-0.00203863000520737	-0.21081086975390062	0.014177184051451738	0.008633580476243206	0.005543603575208531	preliminary_mixed_or_low_signal_axis	False	preliminary
cell cycle / replication	cell-state regulation	context_deviation	line_skewed	high	1	CDKN2A	0.0	0.0	0.0	-0.00190544415953067	-0.22294638956899338	0.013514683156044307	0.009590579277437655	0.003924103878606653	preliminary_mixed_or_low_signal_axis	False	preliminary
synaptic / signaling	signaling / growth control	context_deviation	shared_middle	low	1	ERC1	0.0	0.0	0.0	-0.00193405472356642	-0.20677648394091147	0.01338455659284782	0.008337192608623775	0.005047363984224045	preliminary_mixed_or_low_signal_axis	False	preliminary
growth factor / proliferation	signaling / growth control	context_deviation	shared_middle	medium	1	HDGF	0.0	0.0	0.0	-0.0017670730865107197	-0.2005208589981218	0.011965775436165671	0.007751211336127746	0.004214564100037925	preliminary_mixed_or_low_signal_axis	False	preliminary
JAK-STAT signaling	signaling / growth control	context_deviation	shared_middle	high	1	STAT3	0.0	0.0	0.0	-0.0016984884547840695	-0.2110357326023516	0.009846302291773102	0.008578441368765401	0.0012678609230077006	preliminary_mixed_or_low_signal_axis	False	preliminary
signaling / oncogene	signaling / growth control	context_deviation	shared_middle	high	1	MTDH	0.0	0.0	0.0	-0.00127671507009432	-0.20140334187344666	0.006162566499227023	0.007813202565720347	-0.0016506360664933243	preliminary_mixed_or_low_signal_axis	False	preliminary
oxidative stress / antioxidant	stress response	context_deviation	shared_middle	high	1	PRDX2	0.0	0.0	0.0	-0.00126625995760402	-0.06305707655643257	0.005866375568185999	0.0007878525818761603	0.005078522986309839	preliminary_mixed_or_low_signal_axis	False	preliminary
oxidative stress / mitochondrial	stress response	context_deviation	shared_middle	medium	1	PARK7	0.0	0.0	0.0	-0.0008571189101983698	-0.14798750455186507	0.003439242960054124	0.005006252609939768	-0.0015670096498856438	preliminary_mixed_or_low_signal_axis	False	preliminary
NF-κB / MAPK signaling	signaling / growth control	context_deviation	line_skewed	medium	1	TAB3	0.0	0.0	0.0	-0.00076746643128517	-0.20688087154601548	0.002319720047257912	0.00824414236036046	-0.005924422313102548	preliminary_mixed_or_low_signal_axis	False	preliminary
growth / proliferation	signaling / growth control	context_deviation	line_skewed	medium	1	PA2G4	0.0	0.0	0.0	9.172232708838006e-05	0.006646038158074491	0.0019107990652549509	0.0038350710616956492	-0.0019242719964406984	preliminary_mixed_or_low_signal_axis	False	preliminary
