target_gene	n_cutoff_pairs	n_shared_anchor_calls	min_shift_quantile_mean	min_depmap_quantile_mean	max_shift_quantile_mean	max_depmap_quantile_mean	shared_anchor_stability_fraction	stability_call
RPS3	3	2	0.8322251773049645	0.9790558510638299	0.8322251773049645	0.9790558510638299	0.6666666666666666	cutoff_sensitive_shared_anchor
RUVBL2	3	2	0.8623670212765957	0.9418218085106382	0.8623670212765957	0.9418218085106382	0.6666666666666666	cutoff_sensitive_shared_anchor
ZBTB17	3	2	0.8413120567375887	0.799645390070922	0.8413120567375887	0.799645390070922	0.6666666666666666	cutoff_sensitive_shared_anchor
ENY2	3	1	0.9055851063829787	0.7586436170212766	0.9055851063829787	0.7586436170212766	0.3333333333333333	cutoff_sensitive_shared_anchor
NPM1	3	1	0.8435283687943262	0.8113918439716312	0.8435283687943262	0.8113918439716312	0.3333333333333333	cutoff_sensitive_shared_anchor
ARID1A	3	0	0.7480053191489362	0.7149822695035462	0.7480053191489362	0.7149822695035462	0.0	not_shared_anchor
BMPR1A	3	0	0.6205673758865249	0.7679521276595744	0.6205673758865249	0.7679521276595744	0.0	not_shared_anchor
CDKN2A	3	0	0.24046985815602837	0.03169326241134752	0.24046985815602837	0.03169326241134752	0.0	not_shared_anchor
COMMD6	3	0	0.16821808510638298	0.386968085106383	0.16821808510638298	0.386968085106383	0.0	not_shared_anchor
ERC1	3	0	0.2409131205673759	0.27171985815602834	0.2409131205673759	0.27171985815602834	0.0	not_shared_anchor
ETV3	3	0	0.47362588652482274	0.6099290780141844	0.47362588652482274	0.6099290780141844	0.0	not_shared_anchor
GON4L	3	0	0.6837322695035462	0.7477836879432624	0.6837322695035462	0.7477836879432624	0.0	not_shared_anchor
HDGF	3	0	0.29720744680851063	0.3583776595744681	0.29720744680851063	0.3583776595744681	0.0	not_shared_anchor
HLX	3	0	0.43218085106382975	0.24069148936170212	0.43218085106382975	0.24069148936170212	0.0	not_shared_anchor
KLF3	3	0	0.5265957446808511	0.5800088652482269	0.5265957446808511	0.5800088652482269	0.0	not_shared_anchor
LAMTOR5	3	0	0.8849734042553192	0.600177304964539	0.8849734042553192	0.600177304964539	0.0	not_shared_anchor
MAML3	3	0	0.05230496453900709	0.1163563829787234	0.05230496453900709	0.1163563829787234	0.0	not_shared_anchor
MIER1	3	0	0.47296099290780136	0.16799645390070922	0.47296099290780136	0.16799645390070922	0.0	not_shared_anchor
MTDH	3	0	0.46453900709219853	0.34818262411347517	0.46453900709219853	0.34818262411347517	0.0	not_shared_anchor
MYBL1	3	0	0.7362588652482269	0.29432624113475175	0.7362588652482269	0.29432624113475175	0.0	not_shared_anchor
NCOA1	3	0	0.09552304964539007	0.44259751773049644	0.09552304964539007	0.44259751773049644	0.0	not_shared_anchor
PA2G4	3	0	0.6427304964539007	0.6855053191489362	0.6427304964539007	0.6855053191489362	0.0	not_shared_anchor
PARK7	3	0	0.5356826241134752	0.4616578014184397	0.5356826241134752	0.4616578014184397	0.0	not_shared_anchor
PCBD1	3	0	0.20944148936170212	0.27393617021276595	0.20944148936170212	0.27393617021276595	0.0	not_shared_anchor
PEX14	3	0	0.1686613475177305	0.2089982269503546	0.1686613475177305	0.2089982269503546	0.0	not_shared_anchor
PRDX2	3	0	0.44126773049645396	0.7047872340425532	0.44126773049645396	0.7047872340425532	0.0	not_shared_anchor
RORC	3	0	0.2741578014184397	0.6223404255319149	0.2741578014184397	0.6223404255319149	0.0	not_shared_anchor
SMAD1	3	0	0.2424645390070922	0.32513297872340424	0.2424645390070922	0.32513297872340424	0.0	not_shared_anchor
SS18L2	3	0	1.0	0.96875	1.0	0.96875	0.0	not_shared_anchor
STAT3	3	0	0.31648936170212766	0.19104609929078015	0.31648936170212766	0.19104609929078015	0.0	not_shared_anchor
TAB3	3	0	0.5678191489361701	0.25398936170212766	0.5678191489361701	0.25398936170212766	0.0	not_shared_anchor
TADA3	3	0	0.8526152482269503	0.6088209219858156	0.8526152482269503	0.6088209219858156	0.0	not_shared_anchor
THAP8	3	0	0.43173758865248224	0.3266843971631206	0.43173758865248224	0.3266843971631206	0.0	not_shared_anchor
THRA	3	0	0.537677304964539	0.5157358156028369	0.537677304964539	0.5157358156028369	0.0	not_shared_anchor
TMF1	3	0	0.6110372340425532	0.6101507092198581	0.6110372340425532	0.6101507092198581	0.0	not_shared_anchor
TMSB4X	3	0	0.13785460992907803	0.43439716312056736	0.13785460992907803	0.43439716312056736	0.0	not_shared_anchor
UBP1	3	0	0.2522163120567376	0.2528812056737589	0.2522163120567376	0.2528812056737589	0.0	not_shared_anchor
VEZF1	3	0	0.6637854609929078	0.474290780141844	0.6637854609929078	0.474290780141844	0.0	not_shared_anchor
XBP1	3	0	0.16733156028368792	0.1686613475177305	0.16733156028368792	0.1686613475177305	0.0	not_shared_anchor
YBX1	3	0	0.7473404255319149	0.9530141843971631	0.7473404255319149	0.9530141843971631	0.0	not_shared_anchor
ZBTB20	3	0	0.2327127659574468	0.05230496453900709	0.2327127659574468	0.05230496453900709	0.0	not_shared_anchor
ZBTB5	3	0	0.36768617021276595	0.387854609929078	0.36768617021276595	0.387854609929078	0.0	not_shared_anchor
ZNF24	3	0	0.07335992907801418	0.32779255319148937	0.07335992907801418	0.32779255319148937	0.0	not_shared_anchor
ZNF566	3	0	0.21099290780141844	0.3499556737588652	0.21099290780141844	0.3499556737588652	0.0	not_shared_anchor
PFDN5	3	3	0.8315602836879432	0.8840868794326242	0.8315602836879432	0.8840868794326242	1.0	stable_shared_anchor
PMF1	3	3	0.9153368794326242	0.9162234042553192	0.9153368794326242	0.9162234042553192	1.0	stable_shared_anchor
PRPF6	3	3	0.9895833333333333	0.9524601063829787	0.9895833333333333	0.9524601063829787	1.0	stable_shared_anchor
ZNF131	3	3	0.905363475177305	0.8526152482269503	0.905363475177305	0.8526152482269503	1.0	stable_shared_anchor
