target_gene	residual	real_shift_mean_abs	depmap_gene_effect	depmap_label	functional_category
GPI	0.0188103124979203	0.0406524636543089	-0.4139678781641932	weak_viability_liability	glycolysis / metabolism
EEF1G	0.0152932872198496	0.042101798798859	-1.0080205158925148	weak_viability_liability	translation elongation
NCL	0.0139466016545828	0.0358522570048018	-0.4215639506683092	weak_viability_liability	nucleolar / ribosome biogenesis
PABPC1	0.0109759627362901	0.0313565894816609	-0.2391472132130867	weak_viability_liability	translation / mRNA stability
PPA1	0.0104435618617294	0.0379266687992008	-1.0887124347207038	weak_viability_liability	mitochondrial / OXPHOS
RRS1	0.0101911090187973	0.0370852725460278	-1.0182657984409835	weak_viability_liability	
TPRKB	0.0091683450556374	0.0311618383591816	-0.4320707128492774	weak_viability_liability	
CDK6	0.0091147230673183	0.0298820621013329	-0.2854039154178734	weak_viability_liability	
SAE1	0.0088740661539101	0.041525287854787	-1.7068979762492265	weak_viability_liability	
FOXM1	0.0082889405849508	0.0294317549641635	-0.330316507383793	weak_viability_liability	
TMED10	0.0082840219603941	0.0294193067886282	-0.3294158579666905	weak_viability_liability	
ILF2	0.007961892202439	0.0340873742221783	-0.9263197376963416	weak_viability_liability	
POLD2	0.0076153948466345	0.0342005509885446	-0.9813037907117468	weak_viability_liability	
ROMO1	0.0074711249391755	0.0363730641553252	-1.2584264679197108	weak_viability_liability	
PRELID3B	0.0074339266565764	0.0408714727860097	-1.800954400097674	weak_viability_liability	
SINHCAF	0.0073101717429171	0.0291268145920272	-0.4109166946146134	weak_viability_liability	
DNMT1	0.0065385890099236	0.0271443579970256	-0.266077667546463	weak_viability_liability	
RNASEH2A	0.0056717109922867	0.0248171678875677	-0.0914020145065598	intermediate_viability_liability	
HASPIN	0.0050805277643914	0.0252988683985433	-0.2197353131026627	weak_viability_liability	
CCND1	0.0049206165916321	0.0240517128553758	-0.0896842634135659	intermediate_viability_liability	
NOLC1	0.0045878294208017	0.0261711889937863	-0.3830124480985966	weak_viability_liability	
P2RX4	0.0043032561273769	0.024532421848294	-0.2210301589856212	weak_viability_liability	
MYC	0.004202660044205	0.0370959582098542	-1.7358540225673635	weak_viability_liability	
PET100	0.0041565905083322	0.0240636342600641	-0.1824994465159545	intermediate_viability_liability	
EIF4A1	0.0040570691927483	0.0368147085889684	-1.7196271596430983	weak_viability_liability	
CST3	0.0040106033825779	0.0215978569904268	0.0949829221967401	strong_viability_liability	
CTPS1	0.003307466298788	0.0316714232926206	-1.194075568866407	weak_viability_liability	
CDKN2A	0.0027228893075126	0.0189977532723694	0.2519647887555473	strong_viability_liability	
HLA-B	0.0026070100650931	0.0196936427353681	0.1548648403743337	strong_viability_liability	
HNRNPC	0.0021651277621882	0.0299597851066159	-1.1259786267181124	weak_viability_liability	
STAT1	0.00215813594972	0.0187492540090211	0.2141359638194184	strong_viability_liability	
DDR1	0.0021444895426292	0.0188592234707423	0.1993496159340847	strong_viability_liability	
CSPG4	0.0020004667569551	0.0164835135612581	0.4662935164301572	strong_viability_liability	
SLC19A1	0.0018423705985074	0.0208877070964618	-0.0794260842354929	intermediate_viability_liability	
SERPINE2	0.001806920572106	0.0185614901316183	0.1945846653677799	strong_viability_liability	
SSR2	0.0017983914039258	0.0210371108634589	-0.1025576430918104	intermediate_viability_liability	
SLC25A13	0.0017018242820453	0.0178163322736052	0.2711458148604281	strong_viability_liability	
B2M	0.0016880868026826	0.0179779233972647	0.2501738333223598	strong_viability_liability	
TOP1MT	0.0016847978902515	0.0176321877700138	0.2911356961170015	strong_viability_liability	
