cell_line	truth_metric	depmap_endpoint	n_targets	spearman_rho_raw	spearman_pvalue	pearson_r_raw	pearson_pvalue	spearman_rho_aligned	pearson_r_aligned	alignment_note
dixit_2016_raw__control_context	real_shift_L2	depmap_gene_effect	204	-0.575023146348531	2.375236457043901e-19	-0.7271653958894245	7.61706908032044e-35	0.575023146348531	0.7271653958894245	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_L2	depmap_gene_dependency	204	0.5750437484280341	2.366677071082988e-19	0.757586672278247	2.7830806468905436e-39	0.5750437484280341	0.757586672278247	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_mean_abs	depmap_gene_effect	204	-0.5714271579111039	4.443128487819159e-19	-0.7270888285934349	7.801825862633752e-35	0.5714271579111039	0.7270888285934349	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_mean_abs	depmap_gene_dependency	204	0.5714463413881381	4.428398953257936e-19	0.7574027946455063	2.9737162891087064e-39	0.5714463413881381	0.7574027946455063	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top20_mean	depmap_gene_effect	204	-0.5690566891180358	6.686054628836332e-19	-0.719089767461856	9.129672101204273e-34	0.5690566891180358	0.719089767461856	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top20_mean	depmap_gene_dependency	204	0.5690744557248982	6.665688363347473e-19	0.7533193511160887	1.27569507845467e-38	0.5690744557248982	0.7533193511160887	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top50_mean	depmap_gene_effect	204	-0.5866323653094543	2.981837288781078e-20	-0.7277669540906566	6.307982208342565e-35	0.5866323653094543	0.7277669540906566	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top50_mean	depmap_gene_dependency	204	0.5866501567598947	2.972179525462066e-20	0.7575706594569193	2.7991910950480447e-39	0.5866501567598947	0.7575706594569193	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top100_mean	depmap_gene_effect	204	-0.589275642973758	1.837435361257386e-20	-0.7294095777965103	3.7595924086940245e-35	0.589275642973758	0.7294095777965103	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top100_mean	depmap_gene_dependency	204	0.5892934381605256	1.8314284406678443e-20	0.758741854210562	1.833032080992796e-39	0.5892934381605256	0.758741854210562	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top50_concentration	depmap_gene_effect	204	-0.18195503600935747	0.00919687599433943	-0.11002743071172813	0.11720596953397569	0.18195503600935747	0.11002743071172813	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_shift_top50_concentration	depmap_gene_dependency	204	0.18185776036339962	0.009234955435308266	0.11578773777833905	0.09911299490019328	0.18185776036339962	0.11578773777833905	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_Edistance	depmap_gene_effect	204	-0.5582715508406895	4.120491478542e-18	-0.5861518985451444	3.254613406210453e-20	0.5582715508406895	0.5861518985451444	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_Edistance	depmap_gene_dependency	204	0.5582893022025383	4.108398422974778e-18	0.625888703467646	1.3875204041166085e-23	0.5582893022025383	0.625888703467646	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_DEG_burden	depmap_gene_effect	204	-0.5457242944476165	3.151200456209427e-17	-0.605384328776877	8.713204243513915e-22	0.5457242944476165	0.605384328776877	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
dixit_2016_raw__control_context	real_DEG_burden	depmap_gene_dependency	204	0.5457464172423416	3.1401513745133537e-17	0.6358369666831467	1.6631132794001567e-24	0.5457464172423416	0.6358369666831467	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高
