target_gene	candidate_type	functional_category	grid	real_shift_mean_abs	liability	residual	real_shift_L2	depmap_gene_effect	depmap_gene_dependency
YY1	B: shift_excess_high_liability	chromatin / transcription regulation	Q1: high_liability_high_shift	0.0053201925384121	0.6261517971182733	0.000620569536993955	1.9423491668248984	-0.6261517971182733	0.7276949214878715
IRF1	A: shift_excess_low_liability	signaling / stress / immune	middle	0.0032418031709357	0.0270804670754626	0.000417169410203911	0.9722017203308428	-0.0270804670754626	0.0282070976172631
GABPA	B: shift_excess_high_liability	other / unresolved	Q1: high_liability_high_shift	0.0032335956895071	0.3663464919493407	-0.0006528818191528243	1.044055971320551	-0.3663464919493407	0.3039556555377878
E2F4	C: middle_range	other / unresolved	middle	0.0031633745164676	0.1444957567793325	-2.8748713124424844e-05	0.9831000155331484	-0.1444957567793325	0.0737611734867184
NR2C2	C: middle_range	other / unresolved	middle	0.0029624276925827	0.1029273643150633	-9.959368650420616e-05	0.894703221933017	-0.1029273643150633	0.0531572523792977
EGR1	C: middle_range	chromatin / transcription regulation	middle	0.0028422518033918	0.1784621064355158	-0.00045618020272969635	0.8523508117943334	-0.1784621064355158	0.0951212499906231
ETS1	C: middle_range	other / unresolved	middle	0.0028045103468223	-0.0870167445612608	0.0003369810467494486	0.8160966903995082	0.0870167445612608	0.0104489076569362
CREB1	C: middle_range	other / unresolved	Q3: low_liability_low_shift	0.0026383122258462	-0.1309068989504612	0.00030815148795430413	0.7965809122221064	0.1309068989504612	0.0071578592789096
ELK1	C: middle_range	other / unresolved	Q3: low_liability_low_shift	0.0024652698331102	-0.0750545005118522	-3.96992137211929e-05	0.7214947313107509	0.0750545005118522	0.0115968945203785
ELF1	C: middle_range	other / unresolved	middle	0.0023201360490387	-0.0044643707675075	-0.0004057678466692729	0.6979595530052319	0.0044643707675075	0.0214694821905055
