fine_axis	macro_axis	n_genes	genes	mean_shift_HCC38	mean_shift_HCC1143	mean_liability_HCC38	mean_liability_HCC1143	mean_residual_HCC38	mean_residual_HCC1143	fraction_Q1_HCC38	fraction_Q1_HCC1143	fraction_shift_excess	tier1_n	tier2_n	tier3_n	tier4_n	dominant_tier
RNA processing / spliceosome	RNA processing	1	PRPF6	0.01448	0.015411	1.574171	1.862028	0.004668	0.002429	1.0	1.0	1.0	1	0	0	0	1
RNA processing / transcription	RNA processing	1	YBX1	0.007649	0.007749	2.475444	1.377082	-0.004621	-0.003276	0.0	0.0	0.0	0	0	0	1	4
cell cycle / replication	cell-state regulation	1	CDKN2A	0.004055	0.005052	-0.281619	-0.53805	-0.000694	0.001756	0.0	0.0	0.0	0	0	1	0	3
cytoskeleton / cell motility	cell-state regulation	1	TMSB4X	0.004513	0.00397	0.338099	-0.091112	-0.001927	-0.00113	0.0	0.0	0.0	0	0	0	1	4
transcription regulation	gene expression machinery	18	ETV3; GON4L; HLX; KLF3; MAML3; MIER1; MYBL1; PMF1; THAP8; TMF1; UBP1; VEZF1; ZBTB17; ZBTB20; ZBTB5; ZNF131; ZNF24; ZNF566	0.0058903888888888895	0.006448666666666667	0.17239333333333334	0.17502438888888888	-9.761111111111115e-05	0.0002743333333333333	0.16666666666666666	0.16666666666666666	0.2222222222222222	2	2	6	8	1
transcription / chromatin	gene expression machinery	2	ENY2; TADA3	0.00974	0.0104445	0.3042695	0.277709	0.003392	0.0038555000000000004	0.5	0.5	1.0	2	0	0	0	1
chromatin remodeling	gene expression machinery	2	ARID1A; RUVBL2	0.0083935	0.009633	0.76037	1.7050185	0.0008010000000000001	-0.0027165	0.5	0.5	0.5	1	0	0	1	1
nuclear receptor / co-activator	gene expression machinery	1	NCOA1	0.004349	0.003907	0.093368	0.016166	-0.001424	-0.001626	0.0	0.0	0.0	0	0	0	1	4
peroxisome / metabolism	metabolism	1	PEX14	0.004392	0.004449	-0.232032	0.006656	-0.000493	-0.001046	0.0	0.0	0.0	0	0	0	1	4
metabolism / transcription	metabolism	1	PCBD1	0.004169	0.004675	-0.016466	-0.068354	-0.001304	-0.000517	0.0	0.0	0.0	0	0	0	1	4
proteostasis / chaperone	proteostasis	1	PFDN5	0.009118	0.010233	0.88708	1.230578	0.00118	-0.000201	1.0	1.0	0.0	0	0	1	0	3
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	1	NPM1	0.011372	0.007481	0.948421	0.248699	0.003267	0.001009	1.0	0.0	1.0	1	0	0	0	1
ribosomal / translation	ribosome / nucleolar biogenesis	1	RPS3	0.009691	0.007861	1.977444	1.83084	-0.001221	-0.004996	1.0	1.0	0.0	0	0	0	1	4
TGF-beta / BMP signaling	signaling / growth control	2	BMPR1A; SMAD1	0.005092	0.005788	0.129515	0.19681500000000002	-0.000779	-0.0004745	0.0	0.0	0.0	0	0	1	1	3
nuclear receptor / metabolism	signaling / growth control	2	RORC; THRA	0.005301	0.004953	0.251127	0.0839515	-0.0009015000000000001	-0.0008535	0.0	0.0	0.0	0	0	0	2	4
mTOR / lysosome / signaling	signaling / growth control	1	LAMTOR5	0.010644	0.009378	0.188027	0.208005	0.004613	0.00307	0.0	0.0	1.0	0	1	0	0	2
NF-κB / MAPK signaling	signaling / growth control	1	TAB3	0.005356	0.006028	0.019651	-0.097644	-0.000215	0.000953	0.0	0.0	0.0	0	0	1	0	3
growth / proliferation	signaling / growth control	1	PA2G4	0.00717	0.005932	0.466364	0.160898	0.00038	-0.000186	0.0	0.0	0.0	0	0	1	0	3
signaling / oncogene	signaling / growth control	1	MTDH	0.005631	0.004734	0.052183	-0.058137	-2.9e-05	-0.0005	0.0	0.0	0.0	0	0	0	1	4
JAK-STAT signaling	signaling / growth control	1	STAT3	0.004942	0.004579	-0.000542	-0.183241	-0.000574	-0.000149	0.0	0.0	0.0	0	0	0	1	4
synaptic / signaling	signaling / growth control	1	ERC1	0.004172	0.004878	-0.218853	0.037912	-0.000749	-0.000743	0.0	0.0	0.0	0	0	0	1	4
growth factor / proliferation	signaling / growth control	1	HDGF	0.005394	0.00399	0.027513	-0.009319	-0.000199	-0.00144	0.0	0.0	0.0	0	0	0	1	4
NF-κB / copper signaling	signaling / growth control	1	COMMD6	0.00422	0.004534	-0.147382	0.221822	-0.000895	-0.001829	0.0	0.0	0.0	0	0	0	1	4
oxidative stress / mitochondrial	stress response	1	PARK7	0.005056	0.006148	-0.01345	0.218224	-0.000425	-0.000201	0.0	0.0	0.0	0	0	0	1	4
ER stress / UPR	stress response	1	XBP1	0.004028	0.004589	-0.108024	-0.097036	-0.001195	-0.000488	0.0	0.0	0.0	0	0	0	1	4
oxidative stress / antioxidant	stress response	1	PRDX2	0.004864	0.005521	0.278398	0.252201	-0.001413	-0.000964	0.0	0.0	0.0	0	0	0	1	4
