target_gene	priority_tier	candidate_type	functional_category	functional_description	combined_residual_label	combined_depmap_label	both_lines_shift_excess	grid_HCC38	grid_HCC1143	shift_HCC38	shift_HCC1143	shift_mean	liability_HCC38	liability_HCC1143	liability_mean	residual_HCC38	residual_HCC1143	residual_mean	L2_HCC38	L2_HCC1143	effect_HCC38	effect_HCC1143	dep_HCC38	dep_HCC1143	residual_sign_HCC38	residual_sign_HCC1143	residual_sign_agree	shift_sign_HCC38	shift_sign_HCC1143	shift_sign_agree
PMF1	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.009201	0.012776	0.010988	1.592022	1.119192	1.355607	-0.00066	0.002791	0.001066	3.907663	5.460196	-1.592022	-1.119192	-1.592022	-1.119192	-1.0	1.0	False	1.0	1.0	True
CDKN2A	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	Q3: low_liability_low_shift	middle	0.004055	0.005052	0.004554	-0.281619	-0.53805	-0.409835	-0.000694	0.001756	0.000531	1.61538	2.084158	0.281619	0.53805	0.281619	0.53805	-1.0	1.0	False	1.0	1.0	True
PFDN5	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	Q1: high_liability_high_shift	Q1: high_liability_high_shift	0.009118	0.010233	0.009675	0.88708	1.230578	1.058829	0.00118	-0.000201	0.00049	3.763957	4.766008	-0.88708	-1.230578	-0.88708	-1.230578	1.0	-1.0	False	1.0	1.0	True
TAB3	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	middle	0.005356	0.006028	0.005692	0.019651	-0.097644	-0.038997	-0.000215	0.000953	0.000369	2.217455	2.656228	-0.019651	0.097644	-0.019651	0.097644	-1.0	1.0	False	1.0	1.0	True
GON4L	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	middle	middle	0.006014	0.007688	0.006851	0.417807	0.236258	0.327033	-0.000643	0.001266	0.000312	2.43839	3.332337	-0.417807	-0.236258	-0.417807	-0.236258	-1.0	1.0	False	1.0	1.0	True
MIER1	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	middle	0.004994	0.005783	0.005389	-0.18449	-0.074215	-0.129353	-2.1e-05	0.000615	0.000297	2.045208	2.626166	0.18449	0.074215	0.18449	0.074215	-1.0	1.0	False	1.0	1.0	True
PA2G4	3	C: line_specific_shift_excess			top_residual_in_one	intermediate_viability_liability	False	middle	middle	0.00717	0.005932	0.006551	0.466364	0.160898	0.313631	0.00038	-0.000186	9.7e-05	3.347056	2.723109	-0.466364	-0.160898	-0.466364	-0.160898	1.0	-1.0	False	1.0	1.0	True
HLX	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	middle	0.005299	0.005021	0.00516	-0.196979	0.01055	-0.093214	0.000319	-0.000489	-8.5e-05	2.283746	2.152542	0.196979	-0.01055	0.196979	-0.01055	1.0	-1.0	False	1.0	1.0	True
TMF1	3	C: line_specific_shift_excess			top_residual_in_one	intermediate_viability_liability	False	middle	middle	0.006303	0.005895	0.006099	0.173933	0.226229	0.200081	0.00031	-0.000486	-8.8e-05	2.670954	2.502338	-0.173933	-0.226229	-0.173933	-0.226229	1.0	-1.0	False	1.0	1.0	True
ZBTB20	3	C: line_specific_shift_excess			top_residual_in_one	strong_viability_liability	False	middle	Q3: low_liability_low_shift	0.004806	0.004381	0.004594	-0.353603	-0.105016	-0.22931	0.000253	-0.000663	-0.000205	2.159002	1.889601	0.353603	0.105016	0.353603	0.105016	1.0	-1.0	False	1.0	1.0	True
BMPR1A	3	C: line_specific_shift_excess			top_residual_in_one	weak_viability_liability	False	middle	middle	0.00562	0.007028	0.006324	0.35197	0.358563	0.355266	-0.000858	0.000113	-0.000373	2.411209	3.162989	-0.35197	-0.358563	-0.35197	-0.358563	-1.0	1.0	False	1.0	1.0	True
