cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	control_target_prefix	real_shift_L2	real_shift_mean_abs	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	residual	quadrant
HCC38	ACH-000276	ARID1A	365	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	4.5521106820450274	0.0085365617536346	0.6844363647374117	35	-0.1959555409927433	0.0939245801107399	True	True	both	0.002484292666047924	middle
HCC38	ACH-000276	BMPR1A	212	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	2.4112086854129164	0.0056197913890013	0.1313814779242541	3	-0.3519701364399601	0.2329854350238944	True	True	both	-0.0008580873192481344	middle
HCC38	ACH-000276	CDKN2A	399	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	1.6153802596872924	0.0040551040534158	0.0529303840921642	0	0.2816188048418129	0.0034117871973033	True	True	both	-0.000694336695666627	low_shift_high_depmap
HCC38	ACH-000276	COMMD6	395	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	1.715292039582324	0.0042202270388882	0.0628530619862886	0	0.1473822164133259	0.0087958879569685	True	True	both	-0.0008954126758508743	low_shift_high_depmap
HCC38	ACH-000276	ENY2	93	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	4.544919712264169	0.0103397858020701	0.4591876502228338	14	-0.5509808712071267	0.4895161201697765	True	True	both	0.0033190035078499124	high_shift_low_depmap
HCC38	ACH-000276	ERC1	433	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	1.7068626495623005	0.00417172244801	0.0660008981986344	0	0.2188525570329813	0.0054295617631019	True	True	both	-0.0007489453509760971	low_shift_high_depmap
HCC38	ACH-000276	ETV3	244	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	2.131250251028423	0.0051298888376656	0.1174565194971322	0	-0.1735948251121793	0.0807914252803547	True	True	both	-0.0008613799584009521	middle
HCC38	ACH-000276	GON4L	167	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	2.438389539750892	0.0060144581054616	0.1331370425297109	1	-0.4178073081616394	0.3129469325001975	True	True	both	-0.000643025168640475	middle
HCC38	ACH-000276	HDGF	254	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	2.310398267970584	0.0053940020400889	0.1102646874948405	1	-0.0275129839181656	0.0286996254177853	True	True	both	-0.0001987538037882767	middle
HCC38	ACH-000276	HLX	289	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	2.2837459862813443	0.0052991294769277	0.1391844016536794	0	0.1969791502719058	0.006315463793662	True	True	both	0.0003187907713350915	middle
HCC38	ACH-000276	KLF3	236	1666	3	14485	36601	mtx_protospacer	intergenic_chr_	2.319837106922052	0.0054676604656395	0.1040771771502981	0	-0.2832468490799181	0.1616884807733207	True	True	both	-0.0008227403199183945	middle
