gene	HCC38_BREAST_6.1	HCC38_BREAST_6.2	HCC38_BREAST_6.3	HCC38_BREAST_6.4	HCC38_BREAST_6.5	HCC38_BREAST_6.6	HCC38_BREAST_7.1	HCC38_BREAST_7.2	HCC38_BREAST_7.3	HCC38_BREAST_7.4	HCC38_BREAST_7.5	HCC38_BREAST_7.6	HCC38_BREAST_7.7	HCC38_BREAST_8.1	HCC38_BREAST_8.2	HCC38_BREAST_8.3	HCC38_BREAST_8.4	HCC38_BREAST_8.5	HCC38_BREAST_8.6	HCC38_BREAST_8.7	HCC38_BREAST_8.8	HCC38_BREAST_9.1	HCC38_BREAST_9.2	HCC38_BREAST_9.3	HCC38_BREAST_9.4	HCC38_BREAST_9.5	HCC38_BREAST_9.6	HCC38_BREAST_9.7	HCC38_BREAST_9.8	HCC38_BREAST_9.9
ENY2	0.039131	0.000174	0.012389	0.031073	0.0	0.0	0.022123	0.0	0.016554	0.0	0.030125	0.0277	0.008432	0.026713	0.009082	0.0	0.015621	0.001724	0.0	0.02211	0.034781	0.009214	0.035145	0.001498	0.002007	0.022164	0.016253	0.002113	0.0	0.027733
PRPF6	0.055927	0.02084	0.023396	0.01334	0.02857	0.019974	2e-06	0.015698	0.024528	0.018657	0.013214	0.059831	0.040858	0.055188	0.041588	0.007791	0.02543	0.022195	0.018584	0.000716	0.017781	0.041706	0.016995	0.026528	0.020262	0.000838	0.024409	0.013757	0.00471	0.054284
TADA3	0.00849	0.016981	0.009994	0.006741	0.009933	0.02538	0.0	0.018335	0.009447	0.0235	0.005866	0.013377	0.00764	0.013749	0.007766	0.013716	0.009733	0.01476	0.023546	0.0	0.0052	0.007738	0.004129	0.020432	0.012812	0.0	0.009514	0.019173	0.012851	0.012234
NPM1	0.036196	0.001151	0.0	0.035038	0.003817	0.0	0.0028	0.0	0.000474	0.0	0.034517	0.032123	0.016796	0.031209	0.017994	0.0	0.0	0.001865	0.0	0.00288	0.03815	0.018179	0.038615	0.0	0.003865	0.00282	0.000115	0.0	0.0	0.035068
ZNF131	0.011289	0.020037	0.018125	0.031223	0.004954	0.046503	0.0	0.021323	0.017515	0.042605	0.02935	0.021447	0.0	0.023539	0.0	0.021959	0.016729	0.017542	0.041329	0.0	0.027976	0.0	0.027529	0.024172	0.017424	0.0	0.018156	0.041911	0.019939	0.020048
ARID1A	0.007864	0.02621	0.039206	0.014243	0.007362	0.038462	0.0	0.028143	0.036125	0.033065	0.012173	0.022452	0.0	0.028073	0.0	0.025771	0.037022	0.017204	0.031497	0.0	0.008491	0.0	0.006441	0.030851	0.013146	0.0	0.036252	0.026171	0.024278	0.026258
LAMTOR5	0.028267	0.014853	0.005466	0.021024	0.011723	0.0	0.019168	0.010971	0.007862	0.0	0.021864	0.020721	0.016078	0.014288	0.01814	0.00615	0.007928	0.017181	0.0	0.018687	0.024844	0.017501	0.024904	0.002814	0.017532	0.018622	0.007622	0.0	0.00721	0.016581
VEZF1	0.020784	0.016203	0.032136	0.003193	0.039493	0.039	0.0	0.035221	0.029428	0.038256	0.004809	0.018805	0.029575	0.020331	0.031121	0.028379	0.028787	0.01654	0.040436	0.000639	0.005759	0.02961	0.005461	0.039769	0.01284	0.001102	0.026325	0.029482	0.028045	0.01688
PMF1	0.046665	0.005853	0.030621	0.020466	0.030546	0.017482	0.002028	0.008505	0.032695	0.01759	0.021498	0.044667	0.037236	0.041427	0.036455	0.01599	0.031968	0.008246	0.016584	0.00249	0.023193	0.035394	0.021694	0.033854	0.006512	0.002444	0.029878	0.002397	0.017805	0.038686
PFDN5	0.015559	0.020651	0.0	0.01761	0.01139	4.8e-05	0.0	0.015512	0.0	0.0	0.017122	0.019791	0.011373	0.017382	0.012054	0.010047	0.0	0.019054	0.0	0.0	0.016482	0.012528	0.016303	0.0	0.019429	0.0	0.0	0.001207	0.010534	0.019783
