audit_type	variant	context	backbone_recovery	n_targets_used
original_reference	original_shared_mean_baseline	HCC1143	0.84	6
original_reference	original_shared_mean_baseline	HCC38	0.773333	6
original_reference	original_shared_mean_baseline	pooled	0.806667	6
loto	full_baseline_all_backbone	HCC1143	0.84	6
loto	loto_max	HCC1143	0.866667	5
loto	loto_mean	HCC1143	0.82	5
loto	loto_min	HCC1143	0.766667	5
loto	loto_std	HCC1143	0.035277	5
loto	remove_ARID1A	HCC1143	0.826667	5
loto	remove_ENY2	HCC1143	0.866667	5
loto	remove_PRPF6	HCC1143	0.766667	5
loto	remove_RPS3	HCC1143	0.826667	5
loto	remove_RUVBL2	HCC1143	0.793333	5
loto	remove_TADA3	HCC1143	0.84	5
loto	full_baseline_all_backbone	HCC38	0.773333	6
loto	loto_max	HCC38	0.846667	5
loto	loto_mean	HCC38	0.761111	5
loto	loto_min	HCC38	0.52	5
loto	loto_std	HCC38	0.121503	5
loto	remove_ARID1A	HCC38	0.806667	5
loto	remove_ENY2	HCC38	0.766667	5
loto	remove_PRPF6	HCC38	0.846667	5
loto	remove_RPS3	HCC38	0.793333	5
loto	remove_RUVBL2	HCC38	0.52	5
loto	remove_TADA3	HCC38	0.833333	5
loto	full_baseline_all_backbone	pooled	0.806666	6
loto	loto_max	pooled	0.856667	5
loto	loto_mean	pooled	0.790555	5
loto	loto_min	pooled	0.643334	5
loto	loto_std	pooled	0.07839	5
loto	remove_ARID1A	pooled	0.816667	5
loto	remove_ENY2	pooled	0.816667	5
loto	remove_PRPF6	pooled	0.806667	5
loto	remove_RPS3	pooled	0.81	5
loto	remove_RUVBL2	pooled	0.656667	5
loto	remove_TADA3	pooled	0.836666	5
cross_context	backbone_from_HCC38	HCC1143	0.773333	6
cross_context	backbone_from_HCC1143	HCC38	0.84	6
