replicate	cell_line	truth_metric	n_targets	spearman_rank_vs_baseline
0	HCC38	real_shift_L2	48	0.9959834997828919
0	HCC38	real_shift_mean_abs	48	0.9971775944420321
0	HCC38	real_shift_top20_mean	48	0.990447242726878
0	HCC38	real_shift_top50_mean	48	0.9909900130264871
0	HCC38	real_shift_top100_mean	48	0.9928354320451585
0	HCC38	real_shift_top50_concentration	48	0.9802431610942249
0	HCC38	real_Edistance	48	0.9920755536257057
0	HCC38	real_DEG_burden	48	0.9404461299054484
1	HCC38	real_shift_L2	48	0.9924012158054711
1	HCC38	real_shift_mean_abs	48	0.9940295267042988
1	HCC38	real_shift_top20_mean	48	0.9859965262700825
1	HCC38	real_shift_top50_mean	48	0.9865392965696917
1	HCC38	real_shift_top100_mean	48	0.9883847155883629
1	HCC38	real_shift_top50_concentration	48	0.9709075119409466
1	HCC38	real_Edistance	48	0.9887103777681286
1	HCC38	real_DEG_burden	48	0.946212858169927
2	HCC38	real_shift_L2	48	0.9914242292661745
2	HCC38	real_shift_mean_abs	48	0.9895788102475033
2	HCC38	real_shift_top20_mean	48	0.9926183239253147
2	HCC38	real_shift_top50_mean	48	0.987733391228832
2	HCC38	real_shift_top100_mean	48	0.9901215805471123
2	HCC38	real_shift_top50_concentration	48	0.9618975249674337
2	HCC38	real_Edistance	48	0.9845853234910985
2	HCC38	real_DEG_burden	48	0.9350818511542096
3	HCC38	real_shift_L2	48	0.9941380807642205
3	HCC38	real_shift_mean_abs	48	0.9950065132435952
3	HCC38	real_shift_top20_mean	48	0.989687364307425
3	HCC38	real_shift_top50_mean	48	0.9909900130264871
3	HCC38	real_shift_top100_mean	48	0.9916413373860182
3	HCC38	real_shift_top50_concentration	48	0.9591836734693878
3	HCC38	real_Edistance	48	0.98230568823274
3	HCC38	real_DEG_burden	48	0.9460051512389223
4	HCC38	real_shift_L2	48	0.9931610942249239
4	HCC38	real_shift_mean_abs	48	0.9933782023447677
4	HCC38	real_shift_top20_mean	48	0.9924012158054711
4	HCC38	real_shift_top50_mean	48	0.9939209726443768
4	HCC38	real_shift_top100_mean	48	0.9938124185844551
4	HCC38	real_shift_top50_concentration	48	0.9730785931393833
4	HCC38	real_Edistance	48	0.9867564046895355
4	HCC38	real_DEG_burden	48	0.9407334747986368
5	HCC38	real_shift_L2	48	0.9962006079027355
5	HCC38	real_shift_mean_abs	48	0.997937472861485
5	HCC38	real_shift_top20_mean	48	0.9950065132435952
5	HCC38	real_shift_top50_mean	48	0.9952236213634389
5	HCC38	real_shift_top100_mean	48	0.9952236213634389
5	HCC38	real_shift_top50_concentration	48	0.9836083369518019
5	HCC38	real_Edistance	48	0.9907729049066435
5	HCC38	real_DEG_burden	48	0.9639044354118045
6	HCC38	real_shift_L2	48	0.9882761615284412
6	HCC38	real_shift_mean_abs	48	0.990447242726878
6	HCC38	real_shift_top20_mean	48	0.9806773773339124
6	HCC38	real_shift_top50_mean	48	0.9857794181502388
6	HCC38	real_shift_top100_mean	48	0.9894702561875813
6	HCC38	real_shift_top50_concentration	48	0.9574468085106382
6	HCC38	real_Edistance	48	0.9761181068171948
6	HCC38	real_DEG_burden	48	0.8960959938222482
7	HCC38	real_shift_L2	48	0.9933782023447677
7	HCC38	real_shift_mean_abs	48	0.9939209726443768
7	HCC38	real_shift_top20_mean	48	0.9883847155883629
7	HCC38	real_shift_top50_mean	48	0.9933782023447677
7	HCC38	real_shift_top100_mean	48	0.9924012158054711
7	HCC38	real_shift_top50_concentration	48	0.9553842813721233
7	HCC38	real_Edistance	48	0.9859965262700825
7	HCC38	real_DEG_burden	48	0.9465193061084679
8	HCC38	real_shift_L2	48	0.9793747286148502
8	HCC38	real_shift_mean_abs	48	0.9769865392965696
8	HCC38	real_shift_top20_mean	48	0.9811115935735996
8	HCC38	real_shift_top50_mean	48	0.9861050803300042
8	HCC38	real_shift_top100_mean	48	0.9855623100303951
8	HCC38	real_shift_top50_concentration	48	0.9612462006079028
8	HCC38	real_Edistance	48	0.9549500651324359
8	HCC38	real_DEG_burden	48	0.9404187080533073
9	HCC38	real_shift_L2	48	0.9957663916630483
9	HCC38	real_shift_mean_abs	48	0.9957663916630483
9	HCC38	real_shift_top20_mean	48	0.9921841076856274
9	HCC38	real_shift_top50_mean	48	0.9915327833260964
9	HCC38	real_shift_top100_mean	48	0.9941380807642205
9	HCC38	real_shift_top50_concentration	48	0.9614633087277464
9	HCC38	real_Edistance	48	0.991098567086409
9	HCC38	real_DEG_burden	48	0.9520144099400307
10	HCC38	real_shift_L2	48	0.9864307425097698
10	HCC38	real_shift_mean_abs	48	0.9927268779852367
10	HCC38	real_shift_top20_mean	48	0.9750325662179764
10	HCC38	real_shift_top50_mean	48	0.9838254450716457
10	HCC38	real_shift_top100_mean	48	0.982957012592271
10	HCC38	real_shift_top50_concentration	48	0.9434433347807208
10	HCC38	real_Edistance	48	0.9700390794615718
10	HCC38	real_DEG_burden	48	0.9046552817762856
11	HCC38	real_shift_L2	48	0.9983716891011724
11	HCC38	real_shift_mean_abs	48	0.9986973512809378
11	HCC38	real_shift_top20_mean	48	0.9960920538428136
11	HCC38	real_shift_top50_mean	48	0.9970690403821102
11	HCC38	real_shift_top100_mean	48	0.9967433782023448
11	HCC38	real_shift_top50_concentration	48	0.9652627008250108
11	HCC38	real_Edistance	48	0.9929439861050804
11	HCC38	real_DEG_burden	48	0.9794258796005524
12	HCC38	real_shift_L2	48	0.9946808510638298
12	HCC38	real_shift_mean_abs	48	0.9968519322622666
12	HCC38	real_shift_top20_mean	48	0.9937038645245331
12	HCC38	real_shift_top50_mean	48	0.9938124185844551
12	HCC38	real_shift_top100_mean	48	0.9931610942249239
12	HCC38	real_shift_top50_concentration	48	0.965045592705167
12	HCC38	real_Edistance	48	0.9840425531914894
12	HCC38	real_DEG_burden	48	0.941222734820646
13	HCC38	real_shift_L2	48	0.9934867564046895
13	HCC38	real_shift_mean_abs	48	0.9957663916630483
13	HCC38	real_shift_top20_mean	48	0.9866478506296135
13	HCC38	real_shift_top50_mean	48	0.9928354320451585
13	HCC38	real_shift_top100_mean	48	0.9915327833260964
13	HCC38	real_shift_top50_concentration	48	0.9620060790273556
13	HCC38	real_Edistance	48	0.9833912288319583
13	HCC38	real_DEG_burden	48	0.9025510097617153
14	HCC38	real_shift_L2	48	0.9940295267042988
14	HCC38	real_shift_mean_abs	48	0.9966348241424229
14	HCC38	real_shift_top20_mean	48	0.9845853234910985
14	HCC38	real_shift_top50_mean	48	0.9883847155883629
14	HCC38	real_shift_top100_mean	48	0.9886018237082066
14	HCC38	real_shift_top50_concentration	48	0.9552757273122013
14	HCC38	real_Edistance	48	0.9772036474164134
14	HCC38	real_DEG_burden	48	0.8977444997740089
15	HCC38	real_shift_L2	48	0.9905557967867997
15	HCC38	real_shift_mean_abs	48	0.9934867564046895
15	HCC38	real_shift_top20_mean	48	0.97818063395571
15	HCC38	real_shift_top50_mean	48	0.9770950933564915
15	HCC38	real_shift_top100_mean	48	0.9802431610942249
15	HCC38	real_shift_top50_concentration	48	0.9415979157620494
15	HCC38	real_Edistance	48	0.9612462006079028
15	HCC38	real_DEG_burden	48	0.8999754112942593
16	HCC38	real_shift_L2	48	0.9859965262700825
