target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	195	1325	0.05043057571359458	barcode_gem_group	3
BMPR1A	93	1325	0.03803611280178534	barcode_gem_group	3
CDKN2A	169	1325	0.06369096795802165	barcode_gem_group	3
COMMD6	324	1325	0.017523876077335243	barcode_gem_group	3
ENY2	161	1325	0.05603656392827844	barcode_gem_group	3
ERC1	412	1325	0.040468950357208294	barcode_gem_group	3
ETV3	187	1325	0.034579759862778725	barcode_gem_group	3
GON4L	115	1325	0.030057424118129644	barcode_gem_group	3
HDGF	319	1325	0.018905778671556128	barcode_gem_group	3
HLX	213	1325	0.03723270440251575	barcode_gem_group	3
KLF3	223	1325	0.049398426262797224	barcode_gem_group	3
LAMTOR5	274	1325	0.026136895744387822	barcode_gem_group	3
MAML3	341	1325	0.05217506778066727	barcode_gem_group	3
MIER1	254	1325	0.014095973852325083	barcode_gem_group	3
MTDH	290	1325	0.03410540013012364	barcode_gem_group	3
MYBL1	142	1325	0.13817167153866594	barcode_gem_group	3
NCOA1	334	1325	0.041224720370579615	barcode_gem_group	3
NPM1	125	1325	0.09056603773584904	barcode_gem_group	3
PA2G4	154	1325	0.13030629747610878	barcode_gem_group	3
PARK7	215	1325	0.05851689337428695	barcode_gem_group	3
PCBD1	214	1325	0.04541703403279848	barcode_gem_group	3
PEX14	282	1325	0.08614746420446945	barcode_gem_group	3
PFDN5	57	1325	0.004276729559748421	barcode_gem_group	3
PMF1	40	1325	0.14556603773584909	barcode_gem_group	3
PRDX2	186	1325	0.04260904848853725	barcode_gem_group	3
PRPF6	23	1325	0.06818703855619362	barcode_gem_group	3
RORC	230	1325	0.051173092698933526	barcode_gem_group	3
RPS3	72	1325	0.10593291404612158	barcode_gem_group	3
RUVBL2	51	1325	0.14153163152053272	barcode_gem_group	3
SMAD1	299	1325	0.07897015207925791	barcode_gem_group	3
SMAD5	186	1325	0.06411442483262325	barcode_gem_group	3
SS18L2	26	1325	0.13248185776487664	barcode_gem_group	3
STAT3	305	1325	0.03613980822765234	barcode_gem_group	3
TAB3	222	1325	0.034611592724800244	barcode_gem_group	3
TADA3	133	1325	0.03936444885799403	barcode_gem_group	3
THAP8	335	1325	0.006386933258237137	barcode_gem_group	3
THRA	188	1325	0.05141710156563631	barcode_gem_group	3
TMF1	145	1325	0.07094339622641509	barcode_gem_group	3
TMSB4X	266	1325	0.0241708043694141	barcode_gem_group	3
UBP1	267	1325	0.02225143099427601	barcode_gem_group	3
UXT	19	1325	0.05048659384309831	barcode_gem_group	3
VEZF1	255	1325	0.015331113577506494	barcode_gem_group	3
XBP1	314	1325	0.021153707487080897	barcode_gem_group	3
YBX1	177	1325	0.04947446967274277	barcode_gem_group	3
ZBTB17	75	1325	0.060377358490566024	barcode_gem_group	3
ZBTB20	315	1325	0.06262952979934114	barcode_gem_group	3
ZBTB5	212	1325	0.10169811320754718	barcode_gem_group	3
ZNF131	43	1325	0.07324265028521282	barcode_gem_group	3
ZNF24	462	1325	0.04496610307931059	barcode_gem_group	3
ZNF566	372	1325	0.015727328058429718	barcode_gem_group	3
