target_gene	n_target_cells	n_control_cells	total_variation_distance	strat_column	n_strata
ARID1A	365	1666	0.12368728313243106	transcriptome_detected_genes_quantile_bin	4
BMPR1A	212	1666	0.02890212688849124	transcriptome_detected_genes_quantile_bin	4
CDKN2A	399	1666	0.01770181756913293	transcriptome_detected_genes_quantile_bin	4
COMMD6	395	1666	0.043031896302824904	transcriptome_detected_genes_quantile_bin	4
ENY2	93	1666	0.07342937174869948	transcriptome_detected_genes_quantile_bin	4
ERC1	433	1666	0.0451233611227401	transcriptome_detected_genes_quantile_bin	4
ETV3	244	1666	0.0702723712435794	transcriptome_detected_genes_quantile_bin	4
GON4L	167	1666	0.06408551444529907	transcriptome_detected_genes_quantile_bin	4
HDGF	254	1666	0.03163785199119015	transcriptome_detected_genes_quantile_bin	4
HLX	289	1666	0.028034743309088353	transcriptome_detected_genes_quantile_bin	4
KLF3	236	1666	0.04320202657334121	transcriptome_detected_genes_quantile_bin	4
LAMTOR5	157	1666	0.04416926006071219	transcriptome_detected_genes_quantile_bin	4
MAML3	423	1666	0.03067751923464422	transcriptome_detected_genes_quantile_bin	4
MIER1	267	1666	0.050166133869278026	transcriptome_detected_genes_quantile_bin	4
MTDH	282	1666	0.060722161204907504	transcriptome_detected_genes_quantile_bin	4
MYBL1	220	1666	0.0736712866964968	transcriptome_detected_genes_quantile_bin	4
NCOA1	389	1666	0.039509377015587724	transcriptome_detected_genes_quantile_bin	4
NPM1	80	1666	0.10310624249699882	transcriptome_detected_genes_quantile_bin	4
PA2G4	194	1666	0.05357606960309898	transcriptome_detected_genes_quantile_bin	4
PARK7	254	1666	0.06338913518163174	transcriptome_detected_genes_quantile_bin	4
PCBD1	428	1666	0.02859555036968056	transcriptome_detected_genes_quantile_bin	4
PEX14	439	1666	0.07574783899892533	transcriptome_detected_genes_quantile_bin	4
PFDN5	67	1666	0.08277042160147641	transcriptome_detected_genes_quantile_bin	4
PMF1	94	1666	0.06322954713800416	transcriptome_detected_genes_quantile_bin	4
PRDX2	302	1666	0.0278256998163504	transcriptome_detected_genes_quantile_bin	4
PRPF6	25	1666	0.09939975990396159	transcriptome_detected_genes_quantile_bin	4
RORC	296	1666	0.040763602738392635	transcriptome_detected_genes_quantile_bin	4
RPS3	69	1666	0.09628199105729252	transcriptome_detected_genes_quantile_bin	4
RUVBL2	95	1666	0.050969861628862065	transcriptome_detected_genes_quantile_bin	4
SMAD1	321	1666	0.03979161758161211	transcriptome_detected_genes_quantile_bin	4
SMAD5	290	1666	0.05187730264519601	transcriptome_detected_genes_quantile_bin	4
SS18L2	8	1666	0.01560624249699881	transcriptome_detected_genes_quantile_bin	4
STAT3	394	1666	0.044210577632068024	transcriptome_detected_genes_quantile_bin	4
TAB3	246	1666	0.03718560594969697	transcriptome_detected_genes_quantile_bin	4
TADA3	177	1666	0.12353415942648248	transcriptome_detected_genes_quantile_bin	4
THAP8	276	1666	0.04350000869913183	transcriptome_detected_genes_quantile_bin	4
THRA	266	1666	0.030138371137928874	transcriptome_detected_genes_quantile_bin	4
TMF1	206	1666	0.05699949882865765	transcriptome_detected_genes_quantile_bin	4
TMSB4X	352	1666	0.017826448761322694	transcriptome_detected_genes_quantile_bin	4
UBP1	371	1666	0.023511291308976418	transcriptome_detected_genes_quantile_bin	4
UXT	12	1666	0.2493997599039616	transcriptome_detected_genes_quantile_bin	4
VEZF1	226	1666	0.06018867724080783	transcriptome_detected_genes_quantile_bin	4
XBP1	394	1666	0.05223612287554617	transcriptome_detected_genes_quantile_bin	4
YBX1	177	1666	0.021839244172245184	transcriptome_detected_genes_quantile_bin	4
ZBTB17	139	1666	0.07913237237340981	transcriptome_detected_genes_quantile_bin	4
ZBTB20	471	1666	0.040756429960519217	transcriptome_detected_genes_quantile_bin	4
ZBTB5	363	1666	0.04457320118129894	transcriptome_detected_genes_quantile_bin	4
ZNF131	118	1666	0.11377093210165419	transcriptome_detected_genes_quantile_bin	4
ZNF24	472	1666	0.04320202657334121	transcriptome_detected_genes_quantile_bin	4
ZNF566	372	1666	0.03823464869818893	transcriptome_detected_genes_quantile_bin	4
