cell_line	strat_column	n_targets	n_strata	mean_tvd	median_tvd	n_targets_tvd_gt_0.15	n_targets_tvd_gt_0.25	report_path
HCC1143	barcode_gem_group	50	3	0.05536880014804397	0.04943644796777	0	0	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC1143_barcode_gem_group_target_control_balance.tsv
HCC1143	num_umis_over_threshold_bin	50	4	0.10383782282576458	0.08227868160308818	9	3	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC1143_num_umis_over_threshold_bin_target_control_balance.tsv
HCC1143	num_umis_quantile_bin	50	4	0.1331656892393771	0.12701314109366466	18	2	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC1143_num_umis_quantile_bin_target_control_balance.tsv
HCC1143	transcriptome_detected_genes_quantile_bin	50	4	0.07636357151272528	0.06439320361862566	6	1	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC1143_transcriptome_detected_genes_quantile_bin_target_control_balance.tsv
HCC1143	transcriptome_total_signal_quantile_bin	50	4	0.07798061044177029	0.06326405161916882	5	0	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC1143_transcriptome_total_signal_quantile_bin_target_control_balance.tsv
HCC38	barcode_gem_group	50	3	0.05291806099844029	0.042299720724360196	3	2	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC38_barcode_gem_group_target_control_balance.tsv
HCC38	num_umis_over_threshold_bin	50	4	0.09265642131665512	0.05753149997306917	6	3	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC38_num_umis_over_threshold_bin_target_control_balance.tsv
HCC38	num_umis_quantile_bin	50	4	0.10878423159838353	0.0743581581316291	9	6	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC38_num_umis_quantile_bin_target_control_balance.tsv
HCC38	transcriptome_detected_genes_quantile_bin	50	4	0.0576238872498433	0.04484828115201952	1	0	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC38_transcriptome_detected_genes_quantile_bin_target_control_balance.tsv
HCC38	transcriptome_total_signal_quantile_bin	50	4	0.0706879015433831	0.050422910927764686	3	2	reports/truth_driven_bridge/sensitivity/covariate_balance/HCC38_transcriptome_total_signal_quantile_bin_target_control_balance.tsv
