target_gene	n_target_cells	n_control_cells	total_variation_distance
ARID1A	195	1325	0.13312046444121917
BMPR1A	93	1325	0.0868249137756137
CDKN2A	169	1325	0.119678463771352
COMMD6	324	1325	0.06251106452364313
ENY2	161	1325	0.05552091878589009
ERC1	412	1325	0.09634182084630886
ETV3	187	1325	0.04864090404600947
GON4L	115	1325	0.08561115668580804
HDGF	319	1325	0.028939492517892004
HLX	213	1325	0.02477810257773054
KLF3	223	1325	0.03636179033759199
LAMTOR5	274	1325	0.13452417022448696
MAML3	341	1325	0.03955735074420405
MIER1	254	1325	0.06584162828703014
MTDH	290	1325	0.058867924528301876
MYBL1	142	1325	0.1512782354504385
NCOA1	334	1325	0.05366399276917859
NPM1	125	1325	0.1711698113207547
PA2G4	154	1325	0.033339867679490334
PARK7	215	1325	0.11773584905660377
PCBD1	214	1325	0.13455827896314582
PEX14	282	1325	0.05425130469690888
PFDN5	57	1325	0.1900562727573651
PMF1	40	1325	0.2133018867924528
PRDX2	186	1325	0.020559951308581847
PRPF6	23	1325	0.3438228055783429
RORC	230	1325	0.13947497949138637
RPS3	72	1325	0.09941299790356395
RUVBL2	51	1325	0.06675545689974101
SMAD1	299	1325	0.03812456616394269
SMAD5	186	1325	0.04999391357273278
SS18L2	26	1325	0.1715820029027576
STAT3	305	1325	0.08546860501082584
TAB3	222	1325	0.08377018527961923
TADA3	133	1325	0.03436515817846504
THAP8	335	1325	0.06990706843142776
THRA	188	1325	0.07552790044158973
TMF1	145	1325	0.06256343526350029
TMSB4X	266	1325	0.09451553411831465
UBP1	267	1325	0.07349586601653593
UXT	19	1325	0.35984111221449844
VEZF1	255	1325	0.08438031816500184
XBP1	314	1325	0.07187597644513878
YBX1	177	1325	0.16180364566677324
ZBTB17	75	1325	0.14716981132075468
ZBTB20	315	1325	0.11890985324947588
ZBTB5	212	1325	0.07301886792452829
ZNF131	43	1325	0.3549451513821852
ZNF24	462	1325	0.033343134852568804
ZNF566	372	1325	0.08078717792655714
