group	metric	passed	max_abs_difference	absolute_tolerance
m3	reference_seed	True	0.0	1e-10
m3	full_endpoint_n_targets	True	0.0	1e-12
m3	contract_n_targets	True	0.0	1e-12
m3	endpoint_coverage_fraction	True	0.0	1e-10
m3	missing_endpoint_targets	True	0.0	0.0
m3	contract_n_genes	True	0.0	1e-12
m3	endpoint_alignment_spearman	True	0.0	1e-10
m3	endpoint_alignment_ci_low	True	5.551115123125783e-17	1e-10
m3	endpoint_alignment_ci_high	True	0.0	1e-10
m3	endpoint_alignment_status	True	0.0	0.0
m3	endpoint_alignment_n	True	0.0	1e-12
m3	directional_recovery_median_signed_cosine	True	4.85722573273506e-16	1e-10
m3	directional_recovery_ci_low	True	8.326672684688674e-16	1e-10
m3	directional_recovery_ci_high	True	1.27675647831893e-15	1e-10
m3	directional_recovery_n	True	0.0	1e-12
m3	anchor_separation_auc	True	0.0	1e-10
m3	anchor_separation_ci_low	True	0.0	1e-10
m3	anchor_separation_ci_high	True	0.0	1e-10
m3	anchor_n	True	0.0	1e-12
m3	low_information_n	True	0.0	1e-12
m3	target_identity_spearman	True	9.627715291671279e-17	1e-10
m3	target_identity_label_permutation_pvalue	True	1.1102230246251565e-16	1e-12
m3	target_identity_status	True	0.0	0.0
m3	target_identity_n_targets	True	0.0	1e-12
m3	target_identity_n_pairs	True	0.0	1e-10
m3	predicted_homogenization_uncentered	True	1.4432899320127035e-15	1e-10
m3	observed_homogenization_uncentered	True	2.7755575615628914e-17	1e-10
m3	excess_homogenization_uncentered	True	1.4432899320127035e-15	1e-10
m3	predicted_homogenization_uncentered_n	True	0.0	1e-12
m3	observed_homogenization_uncentered_n	True	0.0	1e-12
m3	predicted_homogenization_centered	True	2.0122792321330962e-16	1e-10
m3	observed_homogenization_centered	True	1.3877787807814457e-16	1e-10
m3	excess_homogenization_centered	True	1.3704315460216776e-16	1e-10
m3	predicted_homogenization_centered_n	True	0.0	1e-12
m3	observed_homogenization_centered_n	True	0.0	1e-12
m3	conventional_pearson_median	True	7.563394355258879e-16	1e-10
m3	conventional_pearson_ci_low	True	5.412337245047638e-16	1e-10
