sheet	path	sha256	canonical_source	canonical_source_sha256
D01	presentation/Results/01_formal_and_diagnostic_context_metrics.csv	27966a0cb0708681714fa20ebd7e256be75273ce910c04f975ffffd1bee5da0f	reports/revision/finalization_v2/m4/formal_and_diagnostic_context_metrics_with_uncertainty.tsv	7eefe5b18dfff40c4b91fce5c85dcb7b23262d82944acf9151bbffd15db0bd30
D02	presentation/Results/02_formal_and_reference_context_metrics.csv	65f45ab98802010fe7ee06fd6ed7ffa79bed0698ff4416b792bf788b101a43d2	reports/revision/finalization_v2/m5/formal_and_reference_context_metrics_with_uncertainty.tsv	9ced9d124ce4c037e54246e268024e8b54cab2e85380019111c7a156b3acdfc5
D03	presentation/Results/03_reference_context_metrics.csv	06186a701d6869e9e9373104f648886148900c85fc23ba88f0d674932ace4c8f	reports/revision/m3_metric_validity/reference_context_metrics.tsv	a54ec5275a7bd42bde8643f12eff8a057bdb9dc409eb80a1e792fa32a204b4ec
D04	presentation/Results/04_model_context_inflation.csv	b0943a155fdaae4a1d2e974a026b925bf220f72604c6821abdb18808724b16ea	reports/revision/finalization_v2/m6/model_context_inflation.tsv	b5a25dd7ca26068ad0b64c9626d36e77a3c9451c89dfd4ffde8d54b6d920ad3b
D05	presentation/Results/05_cutoff_grid_scores.csv	e9bf1bcb5a10aacb1438d8fbb5bc6ca561181560dcffdb6903b901fb526a9609	reports/revision/finalization_v2/m6/cutoff_grid_scores.tsv	1c98783063a5fed524b72683f4c0610b99e64422459b028530fa6ddcb9194d44
D06	presentation/Results/06_inflation_summary.csv	4e831711f05edc253f816f94e452a80080518f25f32a67198879d0210b7c3856	reports/revision/finalization_v2/m6/inflation_summary.tsv	7fcc1bb147002922b509401c2725c6e164deb8505a0669ff3c75a25925e903cc
D07	presentation/Results/07_frozen_score_reproduction.csv	84ccd35b48902823d9c38c9bcc54a477ad4e0b9feb988fbd19dc90bfabea55d0	reports/revision/finalization_v2/m6/frozen_score_reproduction.tsv	c9bcf9e441083d04be7be30771a2d3a4128ba5cb24ea4aec8978802abec1606e
D08	presentation/Results/08_bridge_inference_summary.csv	902cd7e617a0bbfd7a8aafad1a4870e594d318b0bba74ac175fb4d2647b64447	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	1b54a671b8aac3446b235b8c6464e298f32fc9d3ef17cb7019928d043735a83a
D09	presentation/Results/09_covariate_pairwise_correlations.csv	7ade547fb3a13ebf4c2e07d6c45fdab1df607e1e6d70d055ca8e9063335d1bd3	reports/revision/m1_bridge_confounding/covariate_pairwise_correlations.tsv	9942c478f33997af1724516692431d9c8482f9eac44f8583815ac6c0c1139006
D10	presentation/Results/10_equal_n_depth_summary.csv	9fd3ff5d1fac3489c90fc22b251999a691cca75afe5ee42a96eaf681b0eda69c	reports/revision/m1_bridge_confounding/equal_n_depth_summary.tsv	c1f11c5fb95bdf6c51755f500f6a1416acf88e005a0b5dcfec0be8beb91a497e
D11	presentation/Results/11_fixed_cohort_equal_n_depth_summary.csv	26f2124ea73413a760c46542a3b58c2c3f0e51603b535827b3baa0b33f78d3eb	reports/revision/m1_bridge_confounding/fixed_cohort_equal_n_depth_summary.tsv	34f3ca14d1357c8dad6002f7155f4b3312f1859dfc64620b1912fedc24657ee3
D12	presentation/Results/12_fixed_cohort_equal_n_inference.csv	af9abd7fa3d15bd94ef40228f37e63fe390ac3308ff07dcb534f77270fe8c3ae	reports/revision/m1_bridge_confounding/fixed_cohort_equal_n_inference.tsv	f12fd562d5b62bd0f61c2ccdfa5cfe8b91e206fbca0268910c39e404b27c436a
D13	presentation/Results/13_linear_model_sensitivity.csv	81aa2b1c7b2f2a8bc57698b420a35d536ac7ee35c8663e27bddb55d7ece0008b	reports/revision/m1_bridge_confounding/linear_model_sensitivity.tsv	db6b06eac5d9b4092a3f404053df443ff551c117b6083093a28781690125bd9c
