analysis_id,cell_line,n_targets,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,permutation_pvalue_two_sided,bootstrap_replicates_completed,permutations_completed,statistic,permutation_method,permutation_qvalue_bh_within_analysis,context,outcome,adjusted,evidence_role,reused_m1,q_bh_this_test
raw_observed_shift,HCC38,47,0.7257957275155708,0.5526321122193196,0.8355684783264452,9.999000099990002e-05,5000,10000,spearman,endpoint_label,9.999000099990002e-05,HCC38,raw_shift,False,M1 frozen reference,True,NA
partial_model_a_log_n,HCC38,47,0.0395087673023524,-0.3001010339642953,0.3634742988894331,0.8028197180281972,5000,10000,partial_spearman,freedman_lane_rank_residual,0.8028197180281972,HCC38,raw_shift,True,M1 frozen reference,True,NA
noise_corrected_shift,HCC38,47,0.4404035733678086,0.1816989350799748,0.6354898877844487,0.0017998200179982,5000,10000,spearman,endpoint_label,0.0017998200179982,HCC38,noise_corrected_shift,False,M1 frozen reference,True,NA
raw_observed_shift,HCC1143,48,0.7792497165337711,0.6241579278848234,0.8815112842415379,9.999000099990002e-05,5000,10000,spearman,endpoint_label,9.999000099990002e-05,HCC1143,raw_shift,False,M1 frozen reference,True,NA
partial_model_a_log_n,HCC1143,48,0.3636249319340776,0.0321849891276275,0.6077923592546437,0.0131986801319868,5000,10000,partial_spearman,freedman_lane_rank_residual,0.0263973602639736,HCC1143,raw_shift,True,M1 frozen reference,True,NA
noise_corrected_shift,HCC1143,48,0.543623452355093,0.2979033652156504,0.7188067546593158,0.0001999800019998,5000,10000,spearman,endpoint_label,0.0003999600039996,HCC1143,noise_corrected_shift,False,M1 frozen reference,True,NA
noise_corrected_shift_partial_log_n,HCC38,47,-0.0037916726694572815,-0.2846847715660817,0.3028430379873793,0.9804019598040196,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,HCC38,noise_corrected_shift,True,Exploratory supplement in this execution,False,0.9804019598040196
noise_corrected_shift_partial_log_n,HCC1143,48,0.35400805972818195,0.0020276892600406974,0.6167869456817872,0.013498650134986502,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,HCC1143,noise_corrected_shift,True,Exploratory supplement in this execution,False,0.020247975202479753
raw_shift_unadjusted,Replogle K562 essential day 6,1882,0.4018413096087801,0.36387856414533937,0.4407801784001932,9.999000099990002e-05,5000,10000,spearman,endpoint_label,NA,Replogle K562 essential day 6,raw_shift,False,Exploratory supplement in this execution,False,0.00014998500149985002
raw_shift_partial_log_n,Replogle K562 essential day 6,1882,0.4478895719091681,0.4117845909134441,0.48438765560984454,9.999000099990002e-05,5000,10000,partial_spearman,freedman_lane_rank_residual,NA,Replogle K562 essential day 6,raw_shift,True,Exploratory supplement in this execution,False,0.00014998500149985002
noise_corrected_shift_unadjusted,Replogle K562 essential day 6,1882,0.45180330649089745,0.4127985488926589,0.48861943318997947,9.999000099990002e-05,5000,10000,spearman,endpoint_label,NA,Replogle K562 essential day 6,noise_corrected_shift,False,Exploratory supplement in this execution,False,NA
