cell_line	low_quantile	high_quantile	full_endpoint_anchor_n	full_low_information_n	scored_anchor_n	scored_low_information_n
HCC1143	0.1	0.9	1	1	0	1
HCC1143	0.15	0.85	3	1	2	1
HCC1143	0.2	0.8	6	3	5	3
HCC1143	0.25	0.75	9	6	8	6
HCC1143	0.3	0.7	11	6	10	6
HCC38	0.1	0.9	0	1	0	1
HCC38	0.15	0.85	3	2	3	2
HCC38	0.2	0.8	5	4	5	4
HCC38	0.25	0.75	7	6	7	6
HCC38	0.3	0.7	8	8	8	8
Replogle K562 essential day 6	0.1	0.9	55	43	55	43
Replogle K562 essential day 6	0.15	0.85	99	97	99	97
Replogle K562 essential day 6	0.2	0.8	153	149	153	149
Replogle K562 essential day 6	0.25	0.75	210	226	210	226
Replogle K562 essential day 6	0.3	0.7	282	299	282	299
