cell_line	context_role	endpoint_category	n_targets	fraction_targets	targets	source_file	source_data_row_1based
HCC1143	qualified_primary_context	endpoint_anchor	9	0.1875	ARID1A,PFDN5,PMF1,PRPF6,RUVBL2,SS18L2,TADA3,YBX1,ZBTB17	docs/revision_delivery/Results/23_endpoint_category_summary.csv	1
HCC1143	qualified_primary_context	shift_excess	0	0		docs/revision_delivery/Results/23_endpoint_category_summary.csv	2
HCC1143	qualified_primary_context	dependency_excess	1	0.020833333333333301	BMPR1A	docs/revision_delivery/Results/23_endpoint_category_summary.csv	3
HCC1143	qualified_primary_context	low_information	6	0.125	CDKN2A,MAML3,PCBD1,TMSB4X,UBP1,ZBTB20	docs/revision_delivery/Results/23_endpoint_category_summary.csv	4
HCC1143	qualified_primary_context	middle	32	0.66666666666666663	COMMD6,ENY2,ERC1,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MIER1,MTDH,MYBL1,NCOA1,NPM1,PA2G4,PARK7,PEX14,PRDX2,RORC,RPS3,SMAD1,STAT3,TAB3,THAP8,THRA,TMF1,VEZF1,XBP1,ZBTB5,ZNF131,ZNF24,ZNF566	docs/revision_delivery/Results/23_endpoint_category_summary.csv	5
HCC38	sensitivity_boundary_context	endpoint_anchor	7	0.14893617021276589	ENY2,NPM1,PA2G4,PMF1,YBX1,ZBTB17,ZNF131	docs/revision_delivery/Results/23_endpoint_category_summary.csv	6
HCC38	sensitivity_boundary_context	shift_excess	0	0		docs/revision_delivery/Results/23_endpoint_category_summary.csv	7
HCC38	sensitivity_boundary_context	dependency_excess	0	0		docs/revision_delivery/Results/23_endpoint_category_summary.csv	8
HCC38	sensitivity_boundary_context	low_information	6	0.1276595744680851	CDKN2A,COMMD6,ERC1,MAML3,SMAD1,XBP1	docs/revision_delivery/Results/23_endpoint_category_summary.csv	9
HCC38	sensitivity_boundary_context	middle	34	0.72340425531914898	ARID1A,BMPR1A,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MIER1,MTDH,MYBL1,NCOA1,PARK7,PCBD1,PEX14,PFDN5,PRDX2,PRPF6,RORC,RPS3,RUVBL2,STAT3,TAB3,TADA3,THAP8,THRA,TMF1,TMSB4X,UBP1,VEZF1,ZBTB20,ZBTB5,ZNF24,ZNF566	docs/revision_delivery/Results/23_endpoint_category_summary.csv	10
